"AUC","RepeatTimes","Fold","FatureCount"
0.875843454790823,20,10,50
0.916666666666667,20,9,50
0.883300460223537,20,8,50
0.865304709141274,20,7,50
0.849527665317139,20,6,50
0.864265927977839,20,5,50
0.787112010796222,20,4,50
0.876397107166338,20,3,50
0.834008097165992,20,2,50
0.875739644970414,20,1,50
0.886302294197031,19,10,50
0.878542510121458,19,9,50
0.852901484480432,19,8,50
0.87753036437247,19,7,50
0.762483130904184,19,6,50
0.85863697705803,19,5,50
0.833662064431295,19,4,50
0.902354570637119,19,3,50
0.807034845496384,19,2,50
0.786099865047234,19,1,50
0.745233399079553,18,10,50
0.837606837606837,18,9,50
0.753711201079622,18,8,50
0.850202429149798,18,7,50
0.855358316896779,18,6,50
0.887465373961219,18,5,50
0.753462603878116,18,4,50
0.919365721997301,18,3,50
0.805668016194332,18,2,50
0.803981106612686,18,1,50
0.828402366863905,17,10,50
0.88225371120108,17,9,50
0.814750692520775,17,8,50
0.830046022353715,17,7,50
0.860661268556006,17,6,50
0.916666666666667,17,5,50
0.890013495276653,17,4,50
0.765519568151147,17,3,50
0.775303643724697,17,2,50
0.82557354925776,17,1,50
0.902695595003287,16,10,50
0.852146814404432,16,9,50
0.794214332675871,16,8,50
0.827597840755736,16,7,50
0.906207827260459,16,6,50
0.821499013806706,16,5,50
0.880904183535763,16,4,50
0.868074792243767,16,3,50
0.836707152496626,16,2,50
0.854372123602893,16,1,50
0.817139001349528,15,10,50
0.804993252361673,15,9,50
0.84412955465587,15,8,50
0.79689608636977,15,7,50
0.853238866396761,15,6,50
0.845141700404859,15,5,50
0.848515519568151,15,4,50
0.865548980933596,15,3,50
0.86774628879892,15,2,50
0.845141700404858,15,1,50
0.890203813280736,14,10,50
0.822874493927126,14,9,50
0.850202429149798,14,8,50
0.894399460188934,14,7,50
0.876038781163435,14,6,50
0.794214332675871,14,5,50
0.913630229419704,14,4,50
0.840080971659919,14,3,50
0.956717451523546,14,2,50
0.795200525969757,14,1,50
0.735457063711911,13,10,50
0.820184089414859,13,9,50
0.878040762656147,13,8,50
0.885627530364373,13,7,50
0.793184885290148,13,6,50
0.78698224852071,13,5,50
0.950138504155125,13,4,50
0.817225509533202,13,3,50
0.885964912280702,13,2,50
0.875692520775623,13,1,50
0.913967611336032,12,10,50
0.837606837606838,12,9,50
0.897506925207756,12,8,50
0.882271468144044,12,7,50
0.886916502301118,12,6,50
0.762984878369494,12,5,50
0.813609467455621,12,4,50
0.713900134952767,12,3,50
0.847797501643655,12,2,50
0.83267587113741,12,1,50
0.804404996712689,11,10,50
0.843454790823212,11,9,50
0.867408906882591,11,8,50
0.856673241288626,11,7,50
0.818559556786703,11,6,50
0.841759002770083,11,5,50
0.87280701754386,11,4,50
0.822485207100592,11,3,50
0.775805391190007,11,2,50
0.851108033240997,11,1,50
0.851413543721236,10,10,50
0.888326585695007,10,9,50
0.870107962213225,10,8,50
0.917341430499325,10,7,50
0.78812415654521,10,6,50
0.890203813280736,10,5,50
0.808171745152355,10,4,50
0.809335963182117,10,3,50
0.822199730094467,10,2,50
0.790485829959514,10,1,50
0.903739612188366,9,10,50
0.864234056541749,9,9,50
0.796221322537112,9,8,50
0.85357624831309,9,7,50
0.847503373819164,9,6,50
0.773833004602236,9,5,50
0.91059379217274,9,4,50
0.780078895463511,9,3,50
0.832321187584346,9,2,50
0.918145956607495,9,1,50
0.834345479082321,8,10,50
0.888888888888889,8,9,50
0.86336032388664,8,8,50
0.767543859649123,8,7,50
0.820983379501385,8,6,50
0.844529085872576,8,5,50
0.878808864265928,8,4,50
0.847840755735493,8,3,50
0.837719298245614,8,2,50
0.897098515519568,8,1,50
0.864891518737673,7,10,50
0.86808367071525,7,9,50
0.822199730094467,7,8,50
0.803670360110803,7,7,50
0.851413543721236,7,6,50
0.81612685560054,7,5,50
0.837935568704799,7,4,50
0.868758434547908,7,3,50
0.821524966261808,7,2,50
0.813938198553583,7,1,50
0.855263157894737,6,10,50
0.866343490304709,6,9,50
0.842451523545706,6,8,50
0.921390013495277,6,7,50
0.862348178137652,6,6,50
0.829059829059829,6,5,50
0.82409972299169,6,4,50
0.833333333333333,6,3,50
0.829639889196676,6,2,50
0.813427800269906,6,1,50
0.789811066126856,5,10,50
0.862188365650969,5,9,50
0.829959514170041,5,8,50
0.747229916897507,5,7,50
0.813090418353577,5,6,50
0.866535174227482,5,5,50
0.886916502301118,5,4,50
0.858974358974359,5,3,50
0.908232118758435,5,2,50
0.876068376068376,5,1,50
0.856950067476383,4,10,50
0.834682860998651,4,9,50
0.845825115055884,4,8,50
0.860457063711911,4,7,50
0.867192636423406,4,6,50
0.79585798816568,4,5,50
0.867192636423405,4,4,50
0.868836291913215,4,3,50
0.734072022160665,4,2,50
0.900472334682861,4,1,50
0.852901484480432,3,10,50
