"rowname","MeanDecreaseGini","Rank","RepeatTimes","Fold","FatureCount"
"Clostridium_symbiosum",18.6107898700446,6,20,10,50
"Fusobacterium_nucleatum",31.3220616493701,1,20,10,50
"Gemella_morbillorum",10.3838098710927,13,20,10,50
"Parvimonas_micra",3.70789663148313,24,20,10,50
"Parvimonas_unclassified",26.8136828148765,2,20,10,50
"Peptostreptococcus_anaerobius",1.24190889277413,31,20,10,50
"Peptostreptococcus_stomatis",26.3252156162273,3,20,10,50
"Porphyromonas_asaccharolytica",22.6142333796132,4,20,10,50
"Porphyromonas_somerae",1.59089133128577,30,20,10,50
"Prevotella_intermedia",0.188890377264592,46,20,10,50
"Solobacterium_moorei",9.90295557485903,15,20,10,50
"Porphyromonas_uenonis",0.669728726709844,35,20,10,50
"Anaerococcus_vaginalis",0.56944566549793,39,20,10,50
"Clostridium_hathewayi",16.9014802072133,7,20,10,50
"Eubacterium_rectale",13.7545222217518,10,20,10,50
"Bacteroides_fragilis",13.5429643604659,11,20,10,50
"Streptococcus_constellatus",1.83676281877743,29,20,10,50
"Anaerococcus_obesiensis",0.133098061703272,48,20,10,50
"Clostridium_sp_ATCC_BAA_442",0.870158051145906,34,20,10,50
"Granulicatella_adiacens",6.90169693869557,20,20,10,50
"Campylobacter_ureolyticus",0.339263638136828,44,20,10,50
"Aggregatibacter_unclassified",0.457076919839038,43,20,10,50
"Fusobacterium_varium",0.592941392440811,38,20,10,50
"Porphyromonas_endodontalis",0.468022614786172,42,20,10,50
"Bilophila_unclassified",13.860959158586,9,20,10,50
"Streptococcus_dysgalactiae",2.16399281456992,28,20,10,50
"Bifidobacterium_catenulatum",8.09275173341853,18,20,10,50
"Bacteroides_nordii",4.59243438092083,22,20,10,50
"Aeromonas_unclassified",0.668640153992737,36,20,10,50
"Actinomyces_cardiffensis",1.12991688718381,32,20,10,50
"Desulfovibrio_desulfuricans",8.91790660595699,17,20,10,50
"Slackia_unclassified",0.899398413288973,33,20,10,50
"Campylobacter_showae",0.314574772238168,45,20,10,50
"Selenomonas_sputigena",0.0631351082030509,49,20,10,50
"Eikenella_corrodens",0.650716637528651,37,20,10,50
"Pseudomonas_unclassified",2.22469293066197,27,20,10,50
"Peptostreptococcus_unclassified",3.42665963478659,26,20,10,50
"Faecalibacterium_prausnitzii",15.7279981233642,8,20,10,50
"Prevotella_stercorea",4.99049922431225,21,20,10,50
