"Species","Pvalue","Ctlmean","Ctlmedian","CRCmean","CRCmedian","Study","pvalue","adj.fdr.p","Enrichment"
"Prevotella_copri",2.04842038307352e-09,0.0308734426229508,"0",3.26607543478261,"0.017355","FengQ_2015",2.04842038307352e-09,1.00782282847217e-06,"CRC"
"Fusobacterium_nucleatum",2.6262970086517e-08,5.49180327868852e-05,"0",0.0176410869565217,"0","FengQ_2015",2.6262970086517e-08,6.46069064128318e-06,"CRC"
"Porphyromonas_asaccharolytica",4.14670494147027e-08,0.000179344262295082,"0",0.175405652173913,"0","FengQ_2015",4.14670494147027e-08,6.80059610401124e-06,"CRC"
"Parvimonas_unclassified",2.17958758274034e-07,0.000560327868852459,"0",0.0470265217391304,"0.00182","FengQ_2015",2.17958758274034e-07,2.68089272677062e-05,"CRC"
"Ruminococcaceae_bacterium_D16",1.12204704362792e-06,0.00769639344262295,"0",0.134392173913043,"0.00322","FengQ_2015",1.12204704362792e-06,0.000110409429092987,"CRC"
"Gemella_morbillorum",3.69633879962113e-06,0.000332786885245902,"0",0.0260869565217391,"0.00021","FengQ_2015",3.69633879962113e-06,0.000296948643686933,"CRC"
"Porphyromonas_uenonis",4.65600763203161e-06,0,"0",0.0604336956521739,"0","FengQ_2015",4.65600763203161e-06,0.000296948643686933,"CRC"
"Parvimonas_micra",4.82843323068184e-06,3.29508196721311e-05,"0",0.00646282608695652,"0","FengQ_2015",4.82843323068184e-06,0.000296948643686933,"CRC"
"Porphyromonas_somerae",1.1267541503808e-05,0,"0",0.0804447826086957,"0","FengQ_2015",1.1267541503808e-05,0.000615958935541504,"CRC"
"Dialister_invisus",1.42570960352492e-05,1.51852491803279,"0",1.95673173913043,"0.026515","FengQ_2015",1.42570960352492e-05,0.000701449124934261,"CRC"
"Peptostreptococcus_stomatis",2.56024950716077e-05,0.000586885245901639,"0",0.0602139130434783,"0","FengQ_2015",2.56024950716077e-05,0.00114512977956645,"CRC"
