"","AUS.1","AUS.2","CHI.1","CHI.2","FRA.1","FRA.2","GER.1","GER.2","ITA1.1","ITA1.2","ITA2.1","ITA2.2","JAP.1","JAP.2","Meta.1","Meta.2","USA.1","USA.2"
"Parvimonas_micra",0.000296948643686933,0.00174982501749825,1.90025985137189e-05,9.99900009999e-05,0.0490336163029054,0.00224977502249775,3.61219444763766e-07,0.0002999700029997,0.630660500165697,0.247675232476752,0.00284153072911836,0.000999900009999,0.181649412387029,0.0025997400259974,5.88e-24,9.99900009999e-05,0.594126592058315,0.0543945605439456
"Gemella_morbillorum",0.000296948643686933,9.99900009999e-05,1.06649638214377e-05,9.99900009999e-05,0.0772487097825649,0.00044995500449955,2.33749164837441e-06,0.00054994500549945,0.630660500165697,0.0771922807719228,0.00284153072911836,0.0012998700129987,0.0018151109492034,0.0027997200279972,2.6e-28,9.99900009999e-05,0.35743425120592,0.00999900009999
"Peptostreptococcus_stomatis",0.00114512977956645,0.0010998900109989,4.09844307929128e-07,0.00034996500349965,0.000992044875949033,0.00024997500249975,6.90598366555452e-07,0.0004999500049995,0.958809192075085,0.311968803119688,0.0407873252497464,0.0016998300169983,0.00801930813299801,0.0023997600239976,1.91e-29,9.99900009999e-05,0.35743425120592,0.00534946505349465
"Fusobacterium_nucleatum",6.46069064128318e-06,0.0002999700029997,0.000179290094604652,0.00034996500349965,0.000572992402925847,0.00064993500649935,4.6690418495056e-06,0.00134986501349865,0.630660500165697,0.251974802519748,0.68071705350072,0.029047095290471,0.0556044858818534,0.0374462553744626,6.62e-29,9.99900009999e-05,0.0801926880055737,0.00134986501349865
"Solobacterium_moorei",0.108085031606922,0.00974902509749025,0.000281074134465398,0.0018998100189981,0.545243950664004,0.0123487651234877,8.60710605741912e-09,0.0003999600039996,0.630660500165697,0.0437956204379562,0.322755673993152,0.0237476252374763,0.0783432791929289,0.0027997200279972,1.74e-17,9.99900009999e-05,0.594126592058315,0.0365463453654635
"Porphyromonas_uenonis",0.000296948643686933,0.00404959504049595,0.388019388258914,0.357714228577142,0.145476054632409,0.0509449055094491,0.000791532297248228,0.0109489051094891,0.880049173457345,0.635886411358864,0.68071705350072,0.132486751324868,0.333315788346555,0.0760923907609239,1.19e-12,9.99900009999e-05,0.229095896621026,0.0093990600939906
"Clostridium_symbiosum",0.0705822023810447,0.0299470052994701,0.000281074134465398,0.00024997500249975,0.058797244989282,0.025997400259974,7.41783676476259e-06,0.00084991500849915,0.630660500165697,0.157534246575342,0.68071705350072,0.00504949505049495,0.501955313404446,0.0188481151884812,3.09e-16,9.99900009999e-05,0.35743425120592,0.0335466453354665
"Prevotella_intermedia",0.0859769443091554,0.0513948605139486,0.0591180519066319,0.0183481651834817,0.137239317010263,0.0325467453254675,0.312958700000249,0.13983601639836,NA,0.5000499950005,0.68071705350072,0.0811418858114189,0.501955313404446,0.0497450254974503,4.25e-08,9.99900009999e-05,0.594126592058315,0.0499450054994501
"Porphyromonas_somerae",0.000615958935541504,0.00574942505749425,0.451000412954457,0.251724827517248,0.0366887865628085,0.0066993300669933,0.0190638278852509,0.019048095190481,0.630660500165697,0.133686631336866,0.68071705350072,0.107189281071893,NA,0.5000499950005,2.02e-09,9.99900009999e-05,0.594126592058315,0.081041895810419
"Porphyromonas_asaccharolytica",6.80059610401124e-06,0.0030996900309969,0.0124866348764248,0.00134986501349865,0.0239132066326889,0.00414958504149585,2.33749164837441e-06,0.0008999100089991,0.630660500165697,0.0148485151484852,0.68071705350072,0.0898910108989101,0.56250442957763,0.0787921207879212,1.17e-19,9.99900009999e-05,0.35743425120592,0.00584941505849415
"Parvimonas_unclassified",2.68089272677062e-05,9.99900009999e-05,4.78363195877317e-07,9.99900009999e-05,0.116029138596374,0.0024997500249975,8.60710605741912e-09,0.00014998500149985,0.630660500165697,0.129087091290871,0.00284153072911836,0.0001999800019998,0.00174194192098926,0.00084991500849915,8.53e-30,9.99900009999e-05,0.35743425120592,0.0018998100189981
"Anaerococcus_obesiensis",0.0859769443091554,0.076992300769923,0.451000412954457,0.135386461353865,0.260937790869924,0.0781921807819218,0.0840083473375236,0.253674632536746,0.630660500165697,0.5000499950005,0.68071705350072,0.249275072492751,NA,0.5000499950005,7.91e-06,0.00024997500249975,0.453471525437832,0.0210978902109789
"Anaerococcus_vaginalis",0.0180909431515602,0.0200979902009799,0.451000412954457,0.138186181381862,0.260937790869924,0.042045795420458,0.0104454123543176,0.0513948605139486,NA,0.5000499950005,0.68071705350072,0.246325367463254,0.769072415612948,0.252174782521748,1.56e-06,9.99900009999e-05,0.541008509839533,0.0271472852714729
