"","Species","Increasing.Rank.Min","Decreasing.Rank.Min","Increasing.Rank.Max","Decreasing.Rank.Max","Increasing.Rank.Average","Decreasing.Rank.Average","Decre.maxRank.P","Decre.aveRank.P","Decre.minRank.P","Decre.minRank.P.FDR","Decre.maxRank.P.FDR","Decre.aveRank.P.FDR","Incre.aveRank.P","Enriched","Ctrlmean","CRCmean","log2FC","ID","Label","Shape"
"1","Abiotrophia_defectiva",7324,2618,7384,2678,7354,2648,0.267773222677732,0.264773522647735,0.261773822617738,0.48136925437891,0.780472710304727,0.59491300869913,0.735326467353265,"N.S.","0.000271121794871795","0.000753205128205128",1.4741017297406,"","","B"
"2","Achromobacter_piechaudii",1,4993,5009,10001,2505,7497,1,0.74962503749625,0.499250074992501,0.693554173994365,1,0.920580154822356,0.25047495250475,"N.S.","7.5e-06","0",-Inf,"","","B"
"3","Achromobacter_unclassified",1,4967,5035,10001,2518,7484,1,0.748325167483252,0.496650334966503,0.693554173994365,1,0.920580154822356,0.251774822517748,"N.S.","1.3525641025641e-05","0",-Inf,"","","B"
"4","Acidaminococcus_fermentans",7280,2709,7293,2722,7286.5,2715.5,0.272172782721728,0.271522847715228,0.270872912708729,0.49057336079994,0.780472710304727,0.602546072553239,0.728577142285771,"N.S.","0.0278827243589744","0.0577858012820513",1.05134351684272,"","","B"
"5","Acidaminococcus_intestini",5156,4840,5162,4846,5159,4843,0.484551544845515,0.484251574842516,0.483951604839516,0.693554173994365,0.906134139061341,0.77319558366744,0.515848415158484,"N.S.","0.0131577564102564","0.0152340705128205",0.211387969073582,"","","B"
"6","Acidaminococcus_sp_BV3L6",7226,1097,8905,2776,8065.5,1936.5,0.277572242775722,0.193630636936306,0.10968903109689,0.258264619397933,0.780472710304727,0.579010136960988,0.806469353064694,"N.S.","0.00403939102564103","0.00230721153846154",-0.807987525489799,"","","B"
"7","Acidaminococcus_sp_D21",6531,2611,7391,3471,6961,3041,0.347065293470653,0.304069593040696,0.261073892610739,0.481313150736208,0.881766593658655,0.641132074475837,0.696030396960304,"N.S.","0.00845516025641026","0.0120452884615385",0.510564939378544,"","","B"
"8","Acidaminococcus_sp_HPA0509",3752,5019,4983,6250,4367.5,5634.5,0.624937506249375,0.563393660633937,0.501849815018498,0.693554173994365,1,0.852800088412211,0.436706329367063,"N.S.","0.020863108974359","0.0191478205128205",-0.123773973353409,"","","B"
"9","Acidaminococcus_unclassified",9120,879,9123,882,9121.5,880.5,0.0881911808819118,0.088041195880412,0.0878912108789121,0.21790958835151,0.459488833725323,0.430623264204192,0.912058794120588,"N.S.","0.200009871794872","0.286759903846154",0.519772105367387,"","","B"
"10","Acinetobacter_baumannii",1,5067,4935,10001,2468,7534,1,0.753324667533247,0.506649335066493,0.693554173994365,1,0.920580154822356,0.246775322467753,"N.S.","2.4775641025641e-05","0",-Inf,"","","B"
