"","Species","Study","FDR","Rank","Country","Test"
"1","Pathway131","Meta",1e-04,1,"Meta.2","Pair"
"2","Pathway174","Meta",0.00029997,2,"Meta.2","Pair"
"3","Pathway108","Meta",0.00049995,5,"Meta.2","Pair"
"4","Pathway284","Meta",0.0007999200079992,8,"Meta.2","Pair"
"5","Pathway324","Meta",0.0008999100089991,9,"Meta.2","Pair"
"6","Pathway350","Meta",0.000999900009999,10,"Meta.2","Pair"
"7","Pathway96","Meta",0.000999900009999,10,"Meta.2","Pair"
"8","Pathway30","Meta",0.0010998900109989,12,"Meta.2","Pair"
"9","Pathway16","Meta",0.0011998800119988,13,"Meta.2","Pair"
"10","Pathway378","Meta",0.0012998700129987,14,"Meta.2","Pair"
"11","Pathway295","Meta",0.00149985,16,"Meta.2","Pair"
"12","Pathway21","Meta",0.0017998200179982,20,"Meta.2","Pair"
"13","Pathway55","Meta",0.00739926,40,"Meta.2","Pair"
"14","Pathway108","Meta",2.19587079247672e-06,1,"Meta.1","Wilcoxon"
"15","Pathway350","Meta",7.9344720349341e-05,2,"Meta.1","Wilcoxon"
"16","Pathway284","Meta",9.10634813850986e-05,3,"Meta.1","Wilcoxon"
"17","Pathway30","Meta",9.10634813850986e-05,3,"Meta.1","Wilcoxon"
"18","Pathway131","Meta",0.000108893932246855,6,"Meta.1","Wilcoxon"
"19","Pathway174","Meta",0.000108893932246855,6,"Meta.1","Wilcoxon"
"20","Pathway324","Meta",0.000108893932246855,6,"Meta.1","Wilcoxon"
"21","Pathway16","Meta",0.000123408847471618,9,"Meta.1","Wilcoxon"
"22","Pathway295","Meta",0.000730051201633346,27,"Meta.1","Wilcoxon"
"23","Pathway96","Meta",0.00102263788569746,29,"Meta.1","Wilcoxon"
"24","Pathway378","Meta",0.00476860625159473,39,"Meta.1","Wilcoxon"
"25","Pathway21","Meta",0.00583026657544559,43,"Meta.1","Wilcoxon"
"26","Pathway55","Meta",0.149270956999068,150,"Meta.1","Wilcoxon"
"27","Pathway284","PRJEB27928",0.0004999500049995,8,"GER.2","Pair"
"28","Pathway350","PRJEB27928",0.0015998400159984,31,"GER.2","Pair"
"29","Pathway378","PRJEB27928",0.0024997500249975,39,"GER.2","Pair"
"30","Pathway16","PRJEB27928",0.00474952504749525,54,"GER.2","Pair"
"31","Pathway30","PRJEB27928",0.0063993600639936,67,"GER.2","Pair"
"32","Pathway55","PRJEB27928",0.00714928507149285,73,"GER.2","Pair"
"33","Pathway324","PRJEB27928",0.00964903509649035,87,"GER.2","Pair"
"34","Pathway295","PRJEB27928",0.0325467453254675,147,"GER.2","Pair"
"35","Pathway108","PRJEB27928",0.0384961503849615,158,"GER.2","Pair"
"36","Pathway131","PRJEB27928",0.103739626037396,243,"GER.2","Pair"
"37","Pathway21","PRJEB27928",0.107639236076392,245,"GER.2","Pair"
"38","Pathway96","PRJEB27928",0.224777522247775,317,"GER.2","Pair"
"39","Pathway174","PRJEB27928",0.287721227877212,384,"GER.2","Pair"
"40","Pathway55","PRJEB27928",8.44535715748848e-05,76,"GER.1","Wilcoxon"
"41","Pathway284","PRJEB27928",0.000209569531256064,100,"GER.1","Wilcoxon"
"42","Pathway295","PRJEB27928",0.000362894709767712,112,"GER.1","Wilcoxon"
"43","Pathway350","PRJEB27928",0.000459716673080476,116,"GER.1","Wilcoxon"
"44","Pathway16","PRJEB27928",0.00845987672006353,185,"GER.1","Wilcoxon"
"45","Pathway30","PRJEB27928",0.0115541996674438,210,"GER.1","Wilcoxon"
"46","Pathway324","PRJEB27928",0.0284700951262702,231,"GER.1","Wilcoxon"
"47","Pathway108","PRJEB27928",0.0289049630364392,234,"GER.1","Wilcoxon"
"48","Pathway131","PRJEB27928",0.0458595909265591,245,"GER.1","Wilcoxon"
"49","Pathway378","PRJEB27928",0.0923152661892745,285,"GER.1","Wilcoxon"
"50","Pathway96","PRJEB27928",0.284072331894911,341,"GER.1","Wilcoxon"
"51","Pathway174","PRJEB27928",0.631044684516443,429,"GER.1","Wilcoxon"
"52","Pathway21","PRJEB27928",0.734722543994436,448,"GER.1","Wilcoxon"
"53","Pathway108","PRJDB4176",0.0240975902409759,3,"JAP.2","Pair"
"54","Pathway174","PRJDB4176",0.113188681131887,34,"JAP.2","Pair"
"55","Pathway55","PRJDB4176",0.158334166583342,53,"JAP.2","Pair"
"56","Pathway30","PRJDB4176",0.216028397160284,82,"JAP.2","Pair"
"57","Pathway16","PRJDB4176",0.270922907709229,109,"JAP.2","Pair"
"58","Pathway96","PRJDB4176",0.271572842715728,111,"JAP.2","Pair"
"59","Pathway21","PRJDB4176",0.493100689931007,212,"JAP.2","Pair"
"60","Pathway131","PRJDB4176",0.5000499950005,215,"JAP.2","Pair"
"61","Pathway284","PRJDB4176",0.5000499950005,215,"JAP.2","Pair"
"62","Pathway295","PRJDB4176",0.5000499950005,215,"JAP.2","Pair"
"63","Pathway324","PRJDB4176",0.5000499950005,215,"JAP.2","Pair"
