"AUC","Study","RepeatTimes","Fold","FeatureCount"
1,"PRJEB27928",10,5,50
1,"PRJEB27928",10,4,50
0.967948717948718,"PRJEB27928",10,3,50
0.955128205128205,"PRJEB27928",10,2,50
0.993589743589744,"PRJEB27928",10,1,50
1,"PRJEB27928",9,5,50
0.993589743589744,"PRJEB27928",9,4,50
0.980769230769231,"PRJEB27928",9,3,50
0.948717948717949,"PRJEB27928",9,2,50
0.980769230769231,"PRJEB27928",9,1,50
0.987179487179487,"PRJEB27928",8,5,50
0.974358974358974,"PRJEB27928",8,4,50
0.987179487179487,"PRJEB27928",8,3,50
1,"PRJEB27928",8,2,50
0.92948717948718,"PRJEB27928",8,1,50
1,"PRJEB27928",7,5,50
0.987179487179487,"PRJEB27928",7,4,50
0.891025641025641,"PRJEB27928",7,3,50
0.96474358974359,"PRJEB27928",7,2,50
0.961538461538461,"PRJEB27928",7,1,50
0.987179487179487,"PRJEB27928",6,5,50
1,"PRJEB27928",6,4,50
0.865384615384615,"PRJEB27928",6,3,50
0.987179487179487,"PRJEB27928",6,2,50
0.993589743589744,"PRJEB27928",6,1,50
0.993589743589744,"PRJEB27928",5,5,50
0.974358974358974,"PRJEB27928",5,4,50
0.974358974358974,"PRJEB27928",5,3,50
0.987179487179487,"PRJEB27928",5,2,50
0.961538461538462,"PRJEB27928",5,1,50
0.980769230769231,"PRJEB27928",4,5,50
0.974358974358974,"PRJEB27928",4,4,50
0.974358974358974,"PRJEB27928",4,3,50
0.891025641025641,"PRJEB27928",4,2,50
0.980769230769231,"PRJEB27928",4,1,50
0.858974358974359,"PRJEB27928",3,5,50
0.980769230769231,"PRJEB27928",3,4,50
0.961538461538461,"PRJEB27928",3,3,50
1,"PRJEB27928",3,2,50
0.980769230769231,"PRJEB27928",3,1,50
0.974358974358974,"PRJEB27928",2,5,50
0.974358974358974,"PRJEB27928",2,4,50
0.919871794871795,"PRJEB27928",2,3,50
0.983974358974359,"PRJEB27928",2,2,50
0.961538461538462,"PRJEB27928",2,1,50
0.961538461538462,"PRJEB27928",1,5,50
0.967948717948718,"PRJEB27928",1,4,50
0.884615384615385,"PRJEB27928",1,3,50
0.955128205128205,"PRJEB27928",1,2,50
0.967948717948718,"PRJEB27928",1,1,50
0.875,"PRJDB4176",10,5,50
0.8125,"PRJDB4176",10,4,50
0.84375,"PRJDB4176",10,3,50
0.859375,"PRJDB4176",10,2,50
0.890625,"PRJDB4176",10,1,50
0.671875,"PRJDB4176",9,5,50
1,"PRJDB4176",9,4,50
0.890625,"PRJDB4176",9,3,50
0.953125,"PRJDB4176",9,2,50
0.90625,"PRJDB4176",9,1,50
0.96875,"PRJDB4176",8,5,50
0.765625,"PRJDB4176",8,4,50
0.796875,"PRJDB4176",8,3,50
0.796875,"PRJDB4176",8,2,50
0.9140625,"PRJDB4176",8,1,50
