"Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy","Study","RepeatTimes","Fold","FeatureCount"
0.92,0.838709677419355,0.739694157894786,0.990160409981202,0.52,2.22214963931796e-05,0.479500122186953,1,0.833333333333333,0.866666666666667,1,0.866666666666667,1,0.928571428571429,0.52,0.52,0.6,0.916666666666667,"PRJEB27928",10,5,50
1,1,0.862814828469287,1,0.52,7.94481137838193e-08,NA,1,1,1,1,1,1,1,0.52,0.52,0.52,1,"PRJEB27928",10,4,50
0.88,0.76038338658147,0.687809692713765,0.974534603352267,0.52,0.000165944110604564,1,0.846153846153846,0.916666666666667,0.916666666666667,0.846153846153846,0.916666666666667,0.846153846153846,0.88,0.52,0.44,0.48,0.881410256410256,"PRJEB27928",10,3,50
0.88,0.757281553398058,0.687809692713765,0.974534603352267,0.52,0.000165944110604564,0.248213078989924,1,0.75,0.8125,1,0.8125,1,0.896551724137931,0.52,0.52,0.64,0.875,"PRJEB27928",10,2,50
0.96,0.919614147909968,0.796483086077586,0.998987800300689,0.52,1.91286612417964e-06,1,1,0.916666666666667,0.928571428571428,1,0.928571428571429,1,0.962962962962963,0.52,0.52,0.56,0.958333333333333,"PRJEB27928",10,1,50
0.96,0.919614147909968,0.796483086077586,0.998987800300689,0.52,1.91286612417964e-06,1,1,0.916666666666667,0.928571428571428,1,0.928571428571429,1,0.962962962962963,0.52,0.52,0.56,0.958333333333333,"PRJEB27928",9,5,50
0.92,0.838709677419355,0.739694157894786,0.990160409981202,0.52,2.22214963931796e-05,0.479500122186953,1,0.833333333333333,0.866666666666667,1,0.866666666666667,1,0.928571428571429,0.52,0.52,0.6,0.916666666666667,"PRJEB27928",9,4,50
0.92,0.838709677419355,0.739694157894786,0.990160409981202,0.52,2.22214963931796e-05,0.479500122186953,1,0.833333333333333,0.866666666666667,1,0.866666666666667,1,0.928571428571429,0.52,0.52,0.6,0.916666666666667,"PRJEB27928",9,3,50
0.76,0.516129032258065,0.548711982183314,0.906435560668257,0.52,0.0124286951102811,0.683091398309609,0.846153846153846,0.666666666666667,0.733333333333333,0.8,0.733333333333333,0.846153846153846,0.785714285714286,0.52,0.44,0.6,0.756410256410256,"PRJEB27928",9,2,50
0.84,0.67741935483871,0.639171545540728,0.95462054762829,0.52,0.000895612767370051,0.617075077451974,0.923076923076923,0.75,0.8,0.9,0.8,0.923076923076923,0.857142857142857,0.52,0.48,0.6,0.836538461538462,"PRJEB27928",9,1,50
0.88,0.758842443729904,0.687809692713765,0.974534603352267,0.52,0.000165944110604564,1,0.923076923076923,0.833333333333333,0.857142857142857,0.909090909090909,0.857142857142857,0.923076923076923,0.888888888888889,0.52,0.48,0.56,0.878205128205128,"PRJEB27928",8,5,50
0.88,0.757281553398058,0.687809692713765,0.974534603352267,0.52,0.000165944110604564,0.248213078989924,1,0.75,0.8125,1,0.8125,1,0.896551724137931,0.52,0.52,0.64,0.875,"PRJEB27928",8,4,50
0.92,0.838709677419355,0.739694157894786,0.990160409981202,0.52,2.22214963931796e-05,0.479500122186953,1,0.833333333333333,0.866666666666667,1,0.866666666666667,1,0.928571428571429,0.52,0.52,0.6,0.916666666666667,"PRJEB27928",8,3,50
0.92,0.838709677419355,0.739694157894786,0.990160409981202,0.52,2.22214963931796e-05,0.479500122186953,1,0.833333333333333,0.866666666666667,1,0.866666666666667,1,0.928571428571429,0.52,0.52,0.6,0.916666666666667,"PRJEB27928",8,2,50
0.8,0.603174603174603,0.592962567721323,0.931688535987516,0.52,0.00372448202129164,0.371093369522698,0.692307692307692,0.916666666666667,0.9,0.733333333333333,0.9,0.692307692307692,0.782608695652174,0.52,0.36,0.4,0.80448717948718,"PRJEB27928",8,1,50
1,1,0.862814828469287,1,0.52,7.94481137838193e-08,NA,1,1,1,1,1,1,1,0.52,0.52,0.52,1,"PRJEB27928",7,5,50
0.84,0.675324675324675,0.639171545540728,0.95462054762829,0.52,0.000895612767370051,0.133614402537715,1,0.666666666666667,0.764705882352941,1,0.764705882352941,1,0.866666666666667,0.52,0.52,0.68,0.833333333333333,"PRJEB27928",7,4,50
0.84,0.67741935483871,0.639171545540728,0.95462054762829,0.52,0.000895612767370051,0.617075077451974,0.923076923076923,0.75,0.8,0.9,0.8,0.923076923076923,0.857142857142857,0.52,0.48,0.6,0.836538461538462,"PRJEB27928",7,3,50
0.92,0.838709677419355,0.739694157894786,0.990160409981202,0.52,2.22214963931796e-05,0.479500122186953,1,0.833333333333333,0.866666666666667,1,0.866666666666667,1,0.928571428571429,0.52,0.52,0.6,0.916666666666667,"PRJEB27928",7,2,50
0.88,0.757281553398058,0.687809692713765,0.974534603352267,0.52,0.000165944110604564,0.248213078989924,1,0.75,0.8125,1,0.8125,1,0.896551724137931,0.52,0.52,0.64,0.875,"PRJEB27928",7,1,50
0.92,0.83974358974359,0.739694157894786,0.990160409981202,0.52,2.22214963931796e-05,1,0.923076923076923,0.916666666666667,0.923076923076923,0.916666666666667,0.923076923076923,0.923076923076923,0.923076923076923,0.52,0.48,0.52,0.919871794871795,"PRJEB27928",6,5,50
1,1,0.862814828469287,1,0.52,7.94481137838193e-08,NA,1,1,1,1,1,1,1,0.52,0.52,0.52,1,"PRJEB27928",6,4,50
0.76,0.516129032258065,0.548711982183314,0.906435560668257,0.52,0.0124286951102811,0.683091398309609,0.846153846153846,0.666666666666667,0.733333333333333,0.8,0.733333333333333,0.846153846153846,0.785714285714286,0.52,0.44,0.6,0.756410256410256,"PRJEB27928",6,3,50
0.92,0.838709677419355,0.739694157894786,0.990160409981202,0.52,2.22214963931796e-05,0.479500122186953,1,0.833333333333333,0.866666666666667,1,0.866666666666667,1,0.928571428571429,0.52,0.52,0.6,0.916666666666667,"PRJEB27928",6,2,50
