"rowname","MeanDecreaseGini","Rank","Study","RepeatTimes","Fold","FeatureCount"
"Clostridium_clostridioforme",0.924806581505654,22,"PRJEB27928",10,5,50
"Parvimonas_unclassified",1.78098176186061,3,"PRJEB27928",10,5,50
"Anaerotruncus_unclassified",2.59964653897426,1,"PRJEB27928",10,5,50
"Parvimonas_micra",1.45691025447045,6,"PRJEB27928",10,5,50
"Solobacterium_moorei",2.29736574731195,2,"PRJEB27928",10,5,50
"Peptostreptococcus_stomatis",1.45421560579979,7,"PRJEB27928",10,5,50
"Gemella_morbillorum",1.21826584372214,13,"PRJEB27928",10,5,50
"Ruminococcus_albus",1.15383881026502,14,"PRJEB27928",10,5,50
"Clostridium_symbiosum",0.798742297172553,24,"PRJEB27928",10,5,50
"Porphyromonas_asaccharolytica",1.10689441280515,17,"PRJEB27928",10,5,50
"Ruminococcus_torques",1.6542442808701,4,"PRJEB27928",10,5,50
"Clostridiales_bacterium_1_7_47FAA",1.22348274619441,12,"PRJEB27928",10,5,50
"Fusobacterium_nucleatum",1.35275382829459,9,"PRJEB27928",10,5,50
"Clostridiaceae_bacterium_JC118",0.725711268242706,27,"PRJEB27928",10,5,50
"Clostridium_hathewayi",1.42951663139032,8,"PRJEB27928",10,5,50
"Rothia_dentocariosa",0.638508567360726,32,"PRJEB27928",10,5,50
"Subdoligranulum_variabile",1.34825404286704,10,"PRJEB27928",10,5,50
"Butyrivibrio_unclassified",0.378130321864616,42,"PRJEB27928",10,5,50
"Subdoligranulum_sp_4_3_54A2FAA",0.421138462900046,41,"PRJEB27928",10,5,50
"Deinococcus_unclassified",0.298088188371924,46,"PRJEB27928",10,5,50
"Lachnospiraceae_bacterium_3_1_57FAA_CT1",1.56538449689321,5,"PRJEB27928",10,5,50
"Peptostreptococcus_unclassified",0.689762338704385,29,"PRJEB27928",10,5,50
"Streptococcus_mitis_oralis_pneumoniae",1.07413759324836,19,"PRJEB27928",10,5,50
"Clostridium_scindens",1.14403908719,16,"PRJEB27928",10,5,50
"Mitsuokella_unclassified",0.454913151779802,39,"PRJEB27928",10,5,50
"Butyricimonas_synergistica",0.572128230449146,34,"PRJEB27928",10,5,50
"Oxalobacter_formigenes",0.980055205763872,21,"PRJEB27928",10,5,50
"Campylobacter_ureolyticus",0.141939616144512,48,"PRJEB27928",10,5,50
"Granulicatella_adiacens",0.793804521248808,25,"PRJEB27928",10,5,50
"Bacteroides_nordii",0.731752854202207,26,"PRJEB27928",10,5,50
"Porphyromonas_uenonis",0.67401811834329,30,"PRJEB27928",10,5,50
"Clostridium_bolteae",1.14568765618907,15,"PRJEB27928",10,5,50
"Eubacterium_infirmum",0.514732451441325,37,"PRJEB27928",10,5,50
"Bacteroides_ovatus",1.26947963828078,11,"PRJEB27928",10,5,50
"Clostridium_citroniae",0.845821084695661,23,"PRJEB27928",10,5,50
"Blautia_hydrogenotrophica",0.335680052600041,44,"PRJEB27928",10,5,50
"Streptococcus_anginosus",1.08667628941765,18,"PRJEB27928",10,5,50
"Lachnospiraceae_bacterium_1_4_56FAA",0.301848591467841,45,"PRJEB27928",10,5,50
"Porphyromonas_somerae",0.12112973044248,50,"PRJEB27928",10,5,50
"candidate_division_TM7_single_cell_isolate_TM7c",0.237062926716448,47,"PRJEB27928",10,5,50
"Streptococcus_cristatus",0.13132891433387,49,"PRJEB27928",10,5,50
"Megasphaera_unclassified",0.440475457750468,40,"PRJEB27928",10,5,50
"Scardovia_wiggsiae",0.358182770102479,43,"PRJEB27928",10,5,50
"Eggerthella_lenta",0.652734955111655,31,"PRJEB27928",10,5,50
"Bacteroides_coprocola",0.524946623244629,36,"PRJEB27928",10,5,50
"Coprobacillus_unclassified",0.716724679344105,28,"PRJEB27928",10,5,50
"Gemella_sanguinis",0.498194411799319,38,"PRJEB27928",10,5,50
"Faecalibacterium_prausnitzii",1.03955069606597,20,"PRJEB27928",10,5,50
"Olsenella_unclassified",0.623383052579692,33,"PRJEB27928",10,5,50
"Clostridium_bartlettii",0.525831226539312,35,"PRJEB27928",10,5,50
"Clostridium_clostridioforme",1.09468782322856,16,"PRJEB27928",10,4,50
"Parvimonas_unclassified",1.75258415858198,3,"PRJEB27928",10,4,50
"Anaerotruncus_unclassified",2.86508694540029,1,"PRJEB27928",10,4,50
"Parvimonas_micra",0.894240187880288,21,"PRJEB27928",10,4,50
"Solobacterium_moorei",2.09295055106041,2,"PRJEB27928",10,4,50
"Peptostreptococcus_stomatis",1.22913893977007,12,"PRJEB27928",10,4,50
"Gemella_morbillorum",0.772453071199541,27,"PRJEB27928",10,4,50
"Ruminococcus_albus",1.49364040347583,7,"PRJEB27928",10,4,50
"Clostridium_symbiosum",1.24292843530945,11,"PRJEB27928",10,4,50
"Porphyromonas_asaccharolytica",1.17519828385208,14,"PRJEB27928",10,4,50
"Ruminococcus_torques",1.54046163671294,6,"PRJEB27928",10,4,50
