Species,Increasing.Rank.Min,Decreasing.Rank.Min,Increasing.Rank.Max,Decreasing.Rank.Max,Increasing.Rank.Average,Decreasing.Rank.Average,Decre.maxRank.P,Decre.aveRank.P,Incre.aveRank.P,Decre.minRank.P,Decre.minRank.P.FDR,Decre.maxRank.P.FDR,Decre.aveRank.P.FDR,Ctlmean,Dismean,Shape,Label,Label2,Origin
Pathway131,10001,1,10001,1,10001,1,1.00E-04,1.00E-04,1.00000 ,1.00E-04,0.00243612,0.053594641,0.053594641,3.30E-07,1.11E-06,A,,,PROPFERM.PWY..L.alanine.fermentation.to.propanoate.and.acetate
Pathway174,9999,3,9999,3,9999,3,0.00029997,0.00029997,0.99980 ,0.00029997,0.006990605,0.080391961,0.080391961,1.22E-06,3.91E-06,A,,,PWY.5088..L.glutamate.degradation.VIII..to.propanoate.
Pathway108,9997,5,9997,5,9997,5,0.00049995,0.00049995,0.99960 ,0.00049995,0.01116555,0.089324401,0.089324401,4.21E-07,1.58E-06,A,,,P163.PWY..L.lysine.fermentation.to.acetate.and.butanoate
Pathway499,9994,8,9994,8,9994,8,0.00079992,0.00079992,0.99930 ,0.00079992,0.017150285,0.107189281,0.107189281,6.35E-05,8.09E-05,B,Gluconeogenesis III,Gluconeogenesis III,PWY66.399..gluconeogenesis.III
Pathway295,9987,15,9987,15,9987,15,0.00149985,0.00149985,0.99860 ,0.00149985,0.030919985,0.130158413,0.130158413,4.61E-06,8.08E-06,A,,,PWY.6263..superpathway.of.menaquinol.8.biosynthesis.II
Pathway25,9986,16,9986,16,9986,16,0.00159984,0.00159984,0.99850 ,0.00159984,0.031759787,0.130158413,0.130158413,7.91E-05,9.64E-05,B,L-citrulline biosynthesis,L-citrulline biosynthesis,CITRULBIO.PWY..L.citrulline.biosynthesis
Pathway162,9985,17,9985,17,9985,17,0.00169983,0.00169983,0.99840 ,0.00169983,0.032539603,0.130158413,0.130158413,4.14E-05,5.32E-05,B,Urea cycle,Urea cycle,PWY.4984..urea.cycle
Pathway107,9977,25,9977,25,9977,25,0.00249975,0.00249975,0.99760 ,0.00249975,0.046202276,0.167483252,0.167483252,9.33E-06,1.51E-05,B,L-glutamate degadation V,L-glutamate degadation V,P162.PWY..L.glutamate.degradation.V..via.hydroxyglutarate.
Pathway168,9962,40,9962,40,9962,40,0.0039996,0.0039996,0.99610 ,0.0039996,0.071459521,0.238198402,0.238198402,7.96E-06,9.84E-06,B,,,PWY.5044..purine.nucleotides.degradation.I..plants.
Pathway195,9943,59,9943,59,9943,59,0.00589941,0.00589941,0.99420 ,0.00589941,0.102002703,0.290942334,0.290942334,5.50E-05,6.85E-05,B,,,PWY.5189..tetrapyrrole.biosynthesis.II..from.glycine.
