"Ctl","Disease"
"CRC_MR_SBJ45H_17","CRC_MR_SBJ35C_17"
"SZAXPI015255.46","SZAXPI003421.5"
"SZAXPI003429.3","SZAXPI017464.37"
"SZAXPI015233.19","SZAXPI017458.25"
"CRC_MR_SBJ78H_17","CRC_MR_SBJ22C_17"
"CCIS02124300ST.4.0","CCMD34381688ST.21.0"
"CCMD32288175ST.11.0","LILT_VF207_T017"
"SID31512","SID31871"
"MMRS33294861ST.27.0.0","MMRS77321055ST.27.0.0"
"SID532749","SID31878"
"CCIS45793747ST.4.0","CCIS41222843ST.4.0"
"MMRS40913371ST.27.0.0","MMRS81194191ST.27.0.0"
"CRC_MR_SBJ79H_17","CRC_MR_SBJ64C_17"
"CCIS88317640ST.4.0","CCMD64776337ST.21.0"
"CRC_MR_SBJ83H_17","CRC_MR_SBJ29C_17"
"SID530295","SID31549"
"DRR127537","DRR127507"
"DRR127731","DRR127647"
"CCMD67373733ST.11.0","CCIS77252613ST.4.0"
"CCIS27304052ST.3.0","CCIS53043478ST.4.0"
"LILT_VF212_T016","LILT_VF264_T017"
"CCIS36699628ST.4.0","CCMD12232071ST.21.0"
"DRR127704","DRR162779"
"CCMD38158721ST.11.0","LILT_GF15_16"
"SZAXPI015230.16","SZAXPI003420.4"
"CCMD49025643ST.11.0","CCMD25511638ST.21.0"
"CCIS48174381ST.4.0","CCIS82146115ST.4.0"
"CCMD89967135ST.11.0","CCMD35633353ST.11.0"
"CCIS64785924ST.20.0","CCIS84543192ST.4.0"
"DRR127619","DRR127579"
"MMRS62666492ST.27.0.0","MMRS34525504ST.27.0.0"
"DRR127777","DRR127491"
"CCIS16383318ST.4.0","CCIS11015875ST.4.0"
"MMRS61683006ST.27.0.0","MMRS64281211ST.27.0.0"
"CCIS80834637ST.4.0","CCIS72607085ST.4.0"
"CRC_MR_SBJ03H_17","CRC_MR_SBJ11C_17"
"SZAXPI015274.111","SZAXPI017588.123"
"SID530451","CCMD25963797ST.21.0"
"SID31071","SID31872"
"LILT_VF18_T016","LILT_VF176_T017"
"CCIS07648107ST.4.0","SID31285"
"SID532826","SID531416"
"CCIS93040568ST.20.0","CCMD65222621ST.11.0"
"CCMD35801800ST.11.0","CCMD65406197ST.11.0"
"MMRS29805707ST.27.0.0","MMRS12272136ST.27.0.0"
"CCIS78100604ST.4.0","CCMD18872694ST.21.0"
"CCMD59540613ST.11.0","CRC_MR_SBJ39C_17"
"MMRS39415781ST.27.0.0","MMRS67247116ST.27.0.0"
"SID31750","SID31870"
"CCMD56948710ST.11.0","CCIS91228662ST.4.0"
"CCMD23541216ST.11.0","CRC_MR_SBJ47C_17"
"SID530251","CCMD48236717ST.21.0"
"SID532802","SID531128"
"CCIS50471204ST.4.0","CCMD46947453ST.21.0"
"CCIS63468405ST.4.0","MMRS90191266ST.27.0.0"
"SZAXPI015257.56","SZAXPI003422.11"
"CCMD99440714ST.11.0","CCMD79987997ST.21.0"
"CCIS07539127ST.4.0","CCMD42428553ST.21.0"
"SZAXPI003417.4","SZAXPI017595.169"
"LILT_VF84_16","CCIS15704761ST.4.0"
"DRR127535","MMRS65945127ST.27.0.0"
"DRR127634","DRR127536"
"LILT_VF170_T016","CCMD52145360ST.11.0"
"MMRS68630931ST.27.0.0","MMRS72980899ST.27.0.0"
"CRC_MR_SBJ18H_17","CCMD45988061ST.21.0"
"CCMD66848156ST.11.0","LILT_VF65_16"
"MMRS25211151ST.27.0.0","MMRS84954772ST.27.0.0"
"SZAXPI015250.39","SZAXPI003412.1"
"DRR127756","SZAXPI017580.90"
"DRR127762","DRR127517"
"SID530394","SID531361"
"CCIS64773582ST.4.0","MMRS71762412ST.27.0.0"
"CCMD39157124ST.11.0","CRC_MR_SBJ42C_17"
"CRC_MR_SBJ46H_17","CCMD59583015ST.11.0"
"CCMD89107682ST.11.0","CCMD71242853ST.11.0"
"SID532915","MMRS81671217ST.27.0.0"
"CCIS13047523ST.4.0","CCMD51864103ST.21.0"
"LILT_VF43_16","CCMD64503764ST.21.0"
"MMRS38954404ST.27.0.0","SZAXPI017593.158"
"LILT_VF40_16","LILT_VF100_T016"
"CCMD39882286ST.11.0","CCIS53355328ST.4.0"
"SID31129","SID31884"
"CCMD74592084ST.11.0","CRC_MR_SBJ20C_17"
"CCMD15562448ST.11.0","MMRS25641480ST.27.0.0"
"CRC_MR_SBJ21H_17","CCIS22416007ST.4.0"
"CCIS34604008ST.4.0","CCIS14449628ST.4.0"
"SID31452","CCMD82866709ST.21.0"
"CCMD41521570ST.11.0","CCMD95431029ST.11.0"
"CCIS15794887ST.4.0","CCIS98832363ST.4.0"
"MMRS65862658ST.27.0.0","CCMD72895164ST.21.0"
"SID530177","CCMD26925580ST.21.0"
"CRC_MR_SBJ74H_17","MMRS86178473ST.27.0.0"
"CRC_MR_SBJ17H_17","LILT_VF114_T017"
"LILT_VF262_T016","CCIS71301801ST.4.0"
"SZAXPI015271.93","CCIS81887263ST.4.0"
"CCIS88007743ST.4.0","MMRS41266697ST.27.0.0"
"CCIS81139242ST.4.0","CCMD95676152ST.11.0"
"MMRS93621581ST.27.0.0","CCMD46222674ST.21.0"
"LILT_VF265_T016","DRR127617"
"SZAXPI015254.45","SZAXPI017454.20"
"DRR127707","LILT_VF251_T017"
"DRR127748","DRR127521"
"SZAXPI015256.47","SZAXPI003418.8"
"MMRS57276462ST.27.0.0","CCIS83870198ST.4.0"
"MMRS51737257ST.27.0.0","CCIS62794166ST.4.0"
"SZAXPI015272.108","MMRS16644320ST.27.0.0"
"MMRS95479054ST.27.0.0","SZAXPI003436.7"
"CCMD53508245ST.11.0","CCMD98531134ST.11.0"
"LILT_GF06_16","SID531382"
"CCMD50529145ST.11.0","CCIS35100175ST.4.0"
"CCIS50003399ST.4.0","MMRS77487595ST.27.0.0"
"SZAXPI015252.43","SZAXPI003409.8"
"CRC_MR_SBJ68H_17","CRC_MR_SBJ32C_17"
"MMRS94549160ST.27.0.0","SZAXPI017466.84"
"MMRS88581325ST.27.0.0","CRC_MR_SBJ12C_17"
"SID532796","CCIS50148151ST.4.0"
"MMRS67096717ST.27.0.0","SZAXPI015226.14"
"MMRS87723283ST.27.0.0","MMRS14602194ST.27.0.0"
"DRR127588","DRR127509"
"CRC_MR_SBJ69H_17","LILT_VF120_16"
"MMRS81135225ST.27.0.0","CCIS87605453ST.4.0"
"CCIS98482370ST.3.0","CCIS62605362ST.3.0"
"CRC_MR_SBJ67H_17","MMRS15137911ST.27.0.0"
"SZAXPI015228.14","MMRS14379078ST.27.0.0"
"DRR127649","CCMD79349503ST.11.0"
"CRC_MR_SBJ24H_17","CCMD42956136ST.11.0"
"MMRS73787048ST.27.0.0","CRC_MR_SBJ07C_17"
"SZAXPI015270.90","SID31877"
"SZAXPI015247.35","SZAXPI015211.166"
"CRC_MR_SBJ84H_17","CCIS02379307ST.4.0"
"MMRS39582183ST.27.0.0","CRC_MR_SBJ50C_17"
"SZAXPI015267.102","SZAXPI017590.136"
