"Species","Increasing.Rank.Min","Decreasing.Rank.Min","Increasing.Rank.Max","Decreasing.Rank.Max","Increasing.Rank.Average","Decreasing.Rank.Average","Decre.maxRank.P","Decre.aveRank.P","Decre.minRank.P","Decre.minRank.P.FDR","Decre.maxRank.P.FDR","Decre.aveRank.P.FDR","Ctlmean","Dismean","Origin"
"Pathway1",627,9359,643,9375,635,9367,0.937406259374063,0.936606339366063,0.935806419358064,1,1,1,"0.000336223136363636","0.000314619727272727","X1CMET2.PWY..N10.formyl.tetrahydrofolate.biosynthesis"
"Pathway10",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000454191868948698,1,0.864861900906684,"0","0","ARGDEG.IV.PWY..L.arginine.degradation.VIII..arginine.oxidase.pathway."
"Pathway100",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000454191868948698,1,0.864861900906684,"0","0","P101.PWY..ectoine.biosynthesis"
"Pathway101",1563,8380,1622,8439,1592.5,8409.5,0.843815618438156,0.840865913408659,0.837916208379162,1,1,1,"4.73888636363636e-06","3.62352272727273e-06","P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase."
"Pathway102",893,9087,915,9109,904,9098,0.910808919108089,0.90970902909709,0.908609139086091,1,1,1,"7.59943181818182e-06","1.22601954545455e-05","P108.PWY..pyruvate.fermentation.to.propanoate.I"
"Pathway103",46,9955,47,9956,46.5,9955.5,0.995500449955005,0.995450454954505,0.995400459954005,1,1,1,"2.51031818181818e-06","5.10363636363636e-07","P122.PWY..heterolactic.fermentation"
"Pathway104",292,9701,301,9710,296.5,9705.5,0.970902909709029,0.97045295470453,0.97000299970003,1,1,1,"2.37340909090909e-06","1.30181818181818e-06","P124.PWY..Bifidobacterium.shunt"
"Pathway105",261,9713,289,9741,275,9727,0.974002599740026,0.972602739726027,0.971202879712029,1,1,1,"5.14727272727273e-07","1.67363636363636e-07","P125.PWY..superpathway.of..R.R..butanediol.biosynthesis"
"Pathway106",9998,4,9998,4,9998,4,0.0003999600039996,0.0003999600039996,0.0003999600039996,0.00178648801786488,0.0414140404141404,0.0414140404141404,"2.04239386363636e-05","7.33480568181818e-05","P161.PWY..acetylene.degradation"
"Pathway107",2562,7399,2603,7440,2582.5,7419.5,0.743925607439256,0.741875812418758,0.73982601739826,1,1,1,"1.46381818181818e-05","1.35922045454545e-05","P162.PWY..L.glutamate.degradation.V..via.hydroxyglutarate."
"Pathway108",9524,292,9710,478,9617,385,0.0477952204779522,0.0384961503849615,0.0291970802919708,0.0859870056950349,0.297886490420725,0.262885103894674,"1.29318181818182e-07","1.68243181818182e-06","P163.PWY..L.lysine.fermentation.to.acetate.and.butanoate"
"Pathway109",10000,2,10000,2,10000,2,0.0001999800019998,0.0001999800019998,0.0001999800019998,0.000900750261108343,0.0414140404141404,0.0414140404141404,"2.73073022727273e-05","6.0710775e-05","P164.PWY..purine.nucleobases.degradation.I..anaerobic."
"Pathway11",257,9637,365,9745,311,9691,0.974402559744026,0.969003099690031,0.963603639636036,1,1,1,"1.09490909090909e-06","4.60181818181818e-08","ARGDEG.PWY..superpathway.of.L.arginine..putrescine..and.4.aminobutanoate.degradation"
"Pathway110",4982,1,10001,5020,7491.5,2510.5,0.501949805019498,0.251024897510249,9.99900009999e-05,0.000454191868948698,1,0.750030491456349,"0","2.82779545454545e-08","P165.PWY..superpathway.of.purines.degradation.in.plants"
"Pathway111",9066,919,9083,936,9074.5,927.5,0.0935906409359064,0.0927407259274073,0.0918908109189081,0.207820568154155,0.425123589335982,0.410818422290002,"2.05600545454545e-05","2.71558293181818e-05","P185.PWY..formaldehyde.assimilation.III..dihydroxyacetone.cycle."
"Pathway112",1,7159,2843,10001,1422,8580,1,0.857914208579142,0.715828417158284,1,1,1,"4.12272727272727e-08","0","P221.PWY..octane.oxidation"
"Pathway113",5188,4725,5277,4814,5232.5,4769.5,0.481351864813519,0.476902309769023,0.472452754724528,0.819529697515685,1,0.864861900906684,"1.91209090909091e-06","2.08052272727273e-06","P23.PWY..reductive.TCA.cycle.I"
"Pathway114",9805,81,9921,197,9863,139,0.0196980301969803,0.0138986101389861,0.0080991900809919,0.0273029300843501,0.182036968716921,0.139728884254432,"8.18181818181818e-09","1.27191097727273e-06","P261.PWY..coenzyme.M.biosynthesis.I"
"Pathway115",8285,1697,8305,1717,8295,1707,0.171682831716828,0.170682931706829,0.16968303169683,0.358071279486225,0.662028761152662,0.639762597166857,"9.24518863636364e-05","9.87419861363636e-05","P4.PWY..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.I"
"Pathway116",9388,602,9400,614,9394,608,0.0613938606139386,0.0607939206079392,0.0601939806019398,0.147872485478725,0.329071092890711,0.31322528124546,"6.10584613636364e-05","7.3247975e-05","P42.PWY..incomplete.reductive.TCA.cycle"
"Pathway117",9963,37,9965,39,9964,38,0.0038996100389961,0.0037996200379962,0.0036996300369963,0.0132200113322001,0.0653184681531847,0.0636436356364364,"4.12706522727273e-05","6.50540568181818e-05","P441.PWY..superpathway.of.N.acetylneuraminate.degradation"
"Pathway118",6142,3836,6166,3860,6154,3848,0.385961403859614,0.384761523847615,0.383561643835616,0.696912003714883,1,0.864861900906684,"2.30065272727273e-05","2.27579440909091e-05","P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate"
"Pathway119",9182,606,9396,820,9289,713,0.081991800819918,0.0712928707129287,0.0605939406059394,0.147872485478725,0.38763709835913,0.349583223495832,"3.96625909090909e-08","1.16624129545455e-07","P562.PWY..myo.inositol.degradation.I"
"Pathway12",61,9938,64,9941,62.5,9939.5,0.994000599940006,0.993850614938506,0.993700629937006,1,1,1,"0.000101510113636364","4.79220681818182e-05","ARGININE.SYN4.PWY..L.ornithine.de.novo..biosynthesis"
"Pathway120",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000454191868948698,1,0.864861900906684,"0","0","P621.PWY..nylon.6.oligomer.degradation"
"Pathway121",108,9890,112,9894,110,9892,0.989301069893011,0.989101089891011,0.988901109889011,1,1,1,"0.000429466204545455","0.000385144659090909","PANTO.PWY..phosphopantothenate.biosynthesis.I"
"Pathway122",9450,535,9467,552,9458.5,543.5,0.0551944805519448,0.0543445655434457,0.0534946505349465,0.134237043585361,0.308442625125243,0.298790120987901,"0.000285385136363636","0.000309290477272727","PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I"
"Pathway123",9746,251,9751,256,9748.5,253.5,0.0255974402559744,0.0253474652534747,0.0250974902509749,0.0755744650254076,0.217728227177282,0.211904963349819,"9.45575681818182e-05","0.000128649186363636","PENTOSE.P.PWY..pentose.phosphate.pathway"
"Pathway124",157,9837,165,9845,161,9841,0.984401559844016,0.984001599840016,0.983601639836016,1,1,1,"0.000648130772727273","0.000586464181818182","PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing."
"Pathway125",9996,5,9997,6,9996.5,5.5,0.0005999400059994,0.00054994500549945,0.0004999500049995,0.00219650166130928,0.0414140404141404,0.0414140404141404,"8.61786363636364e-05","0.000152436568181818","PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria."
"Pathway126",4998,2232,7770,5004,6384,3618,0.5003499650035,0.361763823617638,0.223177682231777,0.45832658113499,1,0.864861900906684,"1.11378409090909e-08","1.77204772727273e-08","PHOTOALL.PWY..oxygenic.photosynthesis"
"Pathway127",313,9684,318,9689,315.5,9686.5,0.968803119688031,0.968553144685531,0.968303169683032,1,1,1,"4.87393181818182e-06","3.17302272727273e-06","POLYAMINSYN3.PWY..superpathway.of.polyamine.biosynthesis.II"
"Pathway128",3,9999,3,9999,3,9999,0.999800019998,0.999800019998,0.999800019998,1,1,1,"6.09925e-05","2.45950681818182e-05","POLYAMSYN.PWY..superpathway.of.polyamine.biosynthesis.I"
"Pathway129",1851,8085,1917,8151,1884,8118,0.815018498150185,0.811718828117188,0.808419158084192,1,1,1,"2.01625e-06","1.70915909090909e-06","POLYISOPRENSYN.PWY..polyisoprenoid.biosynthesis..E..coli."
