"Pathway","Pvalue","Ctlmean","Ctlmedian","CRCmean","CRCmedian","Study","pvalue","adj.fdr.p","Enrichment","Origin"
"Pathway1",0.293670668290778,0.0003071366,"0.00030531",0.00032556395,"0.000327195","PRJEB27928",0.293670668290778,0.374215430841007,"Nodiff","X1CMET2.PWY..N10.formyl.tetrahydrofolate.biosynthesis"
"Pathway101",0.00191609193826972,1.04550923076923e-05,"9.4e-07",3.13175e-06,"0","PRJEB27928",0.00191609193826972,0.0053112723902915,"Ctl","P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase."
"Pathway102",1.01156521380589e-05,8.66513846153846e-06,"3.78e-06",9.49247666666667e-06,"0","PRJEB27928",1.01156521380589e-05,6.75326635695763e-05,"CRC","P108.PWY..pyruvate.fermentation.to.propanoate.I"
"Pathway103",0.00332999343792663,2.80167692307692e-06,"0",7.79316666666667e-07,"0","PRJEB27928",0.00332999343792663,0.00845987672006353,"Ctl","P122.PWY..heterolactic.fermentation"
"Pathway104",0.000215796676828326,2.64876923076923e-06,"2.53e-06",1.092e-06,"0","PRJEB27928",0.000215796676828326,0.000799122068879895,"Ctl","P124.PWY..Bifidobacterium.shunt"
"Pathway105",0.00984231642815261,4.65292307692308e-07,"0",2.78233333333333e-07,"0","PRJEB27928",0.00984231642815261,0.0207344799419748,"Nodiff","P125.PWY..superpathway.of..R.R..butanediol.biosynthesis"
"Pathway106",3.53069481937275e-10,2.05341892307692e-05,"9.38e-06",8.02363e-05,"5.01729e-05","PRJEB27928",3.53069481937275e-10,8.36774672191342e-08,"CRC","P161.PWY..acetylene.degradation"
"Pathway107",0.00070287092860953,1.54683076923077e-05,"1.43e-05",1.14326166666667e-05,"0","PRJEB27928",0.00070287092860953,0.00220636304742329,"Ctl","P162.PWY..L.glutamate.degradation.V..via.hydroxyglutarate."
"Pathway108",0.0142695387141915,1.30538461538462e-07,"0",1.98711666666667e-06,"0","PRJEB27928",0.0142695387141915,0.0289049630364392,"Nodiff","P163.PWY..L.lysine.fermentation.to.acetate.and.butanoate"
"Pathway109",7.60330536335811e-09,2.54704815384615e-05,"2.04e-05",6.64695083333333e-05,"6.76983e-05","PRJEB27928",7.60330536335811e-09,4.57667421152005e-07,"CRC","P164.PWY..purine.nucleobases.degradation.I..anaerobic."
