"Ctl","Disease"
"SID31512","SID31871"
"SID532749","SID31878"
"SID31071","SID31872"
"SID532826","SID531416"
"SID31750","SID31870"
"SID532802","SID531128"
"SID530394","SID531361"
"SID31129","SID31884"
"SID31416","SID31237"
"SID531414","SID531382"
"SID31428","SID31004"
"SID31450","SID31159"
"SID31021","SID531155"
"SID31236","SID530373"
"SID530154","SID31880"
"SID532796","SID530890"
"SID31379","SID531281"
"SID31300","SID31276"
"SID31723","SID31879"
"SID31328","SID31873"
"SID31557","SID31876"
"SID31112","SID531248"
"SID31360","SID531333"
"SID31219","SID31874"
"SID31009","SID31285"
"SID31267","SID31866"
"SID530119","SID531469"
"SID31749","SID531775"
"SID31766","SID31877"
"SID31452","SID31489"
"SID530167","SID31188"
"SID31714","SID31446"
"SID530315","SID31493"
"SID530055","SID31875"
"SID31519","SID31685"
"SID530251","SID531352"
"SID530227","SID31865"
"SID530177","SID531277"
"SID530074","SID531766"
"SID31711","SID31883"
