"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27"
"SID31009","SID31160","SID530451","SID530444","SID31300","SID31750","SID31452","SID530167","0.0058619777843964","0.0060768580096417","0.0101294649145393","0.0178469278150243","0.0205467368136939","0.0227919361509441","0.0254273075900727","SID31285","SID31276","SID31489","SID31870","SID531128","SID31188","0.007651981586871","0.0156947907293481","0.0199194426634341","0.0200264444359828","0.0316902582846777","0.0324681837915999"
"SID31021","SID31219","SID531414","SID31333","SID530394","SID31112","SID530227","SID31071","0.0024963110130727","0.00678648199476084","0.00905618269850269","0.0118713398839834","0.0124727363899272","0.0155781989927121","0.0171958090505549","SID531155","SID31874","SID531382","SID31865","SID531361","SID31872","0.00487395842072783","0.0058530080978857","0.00877167712592706","0.00960829647334997","0.0134319860265847","0.0173475921466064"
"SID31112","SID530394","SID31071","SID31333","SID531414","SID31537","SID31021","SID530050","0.00238391807279465","0.00523513332150261","0.007791895949044","0.00899367874536345","0.00970974548478224","0.0124727363899272","0.0134410790825612","SID531361","SID31872","SID531248","SID531382","SID31874","SID531155","0.00311412263565705","0.00522792246149021","0.00665199129378631","0.0126739645449232","0.0138384070457855","0.0169335277402185"
"SID31129","SID31766","SID530368","SID530227","SID31512","SID530119","SID530177","SID31219","0.00303390524273466","0.00487580783935798","0.00492965825663844","0.0056171982154001","0.00732910986422257","0.0151557875285423","0.0173191015172843","SID31884","SID31871","SID31877","SID531469","SID531155","SID31865","0.00268086984955813","0.00578946801397053","0.00977598022747013","0.0113964186904998","0.0136281432123927","0.0142443067143144"
"SID31160","SID530444","SID530451","SID31009","SID31750","SID532915","SID31700","SID31300","0.00464983164799253","0.00541788446731984","0.0058619777843964","0.0149970000465857","0.021875946400647","0.0219112537036223","0.023275944351081","SID31285","SID31870","SID31276","SID31489","SID531128","SID31873","0.0126015758057879","0.0145423030032551","0.0212924092646125","0.0254321034605445","0.0261121002245608","0.03259517361512"
"SID31219","SID31021","SID531414","SID31333","SID530394","SID31112","SID530227","SID31129","0.0024963110130727","0.00872682110089475","0.00908187117002148","0.013124200654916","0.0135705363826409","0.0146940529506385","0.0173191015172843","SID531155","SID31874","SID531382","SID31865","SID531361","SID31884","0.00532004583787021","0.00760030030243578","0.0106669929625515","0.0107942252155042","0.0146883963713161","0.0171697448020064"
"SID31236","SID31749","SID532796","SID530055","SID532779","SID530251","SID530258","SID532749","0.00606729340619546","0.0114619757906746","0.0155838940413805","0.0199248013274942","0.0200434391967496","0.0222489643025353","0.0222787111812719","SID530373","SID530890","SID531775","SID31875","SID531352","SID31878","0.00501347111369571","0.00637903912756707","0.00785944519717299","0.00838963067444098","0.00892072456026468","0.0212331916812526"
"SID31267","SID31700","SID31328","SID532802","SID532915","SID31750","SID532749","SID530251","0.00744227473483319","0.0105388079454969","0.0107338266444086","0.0120882891528069","0.0135350225114989","0.0193346896232353","0.0210067452305329","SID31873","SID31866","SID531128","SID31870","SID31878","SID31875","0.00777226278735721","0.00825676883314857","0.00871702658869828","0.0132618854105249","0.0199421816996053","0.0326221399650272"
"SID31300","SID31452","SID530167","SID31009","SID530451","SID31160","SID530444","SID31750","0.0055726894094266","0.00777085179073538","0.0178469278150243","0.0208045133995092","0.023275944351081","0.0277971676212328","0.0380783273736811","SID31276","SID31489","SID31285","SID31188","SID31870","SID531128","0.00605284770105276","0.00991737983430538","0.0109508691467841","0.0150362724485438","0.0377277830707374","0.0490096227050289"
"SID31328","SID532802","SID532915","SID31700","SID31267","SID532749","SID31750","SID530251","0.00364619880038575","0.00790446547726227","0.00893169166156269","0.0105388079454969","0.0126670726742352","0.014737747387683","0.0149357233187738","SID531128","SID31873","SID31866","SID31878","SID31870","SID31875","0.00369636855481409","0.0062414786042832","0.00950295822721766","0.0136165733953428","0.0158498505465971","0.0284536551174748"
