"Ctl","Disease"
"DRR127537","DRR127507"
"DRR127731","DRR127647"
"DRR127704","DRR162779"
"DRR127619","DRR127579"
"DRR127777","DRR127491"
"DRR127634","DRR127536"
"DRR127762","DRR127517"
"DRR127748","DRR127521"
"DRR127588","DRR127509"
"DRR127724","DRR127720"
"DRR127752","DRR127514"
"DRR127755","DRR127666"
"DRR127628","DRR127557"
"DRR127721","DRR127478"
"DRR127756","DRR127594"
"DRR127546","DRR127774"
"DRR127524","DRR127515"
"DRR127532","DRR127669"
"DRR127583","DRR127617"
"DRR127728","DRR162777"
"DRR127597","DRR127476"
"DRR162776","DRR127519"
"DRR127616","DRR127559"
"DRR127692","DRR127481"
"DRR127596","DRR162778"
"DRR127763","DRR127674"
"DRR127713","DRR127718"
"DRR127649","DRR127754"
