"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31"
"CCMD10032470ST.11.0","CCMD28738636ST.11.0","MMPU29365221ST","CCMD49942357ST.11.0","CCMD35801800ST.11.0","CCMD18829815ST.11.0","MMPU68403337ST","CCMD98702133ST.11.0","CCMD75147712ST.11.0","0.0186018296381849","0.0366368231233461","0.0468054363442515","0.0471658991856005","0.0482586385186502","0.0487482836377535","0.0558400134813495","0.0585900673735948","CCMD95433940ST.21.0","CCMD26925580ST.21.0","CCMD86707194ST.21.0","CCMD18872694ST.21.0","CCMD50071957ST.21.0","CCMD93344354ST.21.0","CCMD52117727ST.11.0","0.00466569126410331","0.00642888664128439","0.0118465717583193","0.0133596424607105","0.0162511721202082","0.0176361290509127","0.0178762417252148"
"CCMD15562448ST.11.0","CCMD99440714ST.11.0","CCMD17410933ST.11.0","CCMD51154251ST.11.0","CCMD74592084ST.11.0","CCMD85481373ST.11.0","CCMD98198513ST.11.0","CCMD25475945ST.11.0","CCMD98702133ST.11.0","0.0044022497782092","0.00453566501413674","0.00837221786096037","0.00851723644410333","0.0107252611909515","0.0108664062184166","0.0113209924052727","0.0149274965770014","CCMD79987997ST.21.0","CCMD59583015ST.11.0","CCMD63399960ST.21.0","CCMD64503764ST.21.0","CCMD64776337ST.21.0","CCMD35802077ST.21.0","CCMD19168690ST.11.0","0.00348254969199652","0.0059255612946261","0.00841839925176028","0.0122876362884649","0.0142047050992405","0.0148959050126537","0.0195718479679354"
"CCMD17410933ST.11.0","CCMD99440714ST.11.0","CCMD15562448ST.11.0","CCMD98198513ST.11.0","CCMD74592084ST.11.0","CCMD85481373ST.11.0","CCMD51154251ST.11.0","CCMD98702133ST.11.0","CCMD25475945ST.11.0","0.00425983670982302","0.00453566501413674","0.00997493416236417","0.010395842628304","0.0111242821467839","0.0114005099829713","0.0118850738133733","0.0127961678165228","CCMD79987997ST.21.0","CCMD59583015ST.11.0","CCMD63399960ST.21.0","CCMD64503764ST.21.0","CCMD35802077ST.21.0","CCMD64776337ST.21.0","CCMD19168690ST.11.0","0.00422662363647485","0.00793592966110688","0.0082417846389618","0.00920477388598692","0.0134575232033082","0.0146352817779616","0.0163557693607759"
"CCMD18829815ST.11.0","CCMD49942357ST.11.0","CCMD35801800ST.11.0","CCMD98702133ST.11.0","CCMD75147712ST.11.0","MMPU68403337ST","CCMD17410933ST.11.0","MMPU29365221ST","CCMD15562448ST.11.0","0.00268766174689301","0.00296260460592724","0.00766085805291655","0.0128725523382956","0.0146849777617468","0.0192803633742113","0.0212484868530928","0.0218643237136473","CCMD65406197ST.11.0","CCMD19168690ST.11.0","CCMD35802077ST.21.0","CCMD64503764ST.21.0","CCMD64776337ST.21.0","CCMD72895164ST.21.0","CCMD63399960ST.21.0","0.00485529808294699","0.0054225359967804","0.00846595826281284","0.0106963647272808","0.014416726690478","0.0147432903508264","0.0148094482154459"
"CCMD23541216ST.11.0","CCMD31009081ST.11.0","CCMD66848156ST.11.0","CCMD53522274ST.11.0","CCMD51228890ST.11.0","CCMD27867141ST.11.0","CCMD46727384ST.11.0","CCMD76409700ST.11.0","CCMD18579000ST.11.0","0.0191822327071149","0.0201031222427827","0.0210361751697035","0.0248385099633305","0.0251790583657674","0.029846511517967","0.0301266409242728","0.0302414011517539","CCMD52145360ST.11.0","CCMD49461418ST.11.0","CCMD65222621ST.11.0","CCMD19497912ST.21.0","CCMD42428553ST.21.0","CCMD34381688ST.21.0","CCMD76222476ST.11.0","0.0134932159925025","0.0142230903400655","0.0176649856051216","0.0234014075147586","0.025780316424845","0.0274600264165365","0.0331770701394932"
"CCMD26625622ST.11.0","CCMD37575804ST.11.0","CCMD59540613ST.11.0","CCMD89107682ST.11.0","CCMD38158721ST.11.0","CCMD50300306ST.11.0","CCMD93755960ST.11.0","CCMD49025643ST.11.0","CCMD45812507ST.11.0","0.00367803259908083","0.00659510371419206","0.00703197015804433","0.00791901552053533","0.0109268348559721","0.0118750780976364","0.0130375009727139","0.0165679059195971","CCMD71242853ST.11.0","CCMD45988061ST.21.0","CCMD13071240ST.21.0","CCMD48236717ST.21.0","CCMD46947453ST.21.0","CCMD25511638ST.21.0","CCMD23101338ST.21.0","0.00657980273986421","0.00894977794526507","0.00994054692627538","0.010357545979594","0.0106274713468803","0.012997629799036","0.0153050069736767"
"CCMD27867141ST.11.0","CCMD30627121ST.11.0","CCMD39882286ST.11.0","CCMD72666896ST.11.0","CCMD23541216ST.11.0","CCMD73128545ST.11.0","CCMD30626189ST.11.0","CCMD89967135ST.11.0","CCMD10191450ST.11.0","0.0114830545600291","0.0148011064618598","0.0168473326930036","0.0251790583657674","0.0293985208330336","0.0341487871293932","0.0345842720283664","0.0389384756549341","CCMD42428553ST.21.0","CCMD19497912ST.21.0","CCMD65222621ST.11.0","CCMD76222476ST.11.0","CCMD49461418ST.11.0","CCMD35633353ST.11.0","CCMD52145360ST.11.0","0.00470040680323184","0.006649258763672","0.00840114732811166","0.00904802805813379","0.0110339107954975","0.035898071551659","0.038643331895904"
"CCMD28738636ST.11.0","CCMD10032470ST.11.0","MMPU29365221ST","CCMD49942357ST.11.0","CCMD35801800ST.11.0","CCMD18829815ST.11.0","MMPU68403337ST","CCMD98702133ST.11.0","CCMD75147712ST.11.0","0.0186018296381849","0.0301641971857944","0.0317315307226701","0.0319422070001413","0.0337307396256544","0.0389353392425962","0.0412375584114741","0.0421021607073793","CCMD21593359ST.11.0","CCMD52117727ST.11.0","CCMD18872694ST.21.0","CCMD90311071ST.21.0","CCMD60079086ST.21.0","CCMD95433940ST.21.0","CCMD51864103ST.21.0","0.00663972985407664","0.00821107645453958","0.0129907643829878","0.0164562421566368","0.0197057075110385","0.0218187714575341","0.0219352214305317"
"CCMD30626189ST.11.0","CCMD89967135ST.11.0","CCMD73128545ST.11.0","CCMD10191450ST.11.0","CCMD72666896ST.11.0","CCMD41521570ST.11.0","CCMD39882286ST.11.0","CCMD30627121ST.11.0","CCMD89643949ST.11.0","0.00273082906356712","0.00592109581940989","0.0125811602841842","0.0188071953324695","0.0197101864674279","0.0224041316572864","0.0227750117962188","0.0253172251018201","CCMD35633353ST.11.0","CCMD86114146ST.21.0","CCMD95431029ST.11.0","CCMD76222476ST.11.0","CCMD42428553ST.21.0","CCMD19497912ST.21.0","CCMD65222621ST.11.0","0.00285923221819737","0.00842359379013082","0.0207824816799813","0.026514139090325","0.0339897749237007","0.0368670869264724","0.0418695369820554"
"CCMD30627121ST.11.0","CCMD72666896ST.11.0","CCMD39882286ST.11.0","CCMD27867141ST.11.0","CCMD73128545ST.11.0","CCMD30626189ST.11.0","CCMD89967135ST.11.0","CCMD10191450ST.11.0","CCMD23541216ST.11.0","0.00696374745657302","0.00747509084708296","0.0114830545600291","0.0181174999328908","0.0227750117962188","0.0232387910848162","0.0283763589041206","0.0365778228262177","CCMD76222476ST.11.0","CCMD42428553ST.21.0","CCMD19497912ST.21.0","CCMD65222621ST.11.0","CCMD49461418ST.11.0","CCMD35633353ST.11.0","CCMD86114146ST.21.0","0.00568960553913352","0.0119428217167573","0.0150428830503108","0.0193725902527837","0.0224152536828046","0.024554722807489","0.0294868305765179"
