"Origin","Rename"
"X1CMET2.PWY..N10.formyl.tetrahydrofolate.biosynthesis","Pathway1"
"X3.HYDROXYPHENYLACETATE.DEGRADATION.PWY..4.hydroxyphenylacetate.degradation","Pathway2"
"X7ALPHADEHYDROX.PWY..cholate.degradation..bacteria..anaerobic.","Pathway3"
"AEROBACTINSYN.PWY..aerobactin.biosynthesis","Pathway4"
"ALL.CHORISMATE.PWY..superpathway.of.chorismate.metabolism","Pathway5"
"ALLANTOINDEG.PWY..superpathway.of.allantoin.degradation.in.yeast","Pathway6"
"ANAEROFRUCAT.PWY..homolactic.fermentation","Pathway7"
"ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.","Pathway8"
"ARG.POLYAMINE.SYN..superpathway.of.arginine.and.polyamine.biosynthesis","Pathway9"
"ARGDEG.IV.PWY..L.arginine.degradation.VIII..arginine.oxidase.pathway.","Pathway10"
"ARGDEG.PWY..superpathway.of.L.arginine..putrescine..and.4.aminobutanoate.degradation","Pathway11"
"ARGININE.SYN4.PWY..L.ornithine.de.novo..biosynthesis","Pathway12"
"ARGORNPROST.PWY..arginine..ornithine.and.proline.interconversion","Pathway13"
"ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine.","Pathway14"
"ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle.","Pathway15"
"ARO.PWY..chorismate.biosynthesis.I","Pathway16"
"ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis","Pathway17"
"AST.PWY..L.arginine.degradation.II..AST.pathway.","Pathway18"
"BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I","Pathway19"
"BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.amino.acid.biosynthesis","Pathway20"
"CALVIN.PWY..Calvin.Benson.Bassham.cycle","Pathway21"
"CATECHOL.ORTHO.CLEAVAGE.PWY..catechol.degradation.to..beta..ketoadipate","Pathway22"
"CENTFERM.PWY..pyruvate.fermentation.to.butanoate","Pathway23"
"CHLOROPHYLL.SYN..chlorophyllide.a.biosynthesis.I..aerobic..light.dependent.","Pathway24"
"CITRULBIO.PWY..L.citrulline.biosynthesis","Pathway25"
"COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian.","Pathway26"
"COA.PWY..coenzyme.A.biosynthesis.I","Pathway27"
