"Ctl","Disease"
"LILT_VF212_T016","LILT_VF264_T017"
"LILT_VF18_T016","LILT_VF176_T017"
"LILT_VF40_16","LILT_VF100_T016"
"LILT_VF263_T016","LILT_VF174_T017"
"LILT_VF06_16","LILT_VF234_T017"
"LILT_VF28_T016","LILT_VF29_16"
"LILT_VF00TL_16","LILT_VF300_T016"
"LILT_VF170_T016","LILT_VF65_16"
"LILT_VF262_T016","LILT_VF232_T017"
"LILT_VF82_T016","LILT_VF207_T017"
"LILT_GF06_16","LILT_VF273_T017"
"LILT_VF206_T016","LILT_VF114_T017"
"LILT_VF189_T016","LILT_VF192_T017"
"LILT_VF171_T016","LILT_VF154_T017"
"LILT_VF259_T016","LILT_VF281_T017"
"LILT_VF279_T016","LILT_VF251_T017"
"LILT_VF265_T016","LILT_VF145_T017"
