"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19"
"LILT_GF06_16","LILT_VF263_T016","LILT_VF262_T016","LILT_VF18_T016","LILT_VF255_T016","0.00773787331892158","0.00883629365700121","0.00965768435671422","0.0123547737025724","LILT_VF273_T017","LILT_VF174_T017","LILT_VF176_T017","LILT_VF232_T017","LILT_VF107_16","0.00729102320370966","0.00789012446205789","0.0102242396104108","0.0129953686790644","0.016060551273472"
"LILT_VF00TL_16","LILT_VF82_T016","LILT_VF189_T016","LILT_VF212_T016","LILT_VF28_T016","0.00417734728415058","0.0122221408386351","0.0365841751840008","0.0431870925384464","LILT_VF300_T016","LILT_VF207_T017","LILT_VF270_T017","LILT_VF77_16","LILT_VF73_16","0.00499912894018026","0.00511557813699636","0.00892725259925873","0.0114239202579983","0.0208487095932243"
"LILT_VF06_16","LILT_VF279_T016","LILT_VF206_T016","LILT_VF259_T016","LILT_VF18_T016","0.0290883811215915","0.0365086555768054","0.0561403940635167","0.0569181282312885","LILT_VF234_T017","LILT_VF251_T017","LILT_VF166_T017","LILT_VF120_16","LILT_VF114_T017","0.00436985735471951","0.00820172239094217","0.019614098861182","0.0360654041310507","0.0443558805778724"
"LILT_VF140_T016","LILT_VF31_16","LILT_VF40_16","LILT_VF170_T016","LILT_VF189_T016","0.0168004552233567","0.0281860660772064","0.0501448355921092","0.106086917731329","LILT_VF100_T016","LILT_VF65_16","LILT_VF192_T017","LILT_VF300_T016","LILT_VF207_T017","0.0257023980325972","0.054646098953882","0.0962366664150796","0.119298893269635","0.122310504112791"
"LILT_VF170_T016","LILT_VF40_16","LILT_VF31_16","LILT_VF140_T016","LILT_VF189_T016","0.0225028473675603","0.0334180857478777","0.0501448355921092","0.0559672490406328","LILT_VF65_16","LILT_VF100_T016","LILT_VF192_T017","LILT_VF300_T016","LILT_VF207_T017","0.00545388281146903","0.0248456361246388","0.0461150096105504","0.0692315694102889","0.0722018508702827"
"LILT_VF171_T016","LILT_VF259_T016","LILT_VF206_T016","LILT_VF279_T016","LILT_VF06_16","0.0622571320715985","0.0821199457059643","0.089735410365848","0.118351563078306","LILT_VF154_T017","LILT_VF208_T017","LILT_VF71_16","LILT_VF217_T017","LILT_VF95_16","0.0116681252531962","0.012958304343976","0.0335322864645089","0.0400655269172811","0.049664741185252"
"LILT_VF18_T016","LILT_VF262_T016","LILT_VF263_T016","LILT_GF06_16","LILT_VF261_T016","0.00190641368364529","0.00467049331822102","0.00965768435671422","0.0135280395750693","LILT_VF176_T017","LILT_VF232_T017","LILT_VF174_T017","LILT_VF273_T017","LILT_VF107_16","0.00202562213607908","0.00431392145479067","0.00770948742973431","0.00786708910779278","0.0106728508266063"
"LILT_VF189_T016","LILT_VF00TL_16","LILT_VF82_T016","LILT_VF212_T016","LILT_VF28_T016","0.0122221408386351","0.0132812320354308","0.0485372534178263","0.0552591684324928","LILT_VF192_T017","LILT_VF300_T016","LILT_VF207_T017","LILT_VF270_T017","LILT_VF77_16","0.00990501513781838","0.0135515237502541","0.0162846150716611","0.0208726054723212","0.0229572120593579"
"LILT_VF206_T016","LILT_VF279_T016","LILT_VF259_T016","LILT_VF06_16","LILT_VF171_T016","0.00777213206967913","0.020411620202506","0.0365086555768054","0.0821199457059643","LILT_VF114_T017","LILT_VF251_T017","LILT_VF95_16","LILT_VF281_T017","LILT_VF234_T017","0.00933003554910598","0.0287182240282757","0.0324903484502395","0.0325844792777037","0.0337520427428998"
"LILT_VF212_T016","LILT_VF28_T016","LILT_VF265_T016","LILT_VF82_T016","LILT_VF00TL_16","0.00739170665474476","0.0357790570195031","0.036222860332053","0.0365841751840008","LILT_VF264_T017","LILT_GF15_16","LILT_VF29_16","LILT_VF145_T017","LILT_VF73_16","0.00160112273063603","0.00563286367944746","0.0104715337505341","0.0141776927387766","0.0158582676392406"
"LILT_VF259_T016","LILT_VF206_T016","LILT_VF279_T016","LILT_VF06_16","LILT_VF171_T016","0.020411620202506","0.0279434248020129","0.0561403940635167","0.0622571320715985","LILT_VF114_T017","LILT_VF281_T017","LILT_VF95_16","LILT_VF217_T017","LILT_VF251_T017","0.0118429309018559","0.012275367298263","0.0133110890506203","0.0232282823073276","0.048666877426405"
"LILT_VF262_T016","LILT_VF18_T016","LILT_VF263_T016","LILT_GF06_16","LILT_VF261_T016","0.00190641368364529","0.00331874650816483","0.00883629365700121","0.0125251028289122","LILT_VF176_T017","LILT_VF232_T017","LILT_VF174_T017","LILT_VF273_T017","LILT_VF107_16","0.00298173198715624","0.00546377181239913","0.00667111328957782","0.00799516311845244","0.0115384475758745"
