"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21"
"CRC_MR_SBJ03H_17","CRC_MR_SBJ73H_17","CRC_MR_SBJ74H_17","CRC_MR_SBJ16H_17","CRC_MR_SBJ21H_17","CRC_MR_SBJ75H_17","0.00350887480163333","0.00673601092694419","0.00968214731579397","0.0143552238073079","0.0148939866669015","CRC_MR_SBJ11C_17","CRC_MR_SBJ06C_17","CRC_MR_SBJ31C_17","CRC_MR_SBJ22C_17","CRC_MR_SBJ01C_17","0.00197161882928658","0.00509645009623921","0.00652701713708505","0.015223064169667","0.0184928368282004"
"CRC_MR_SBJ18H_17","CRC_MR_SBJ83H_17","CRC_MR_SBJ79H_17","CRC_MR_SBJ68H_17","CRC_MR_SBJ84H_17","CRC_MR_SBJ60H_17","0.00682274130099769","0.00973578629285674","0.0149345247241986","0.0163744876833295","0.0211824130939611","CRC_MR_SBJ39C_17","CRC_MR_SBJ36C_17","CRC_MR_SBJ29C_17","CRC_MR_SBJ64C_17","CRC_MR_SBJ02C_17","0.00310214129151442","0.0031161045551376","0.00793039525058004","0.00851634050417899","0.0103257644680346"
"CRC_MR_SBJ24H_17","CRC_MR_SBJ63H_17","CRC_MR_SBJ69H_17","CRC_MR_SBJ82H_17","CRC_MR_SBJ81H_17","CRC_MR_SBJ17H_17","0.0145964711993763","0.0323593661055037","0.0414028008810555","0.0473392562322102","0.0489035841220178","CRC_MR_SBJ61C_17","CRC_MR_SBJ05C_17","CRC_MR_SBJ26C_17","CRC_MR_SBJ35C_17","CRC_MR_SBJ22C_17","0.0134900446123511","0.0255446503778134","0.0296945163974751","0.0588473397173397","0.0648252604955227"
"CRC_MR_SBJ34H_17","CRC_MR_SBJ67H_17","CRC_MR_SBJ37H_17","CRC_MR_SBJ57H_17","CRC_MR_SBJ68H_17","CRC_MR_SBJ83H_17","0.026191400112695","0.028933587391303","0.0310154847845623","0.0449744367539999","0.0532150856846181","CRC_MR_SBJ40C_17","CRC_MR_SBJ52C_17","CRC_MR_SBJ27C_17","CRC_MR_SBJ10C_17","CRC_MR_SBJ55C_17","0.00392820551084244","0.0134867610991262","0.0151250947445161","0.0157712344554462","0.0164684648773354"
"CRC_MR_SBJ37H_17","CRC_MR_SBJ57H_17","CRC_MR_SBJ68H_17","CRC_MR_SBJ83H_17","CRC_MR_SBJ34H_17","CRC_MR_SBJ18H_17","0.0049226919244393","0.0175481737514256","0.0253526107189486","0.028933587391303","0.0321279225378109","CRC_MR_SBJ33C_17","CRC_MR_SBJ04C_17","CRC_MR_SBJ42C_17","CRC_MR_SBJ53C_17","CRC_MR_SBJ12C_17","0.00546303349398058","0.00719386217248463","0.00781933812551087","0.00793974220435215","0.00981423901151681"
"CRC_MR_SBJ45H_17","CRC_MR_SBJ78H_17","CRC_MR_SBJ80H_17","CRC_MR_SBJ81H_17","CRC_MR_SBJ82H_17","CRC_MR_SBJ03H_17","0.00663389472673817","0.00864588884549561","0.0110947867636661","0.0169680403142515","0.0217730036170998","CRC_MR_SBJ35C_17","CRC_MR_SBJ22C_17","CRC_MR_SBJ11C_17","CRC_MR_SBJ31C_17","CRC_MR_SBJ06C_17","0.000761813127756504","0.00677633697316333","0.0212550112329929","0.0227819991633513","0.0260128291653362"
"CRC_MR_SBJ57H_17","CRC_MR_SBJ37H_17","CRC_MR_SBJ68H_17","CRC_MR_SBJ83H_17","CRC_MR_SBJ18H_17","CRC_MR_SBJ34H_17","0.0049226919244393","0.0140862917291784","0.0222637178257129","0.0289879448106389","0.0310154847845623","CRC_MR_SBJ04C_17","CRC_MR_SBJ42C_17","CRC_MR_SBJ33C_17","CRC_MR_SBJ07C_17","CRC_MR_SBJ53C_17","0.00454358069716855","0.00687942921290416","0.00845941555231597","0.00967208515730164","0.0105161746839661"
"CRC_MR_SBJ60H_17","CRC_MR_SBJ84H_17","CRC_MR_SBJ46H_17","CRC_MR_SBJ65H_17","CRC_MR_SBJ79H_17","CRC_MR_SBJ75H_17","0.00642940131290344","0.00966888773860997","0.0104352477841906","0.0114894470088323","0.0124731076813192","CRC_MR_SBJ20C_17","CRC_MR_SBJ01C_17","CRC_MR_SBJ02C_17","CRC_MR_SBJ64C_17","CRC_MR_SBJ39C_17","0.00425471496462718","0.00914597567695706","0.0116024377160563","0.012744413981181","0.0181886684361256"
"CRC_MR_SBJ63H_17","CRC_MR_SBJ24H_17","CRC_MR_SBJ69H_17","CRC_MR_SBJ82H_17","CRC_MR_SBJ81H_17","CRC_MR_SBJ80H_17","0.0145964711993763","0.019153022773795","0.0283399307357622","0.0341562558185917","0.0366584373374206","CRC_MR_SBJ05C_17","CRC_MR_SBJ26C_17","CRC_MR_SBJ61C_17","CRC_MR_SBJ35C_17","CRC_MR_SBJ22C_17","0.0135752664679319","0.0174153471659692","0.0266176164542722","0.0457616119816684","0.0515333338855133"
"CRC_MR_SBJ67H_17","CRC_MR_SBJ34H_17","CRC_MR_SBJ37H_17","CRC_MR_SBJ57H_17","CRC_MR_SBJ68H_17","CRC_MR_SBJ83H_17","0.026191400112695","0.0547578943572442","0.0571556401598551","0.0711501607961916","0.079382120683981","CRC_MR_SBJ25C_17","CRC_MR_SBJ50C_17","CRC_MR_SBJ10C_17","CRC_MR_SBJ27C_17","CRC_MR_SBJ40C_17","0.00375189197211999","0.00895172507394095","0.0110897627799164","0.0116218441338282","0.027382227885284"
