"Ctl","Disease"
"MMRS33294861ST.27.0.0","MMRS77321055ST.27.0.0"
"MMRS40913371ST.27.0.0","MMRS81194191ST.27.0.0"
"MMRS62666492ST.27.0.0","MMRS34525504ST.27.0.0"
"MMRS61683006ST.27.0.0","MMRS64281211ST.27.0.0"
"MMRS29805707ST.27.0.0","MMRS12272136ST.27.0.0"
"MMRS39415781ST.27.0.0","MMRS67247116ST.27.0.0"
"MMRS68630931ST.27.0.0","MMRS72980899ST.27.0.0"
"MMRS25211151ST.27.0.0","MMRS84954772ST.27.0.0"
"MMRS73787048ST.27.0.0","MMRS81671217ST.27.0.0"
"MMRS87723283ST.27.0.0","MMRS14602194ST.27.0.0"
"MMRS57569834ST.27.0.0","MMRS41266697ST.27.0.0"
"MMRS35808664ST.27.0.0","MMRS86958796ST.27.0.0"
"MMRS17603756ST.27.0.0","MMRS92544445ST.27.0.0"
"MMRS65862658ST.27.0.0","MMRS93508324ST.27.0.0"
"MMRS84085284ST.27.0.0","MMRS78791111ST.27.0.0"
"MMRS56137463ST.27.0.0","MMRS16644320ST.27.0.0"
"MMRS38954404ST.27.0.0","MMRS77487595ST.27.0.0"
"MMRS81130264ST.27.0.0","MMRS99045180ST.27.0.0"
"MMRS93621581ST.27.0.0","MMRS90191266ST.27.0.0"
"MMRS36405092ST.27.0.0","MMRS96422329ST.27.0.0"
"MMRS88581325ST.27.0.0","MMRS71762412ST.27.0.0"
"MMRS85548821ST.27.0.0","MMRS85382779ST.27.0.0"
"MMRS65742083ST.27.0.0","MMRS44587603ST.27.0.0"
"MMRS39582183ST.27.0.0","MMRS15137911ST.27.0.0"
"MMRS81135225ST.27.0.0","MMRS24340226ST.27.0.0"
"MMRS85438660ST.27.0.0","MMRS42780924ST.27.0.0"
"MMRS94549160ST.27.0.0","MMRS18295921ST.27.0.0"
"MMRS32573774ST.27.0.0","MMRS65945127ST.27.0.0"
"MMRS64281551ST.27.0.0","MMRS31306426ST.27.0.0"
"MMRS79893829ST.27.0.0","MMRS51410669ST.27.0.0"
"MMRS51737257ST.27.0.0","MMRS54316675ST.27.0.0"
"MMRS20257302ST.27.0.0","MMRS97327636ST.27.0.0"
"MMRS84159866ST.27.0.0","MMRS77018926ST.27.0.0"
"MMRS66868025ST.27.0.0","MMRS86178473ST.27.0.0"
"MMRS97307143ST.27.0.0","MMRS44197125ST.27.0.0"
"MMRS95674036ST.27.0.0","MMRS59699117ST.27.0.0"
"MMRS67096717ST.27.0.0","MMRS47662059ST.27.0.0"
