"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29"
"MMRS11932626ST.27.0.0","MMRS73787048ST.27.0.0","MMRS38954404ST.27.0.0","MMRS93621581ST.27.0.0","MMRS95479054ST.27.0.0","MMRS88581325ST.27.0.0","MMRS62666492ST.27.0.0","MMRS67096717ST.27.0.0","0.00527008562556103","0.00538386421515646","0.0129601012279965","0.0169743387082978","0.0172084354065242","0.0191643890223098","0.0225630583892927","MMRS77487595ST.27.0.0","MMRS81671217ST.27.0.0","MMRS90191266ST.27.0.0","MMRS71762412ST.27.0.0","MMRS34525504ST.27.0.0","MMRS65945127ST.27.0.0","MMRS54316675ST.27.0.0","0.00586709121373315","0.00616206299410431","0.0104548558053015","0.02014153115563","0.0201623134847609","0.0320943676676687","0.0363083115830503"
"MMRS17603756ST.27.0.0","MMRS85438660ST.27.0.0","MMRS56137463ST.27.0.0","MMRS57569834ST.27.0.0","MMRS81130264ST.27.0.0","MMRS61683006ST.27.0.0","MMRS95674036ST.27.0.0","MMRS40913371ST.27.0.0","0.0104868795355455","0.0250124784061984","0.0281802954578961","0.0330760104512869","0.0348544873992748","0.039087171853897","0.0595333993622263","MMRS92544445ST.27.0.0","MMRS42780924ST.27.0.0","MMRS68910755ST.27.0.0","MMRS59699117ST.27.0.0","MMRS51728985ST.27.0.0","MMRS16644320ST.27.0.0","MMRS44203591ST.27.0.0","0.00425473263495333","0.0067121389424122","0.00801424970199374","0.0140460450743519","0.0208358963997261","0.0213826181231741","0.0247634846979498"
"MMRS20257302ST.27.0.0","MMRS57276462ST.27.0.0","MMRS51737257ST.27.0.0","MMRS39582183ST.27.0.0","MMRS84159866ST.27.0.0","MMRS62666492ST.27.0.0","MMRS88581325ST.27.0.0","MMRS93621581ST.27.0.0","0.00577427603907126","0.0197936223713467","0.0227779280937674","0.0236631402413515","0.0279937139071002","0.0293574221672793","0.0333401043551277","MMRS97327636ST.27.0.0","MMRS54316675ST.27.0.0","MMRS15137911ST.27.0.0","MMRS71762412ST.27.0.0","MMRS34525504ST.27.0.0","MMRS77018926ST.27.0.0","MMRS90191266ST.27.0.0","0.0109788585477098","0.012090713983745","0.0163157248010161","0.0263799511661151","0.0267000903613544","0.0355052073921785","0.0372049284759304"
"MMRS29805707ST.27.0.0","MMRS36405092ST.27.0.0","MMRS64281551ST.27.0.0","MMRS97307143ST.27.0.0","MMRS85548821ST.27.0.0","MMRS92546335ST.27.0.0","MMRS17963147ST.27.0.0","MMRS84085284ST.27.0.0","0.00330609061739204","0.00638971006385018","0.00752770478430767","0.00755817718442818","0.00939400542776401","0.0119172826012065","0.0133874362169171","MMRS12272136ST.27.0.0","MMRS96422329ST.27.0.0","MMRS85382779ST.27.0.0","MMRS31306426ST.27.0.0","MMRS44197125ST.27.0.0","MMRS84954772ST.27.0.0","MMRS78791111ST.27.0.0","0.00214321938071314","0.00409460571888539","0.00798635962660021","0.00902694435185611","0.012604276777711","0.0147270923066272","0.0179277980988641"
"MMRS32573774ST.27.0.0","MMRS94549160ST.27.0.0","MMRS67096717ST.27.0.0","MMRS95479054ST.27.0.0","MMRS65742083ST.27.0.0","MMRS73787048ST.27.0.0","MMRS11932626ST.27.0.0","MMRS38954404ST.27.0.0","0.00339381163678186","0.00778939696568304","0.0117938205644261","0.0158457000512936","0.0232802056445008","0.0285071735808087","0.0338697383956251","MMRS65945127ST.27.0.0","MMRS18295921ST.27.0.0","MMRS44587603ST.27.0.0","MMRS81671217ST.27.0.0","MMRS47662059ST.27.0.0","MMRS80093644ST.27.0.0","MMRS25641480ST.27.0.0","0.00867519955417882","0.0106702274043993","0.0117311650823474","0.0232969630466198","0.0245665796850487","0.0250405526018838","0.0309401398792123"
"MMRS33294861ST.27.0.0","MMRS79893829ST.27.0.0","MMRS38861560ST.27.0.0","MMRS11288076ST.27.0.0","MMRS62192467ST.27.0.0","MMRS65862658ST.27.0.0","MMRS91297590ST.27.0.0","MMRS84085284ST.27.0.0","0.00518349075568753","0.00578210214981203","0.00724641865616515","0.0074531419850136","0.0103128747234102","0.0171354393550976","0.0194493379828267","MMRS77321055ST.27.0.0","MMRS93508324ST.27.0.0","MMRS51410669ST.27.0.0","MMRS78791111ST.27.0.0","MMRS86178473ST.27.0.0","MMRS84954772ST.27.0.0","MMRS25641480ST.27.0.0","0.0012944849949309","0.00807263728783348","0.00824612270583783","0.014905325031136","0.0149123759804948","0.0196011024631838","0.0228678366423593"
"MMRS35808664ST.27.0.0","MMRS68630931ST.27.0.0","MMRS87723283ST.27.0.0","MMRS81135225ST.27.0.0","MMRS64281551ST.27.0.0","MMRS40913371ST.27.0.0","MMRS39415781ST.27.0.0","MMRS97307143ST.27.0.0","0.00609653656316465","0.0138418487168256","0.0196291650555846","0.0198981983096655","0.0210696656733514","0.0216431503400031","0.0242142835624233","MMRS86958796ST.27.0.0","MMRS72802364ST.27.0.0","MMRS72980899ST.27.0.0","MMRS43939546ST.27.0.0","MMRS97052561ST.27.0.0","MMRS14602194ST.27.0.0","MMRS44197125ST.27.0.0","0.00408499415316054","0.00516676102832481","0.00652439361050959","0.00849866149538548","0.0097595412248224","0.0144242674043533","0.0148299780876781"
"MMRS36405092ST.27.0.0","MMRS29805707ST.27.0.0","MMRS85548821ST.27.0.0","MMRS92546335ST.27.0.0","MMRS64281551ST.27.0.0","MMRS17963147ST.27.0.0","MMRS97307143ST.27.0.0","MMRS25211151ST.27.0.0","0.00330609061739204","0.00545364232011049","0.00693132498738983","0.00946412300914465","0.0103786725326507","0.0105113433597642","0.0113355856352084","MMRS12272136ST.27.0.0","MMRS96422329ST.27.0.0","MMRS85382779ST.27.0.0","MMRS31306426ST.27.0.0","MMRS84954772ST.27.0.0","MMRS44197125ST.27.0.0","MMRS78791111ST.27.0.0","0.00328293080915535","0.00562830861825732","0.00842143501475688","0.00934511770214888","0.0125345713169572","0.0131853224185127","0.0168835687464643"
"MMRS38954404ST.27.0.0","MMRS11932626ST.27.0.0","MMRS93621581ST.27.0.0","MMRS73787048ST.27.0.0","MMRS88581325ST.27.0.0","MMRS62666492ST.27.0.0","MMRS51737257ST.27.0.0","MMRS95479054ST.27.0.0","0.00538386421515646","0.00763895245171913","0.0106242389840418","0.0119900540865773","0.0140820224806731","0.0212174645219058","0.0223087325078022","MMRS77487595ST.27.0.0","MMRS90191266ST.27.0.0","MMRS81671217ST.27.0.0","MMRS71762412ST.27.0.0","MMRS34525504ST.27.0.0","MMRS54316675ST.27.0.0","MMRS65945127ST.27.0.0","0.00528859395280959","0.00632234606852391","0.01116141529645","0.0147964284392992","0.0149755057331083","0.0310871743149786","0.037285903625891"
"MMRS39415781ST.27.0.0","MMRS81135225ST.27.0.0","MMRS40913371ST.27.0.0","MMRS87723283ST.27.0.0","MMRS35808664ST.27.0.0","MMRS61683006ST.27.0.0","MMRS68630931ST.27.0.0","MMRS81130264ST.27.0.0","0.00267874537050424","0.00432357877991558","0.00925510695539024","0.0216431503400031","0.0254852176016739","0.0265653886198774","0.0271198941900064","MMRS67247116ST.27.0.0","MMRS24340226ST.27.0.0","MMRS81194191ST.27.0.0","MMRS14379078ST.27.0.0","MMRS55294627ST.27.0.0","MMRS14602194ST.27.0.0","MMRS43563715ST.27.0.0","0.00222354057715251","0.00501419627918535","0.00517108574059429","0.00605563306953943","0.00688736163106437","0.00736288598108329","0.00982867037652382"
