"Ctl","Disease"
"SZAXPI015255.46","SZAXPI003421.5"
"SZAXPI003429.3","SZAXPI017464.37"
"SZAXPI015233.19","SZAXPI017458.25"
"SZAXPI015230.16","SZAXPI003420.4"
"SZAXPI015274.111","SZAXPI017588.123"
"SZAXPI015257.56","SZAXPI003422.11"
"SZAXPI003417.4","SZAXPI017595.169"
"SZAXPI015250.39","SZAXPI003412.1"
"SZAXPI015254.45","SZAXPI017454.20"
"SZAXPI015256.47","SZAXPI003418.8"
"SZAXPI015252.43","SZAXPI003409.8"
"SZAXPI015247.35","SZAXPI015211.166"
"SZAXPI015267.102","SZAXPI017590.136"
"SZAXPI015264.87","SZAXPI017593.158"
"SZAXPI015261.75","SZAXPI017457.24"
"SZAXPI015243.31","SZAXPI003416.4"
"SZAXPI015234.20","SZAXPI015225.18"
"SZAXPI015228.14","SZAXPI015222.123"
"SZAXPI015265.88","SZAXPI003425.1"
"SZAXPI015272.108","SZAXPI015219.129"
"SZAXPI015258.57","SZAXPI015213.15"
"SZAXPI015259.62","SZAXPI017468.88"
"SZAXPI015231.17","SZAXPI017586.111"
"SZAXPI015268.109","SZAXPI015215.20"
"SZAXPI015248.36","SZAXPI015224.13"
"SZAXPI015241.27","SZAXPI015226.14"
"SZAXPI015262.79","SZAXPI003410.3"
"SZAXPI015232.18","SZAXPI015209.133"
"SZAXPI015242.30","SZAXPI017462.33"
"SZAXPI015270.90","SZAXPI017584.108"
"SZAXPI015266.89","SZAXPI003431.1"
"SZAXPI015235.21","SZAXPI015220.136"
"SZAXPI015246.34","SZAXPI017455.21"
"SZAXPI015212.113","SZAXPI017594.166"
"SZAXPI015245.33","SZAXPI003413.4"
"SZAXPI003433.7","SZAXPI017461.32"
"SZAXPI017592.142","SZAXPI017466.84"
"SZAXPI015240.26","SZAXPI003434.7"
"SZAXPI015260.74","SZAXPI003427.1"
"SZAXPI015251.41","SZAXPI003424.12"
"SZAXPI015273.95","SZAXPI003437.3"
"SZAXPI015227.13","SZAXPI003435.11"
"SZAXPI015238.24","SZAXPI015237.23"
"SZAXPI015239.25","SZAXPI003426.11"
"SZAXPI015244.32","SZAXPI015216.169"
"SZAXPI003419.6","SZAXPI003414.3"
"SZAXPI015253.44","SZAXPI017460.27"
"SZAXPI015249.37","SZAXPI003411.6"
