"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31"
"SZAXPI003417.4","SZAXPI015267.102","SZAXPI015239.25","SZAXPI015260.74","SZAXPI015232.18","SZAXPI015238.24","SZAXPI015256.47","SZAXPI003429.3","0.0108163298804779","0.017818870013031","0.0276530400423489","0.0326533792204417","0.0480707409822318","0.0755872818106272","0.0868657163772271","SZAXPI017595.169","SZAXPI003426.11","SZAXPI017590.136","SZAXPI015209.133","SZAXPI003427.1","SZAXPI015237.23","SZAXPI017451.16","SZAXPI017582.94","0.00234544706416914","0.0096990874482654","0.013125656539104","0.027345830663057","0.0376520063883778","0.0499957485631537","0.0687961569161995","0.0696695354627883"
"SZAXPI003419.6","SZAXPI015274.111","SZAXPI015240.26","SZAXPI015254.45","SZAXPI015228.14","SZAXPI015246.34","SZAXPI015272.108","SZAXPI015266.89","0.00266502568686066","0.00450830550052283","0.0102217006484595","0.0105667767913641","0.0163826333060937","0.0273158257713402","0.0301223085636276","SZAXPI017588.123","SZAXPI017455.21","SZAXPI017454.20","SZAXPI015222.123","SZAXPI003434.7","SZAXPI003414.3","SZAXPI017585.109","SZAXPI003428.6","0.0033483244421314","0.0123914393526044","0.0127318241019449","0.0137339809972765","0.0152521640635016","0.0164552423424921","0.0220199413930018","0.0225950715294347"
"SZAXPI003429.3","SZAXPI015243.31","SZAXPI015266.89","SZAXPI015272.108","SZAXPI015256.47","SZAXPI015246.34","SZAXPI015240.26","SZAXPI015274.111","0.00255749244352866","0.00702153770684085","0.00931315558237916","0.0113518891074201","0.024754499269361","0.0324307004191825","0.034189245827825","SZAXPI017464.37","SZAXPI003416.4","SZAXPI015214.19","SZAXPI003418.8","SZAXPI017583.102","SZAXPI015219.129","SZAXPI003431.1","SZAXPI017585.109","0.000832715522902044","0.00170546491115602","0.00454316198153358","0.0119111809606157","0.0127908083294548","0.0131854874220004","0.0134795993243287","0.0150692667461698"
"SZAXPI003433.7","SZAXPI015265.88","SZAXPI015242.30","SZAXPI015255.46","SZAXPI015233.19","SZAXPI015261.75","SZAXPI015247.35","SZAXPI015270.90","0.00531114009689035","0.0112407386913564","0.0112931056086356","0.0130309698470226","0.013583078804757","0.0136429458369203","0.0218262507087982","SZAXPI003425.1","SZAXPI017462.33","SZAXPI017461.32","SZAXPI003421.5","SZAXPI003415.12","SZAXPI017459.26","SZAXPI017458.25","SZAXPI003423.8","0.00868595486265539","0.0101912181944848","0.0102047679237502","0.0110846351039135","0.0127272549749058","0.0129352634676498","0.0129794599839447","0.0137099581918383"
"SZAXPI015212.113","SZAXPI015259.62","SZAXPI015273.95","SZAXPI015270.90","SZAXPI015252.43","SZAXPI015231.17","SZAXPI015248.36","SZAXPI015251.41","0.00353898088356281","0.0074218697343518","0.016258664013512","0.0169219100549101","0.0185808225198528","0.0206202720060338","0.0222918290726365","SZAXPI017468.88","SZAXPI017594.166","SZAXPI017584.108","SZAXPI017463.36","SZAXPI003424.12","SZAXPI015221.142","SZAXPI017586.111","SZAXPI003437.3","0.00772648287573889","0.00844341115608049","0.0109180749627299","0.0110663517875191","0.0122046261253391","0.0130698570902288","0.0154053235265566","0.0188127465703464"
"SZAXPI015227.13","SZAXPI015234.20","SZAXPI015244.32","SZAXPI015253.44","SZAXPI015249.37","SZAXPI015263.84","SZAXPI015245.33","SZAXPI015235.21","0.00398031831324366","0.00458861683450739","0.00751849211587152","0.0129981550612041","0.0223991067412329","0.0246856560005812","0.0337806790804204","SZAXPI015225.18","SZAXPI003435.11","SZAXPI015216.169","SZAXPI003411.6","SZAXPI003413.4","SZAXPI017460.27","SZAXPI015220.136","SZAXPI017593.158","0.00766407010197978","0.0123285642634116","0.0147534824304685","0.0172928725051544","0.018147600899403","0.0188963316295954","0.0331858207070673","0.0423450262670701"
"SZAXPI015228.14","SZAXPI015254.45","SZAXPI003419.6","SZAXPI015274.111","SZAXPI015240.26","SZAXPI015246.34","SZAXPI015233.19","SZAXPI003433.7","0.00355798407066468","0.0105667767913641","0.012848201011554","0.0150118745373624","0.0248500228665873","0.0258037922172576","0.0263794782014","SZAXPI015222.123","SZAXPI017454.20","SZAXPI017588.123","SZAXPI017587.113","SZAXPI017455.21","SZAXPI003415.12","SZAXPI003428.6","SZAXPI017459.26","0.00384809092437651","0.00450355232470065","0.0123700877514514","0.0148903231389823","0.0183401742289385","0.019019391044795","0.019132464394624","0.0220424838888565"
"SZAXPI015230.16","SZAXPI015268.109","SZAXPI017592.142","SZAXPI015241.27","SZAXPI015258.57","SZAXPI015257.56","SZAXPI015250.39","SZAXPI015262.79","0.00596537375134955","0.0117647200684129","0.0159944552600575","0.0231974024342518","0.0342019049484098","0.0347396660907158","0.0384948767564064","SZAXPI003420.4","SZAXPI015215.20","SZAXPI017466.84","SZAXPI017580.90","SZAXPI015226.14","SZAXPI015213.15","SZAXPI017589.133","SZAXPI017453.19","0.00164019779793406","0.00664584597637753","0.00848454590625891","0.0106703107088253","0.0182149642070335","0.0200205080413952","0.0205246793398812","0.0218110042328338"
"SZAXPI015231.17","SZAXPI015252.43","SZAXPI015251.41","SZAXPI015262.79","SZAXPI015248.36","SZAXPI015257.56","SZAXPI015250.39","SZAXPI015259.62","0.00305444999524455","0.00445834073043015","0.00764747986510994","0.00847893970211956","0.0101945606891846","0.012589330675502","0.0154124478286785","SZAXPI003409.8","SZAXPI017586.111","SZAXPI003424.12","SZAXPI015224.13","SZAXPI003422.11","SZAXPI015221.142","SZAXPI017594.166","SZAXPI003412.1","0.00346888759806105","0.00532682196124865","0.0071204976378965","0.00822942911492742","0.00832222734322892","0.00986752534555243","0.0103742950928861","0.0106630408413087"
"SZAXPI015232.18","SZAXPI015260.74","SZAXPI015238.24","SZAXPI003417.4","SZAXPI015256.47","SZAXPI015267.102","SZAXPI015239.25","SZAXPI003429.3","0.00898189115527937","0.0174161806171648","0.0326533792204417","0.0433624343172938","0.043421782061134","0.0480523768271496","0.0545437723432937","SZAXPI015209.133","SZAXPI003427.1","SZAXPI015237.23","SZAXPI017595.169","SZAXPI003426.11","SZAXPI017582.94","SZAXPI003418.8","SZAXPI017583.102","0.00584250015467235","0.00609501910298727","0.0175105170654764","0.0311371630318107","0.0347290831570187","0.037045599699798","0.0433960709669123","0.0441307438005044"
"SZAXPI015233.19","SZAXPI015242.30","SZAXPI015255.46","SZAXPI015265.88","SZAXPI015247.35","SZAXPI003433.7","SZAXPI015261.75","SZAXPI015270.90","0.00303372438271401","0.0105520155961309","0.0110430701494663","0.011691526535543","0.0130309698470226","0.0165449877322896","0.0228068823191546","SZAXPI017458.25","SZAXPI017459.26","SZAXPI003415.12","SZAXPI017462.33","SZAXPI003421.5","SZAXPI017587.113","SZAXPI017461.32","SZAXPI003425.1","0.000981193733133879","0.0038492611791366","0.00697914375568033","0.00881313693976042","0.0101284006106604","0.0127965126741406","0.0129501215981012","0.0133737599271537"
"SZAXPI015234.20","SZAXPI015227.13","SZAXPI015244.32","SZAXPI015253.44","SZAXPI015249.37","SZAXPI015245.33","SZAXPI015263.84","SZAXPI015235.21","0.00398031831324366","0.0045689010230532","0.010315979912204","0.0168116314540567","0.021183548989977","0.0254118488195241","0.0301188001913977","SZAXPI015225.18","SZAXPI003435.11","SZAXPI015216.169","SZAXPI003413.4","SZAXPI017460.27","SZAXPI003411.6","SZAXPI015220.136","SZAXPI017593.158","0.00375185927760425","0.00908232766331388","0.0108970433369624","0.0142270929126469","0.0150150080606582","0.0154749601177357","0.0299231222889451","0.0386794518729319"
"SZAXPI015235.21","SZAXPI015264.87","SZAXPI015245.33","SZAXPI015234.20","SZAXPI015258.57","SZAXPI015244.32","SZAXPI015227.13","SZAXPI015241.27","0.00550920110448817","0.00941290791588725","0.0301188001913977","0.0310507405957075","0.0336448756830679","0.0337806790804204","0.0393521133433129","SZAXPI015220.136","SZAXPI017593.158","SZAXPI017581.93","SZAXPI003413.4","SZAXPI017460.27","SZAXPI015216.169","SZAXPI003435.11","SZAXPI003411.6","0.00691780870721868","0.00857741555066018","0.0123178656467527","0.0171475778119301","0.0192667764794267","0.0195120375541902","0.0216932878755561","0.022441451834512"
"SZAXPI015238.24","SZAXPI015232.18","SZAXPI015260.74","SZAXPI015256.47","SZAXPI003429.3","SZAXPI015243.31","SZAXPI015266.89","SZAXPI003417.4","0.0174161806171648","0.0205092243543134","0.0280329315714684","0.0392786086735986","0.0396727850377613","0.0457911026163888","0.0480707409822318","SZAXPI003427.1","SZAXPI015237.23","SZAXPI015209.133","SZAXPI017582.94","SZAXPI003418.8","SZAXPI017583.102","SZAXPI015214.19","SZAXPI017464.37","0.0116312274820278","0.0127487267645826","0.0228698899478372","0.0241599633014214","0.0275701538565047","0.0309071064015488","0.0348988458562648","0.0391189285898712"
"SZAXPI015239.25","SZAXPI015267.102","SZAXPI003417.4","SZAXPI015260.74","SZAXPI015232.18","SZAXPI015238.24","SZAXPI015229.15","SZAXPI015256.47","0.0111147977385893","0.017818870013031","0.0445564797829164","0.0480523768271496","0.0645730550694679","0.0840736688404199","0.0913468051709818","SZAXPI017590.136","SZAXPI003426.11","SZAXPI017595.169","SZAXPI015209.133","SZAXPI017451.16","SZAXPI003427.1","SZAXPI003432.12","SZAXPI015237.23","0.0125197170685867","0.0137364806675001","0.01828430724838","0.042431359988736","0.0530594436183967","0.0535265182880525","0.0595853135517011","0.0646074833054048"
"SZAXPI015240.26","SZAXPI015274.111","SZAXPI003419.6","SZAXPI015246.34","SZAXPI015254.45","SZAXPI015228.14","SZAXPI015272.108","SZAXPI015266.89","0.00294819454947138","0.00450830550052283","0.0142759707443635","0.0146347952354017","0.0150118745373624","0.023160436358752","0.0261452395495403","SZAXPI017588.123","SZAXPI003434.7","SZAXPI003414.3","SZAXPI017455.21","SZAXPI017454.20","SZAXPI017585.109","SZAXPI015222.123","SZAXPI015219.129","0.00467882411675895","0.011143485481586","0.0119883895778307","0.0125982735703853","0.0171371983115925","0.0176936660760987","0.0182022596440679","0.0193331550650734"
"SZAXPI015241.27","SZAXPI015258.57","SZAXPI017592.142","SZAXPI015230.16","SZAXPI015268.109","SZAXPI015264.87","SZAXPI015235.21","SZAXPI015245.33","0.00842623113774523","0.0103548388009154","0.0159944552600575","0.0218345202656685","0.0345749826926286","0.0393521133433129","0.0477170692369811","SZAXPI015226.14","SZAXPI015213.15","SZAXPI017589.133","SZAXPI017466.84","SZAXPI003436.7","SZAXPI017580.90","SZAXPI015223.158","SZAXPI003420.4","0.00575445006195831","0.00795626324284322","0.00875807513434456","0.00897658012663408","0.0115558614635595","0.0123709677034273","0.014264214728299","0.0165154260209568"
"SZAXPI015242.30","SZAXPI015233.19","SZAXPI015255.46","SZAXPI015265.88","SZAXPI015247.35","SZAXPI003433.7","SZAXPI015261.75","SZAXPI015270.90","0.00303372438271401","0.00763931245167385","0.00841636564665059","0.0089517200513606","0.0112407386913564","0.0135949912723524","0.0200713917906252","SZAXPI017458.25","SZAXPI017462.33","SZAXPI017459.26","SZAXPI003421.5","SZAXPI003415.12","SZAXPI017461.32","SZAXPI003425.1","SZAXPI015211.166","0.00360026782650688","0.0058684617813905","0.00610101962166301","0.00719393672471523","0.0087919986633524","0.00998894031665783","0.0104596463362856","0.0120436973993467"
"SZAXPI015243.31","SZAXPI003429.3","SZAXPI015266.89","SZAXPI015272.108","SZAXPI015256.47","SZAXPI015246.34","SZAXPI015240.26","SZAXPI015274.111","0.00255749244352866","0.00656844530654986","0.00931572508581722","0.0121439577169062","0.0238264494022286","0.0321309476699155","0.0337337306858947","SZAXPI017464.37","SZAXPI003416.4","SZAXPI015214.19","SZAXPI003418.8","SZAXPI015219.129","SZAXPI003431.1","SZAXPI017583.102","SZAXPI017585.109","0.00282551081660115","0.0035534786222981","0.00573481456639115","0.0121660490923948","0.0128862725094038","0.0130092495385257","0.0143810673786365","0.0150886736102471"
"SZAXPI015244.32","SZAXPI015234.20","SZAXPI015227.13","SZAXPI015253.44","SZAXPI015249.37","SZAXPI015263.84","SZAXPI015245.33","SZAXPI015235.21","0.0045689010230532","0.00458861683450739","0.00666625646164001","0.0145002547453229","0.0214745878284992","0.0250273402613778","0.0336448756830679","SZAXPI015225.18","SZAXPI003435.11","SZAXPI015216.169","SZAXPI017460.27","SZAXPI003413.4","SZAXPI003411.6","SZAXPI015220.136","SZAXPI017593.158","0.00690244912363243","0.013353712930524","0.0141639878370258","0.0168216582004501","0.016986325403274","0.019998707844631","0.0339692895899655","0.0421536334239011"
"SZAXPI015245.33","SZAXPI015235.21","SZAXPI015264.87","SZAXPI015234.20","SZAXPI015227.13","SZAXPI015244.32","SZAXPI015253.44","SZAXPI015249.37","0.00941290791588725","0.0148754752710359","0.021183548989977","0.0246856560005812","0.0250273402613778","0.0314278265906138","0.0375576184769425","SZAXPI015220.136","SZAXPI003413.4","SZAXPI015216.169","SZAXPI003435.11","SZAXPI017460.27","SZAXPI003411.6","SZAXPI017593.158","SZAXPI015225.18","0.0092165064381548","0.0101069149555543","0.0112046228960858","0.012446310043239","0.0134434147532598","0.0136052890732817","0.0178575337784011","0.018158244686035"
"SZAXPI015246.34","SZAXPI015274.111","SZAXPI015240.26","SZAXPI003419.6","SZAXPI015272.108","SZAXPI015266.89","SZAXPI015254.45","SZAXPI015243.31","0.0141713380766282","0.0142759707443635","0.0163826333060937","0.0167264256426785","0.0178072976138407","0.0225758119901703","0.0238264494022286","SZAXPI017455.21","SZAXPI003434.7","SZAXPI003431.1","SZAXPI015219.129","SZAXPI017588.123","SZAXPI003414.3","SZAXPI017585.109","SZAXPI003416.4","0.00804823071686311","0.00966272107198208","0.0121997544577067","0.013312489643842","0.0133773764514006","0.0140184486358922","0.0146434010078884","0.0242550778352807"
"SZAXPI015247.35","SZAXPI015255.46","SZAXPI015261.75","SZAXPI015265.88","SZAXPI015242.30","SZAXPI015270.90","SZAXPI015233.19","SZAXPI003433.7","0.00241563465245242","0.00595222124421819","0.00840942995069203","0.0089517200513606","0.0112180402008374","0.011691526535543","0.0136429458369203","SZAXPI003421.5","SZAXPI015211.166","SZAXPI017462.33","SZAXPI015210.17","SZAXPI017461.32","SZAXPI003425.1","SZAXPI017457.24","SZAXPI003437.3","0.00274273508231337","0.00322832240393189","0.00405057984236898","0.00451348601346443","0.00459079538067989","0.00639515602211554","0.00681731401843873","0.00867284803941599"
"SZAXPI015248.36","SZAXPI015252.43","SZAXPI015250.39","SZAXPI015231.17","SZAXPI015251.41","SZAXPI015257.56","SZAXPI015262.79","SZAXPI015259.62","0.00645950459593737","0.00674010048125312","0.00847893970211956","0.0114608429564665","0.0115049992064284","0.0126459933817656","0.0183279865582863","SZAXPI015224.13","SZAXPI003409.8","SZAXPI003412.1","SZAXPI003424.12","SZAXPI003422.11","SZAXPI017452.17","SZAXPI017586.111","SZAXPI017465.43","0.00549546545974504","0.00556850726990378","0.00641449610759328","0.00930378150831222","0.00982715453976328","0.0111483921077022","0.0128143027835293","0.0129474870610745"
