"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29"
"CCIS00146684ST.4.0","CCIS95409808ST.4.0","CCIS71578391ST.4.0","CCIS21126322ST.4.0","CCIS16383318ST.4.0","CCIS98482370ST.3.0","CCIS36797902ST.4.0","CCIS74239020ST.4.0","0.00838096270620432","0.0120847004116471","0.01656183578115","0.0197006300570872","0.0217065002519627","0.0244182195781658","0.0252032036578525","CCIS81887263ST.4.0","CCIS48725289ST.4.0","CCIS62605362ST.3.0","CCIS11015875ST.4.0","CCIS55230578ST.4.0","CCIS77252613ST.4.0","CCIS46047672ST.4.0","0.0150624066353842","0.0175815171598026","0.0186216054272184","0.0190786627154979","0.0211748276700356","0.029127662694708","0.0307417486846093"
"CCIS02856720ST.4.0","CCIS13047523ST.4.0","CCIS44093303ST.4.0","CCIS94603952ST.4.0","CCIS78100604ST.4.0","CCIS88317640ST.4.0","CCIS05314658ST.4.0","CCIS29210128ST.4.0","0.00239979763171648","0.00992980780695577","0.0171241151482015","0.0212761337192137","0.0218571867543442","0.033046941478803","0.0336940902640988","CCIS65479369ST.4.0","CCIS52370277ST.4.0","CCIS71301801ST.4.0","CCIS87252800ST.4.0","CCIS15704761ST.4.0","CCIS24254057ST.4.0","CCIS41288781ST.4.0","0.00528408390803245","0.0127222081395343","0.0130809678982991","0.0155642718928497","0.0251433644127421","0.0254681180988183","0.0267148777897262"
"CCIS03473770ST.4.0","CCIS63910149ST.4.0","CCIS64785924ST.20.0","CCIS03857607ST.4.0","CCIS07539127ST.4.0","CCIS16383318ST.4.0","CCIS93040568ST.20.0","CCIS71578391ST.4.0","0.00548040549603818","0.0116627788967023","0.0128742189934284","0.0156290773034365","0.020304515796105","0.024365792101836","0.0269659147450592","CCIS53355328ST.4.0","CCIS22958137ST.20.0","CCIS41548810ST.4.0","CCIS46047672ST.4.0","CCIS84543192ST.4.0","CCIS47284573ST.4.0","CCIS55230578ST.4.0","0.0027627819903151","0.00501789654255733","0.00578421093598045","0.00923523385924672","0.0113521729303652","0.0114200422362849","0.0172336309665075"
"CCIS03857607ST.4.0","CCIS64785924ST.20.0","CCIS07539127ST.4.0","CCIS63910149ST.4.0","CCIS93040568ST.20.0","CCIS03473770ST.4.0","CCIS00281083ST.3.0","CCIS82944710ST.20.0","0.00179403327625385","0.00586597452138716","0.00827047360133219","0.0123751549489038","0.0128742189934284","0.0283126080171245","0.0283845061290327","CCIS84543192ST.4.0","CCIS47284573ST.4.0","CCIS53355328ST.4.0","CCIS22958137ST.20.0","CCIS41548810ST.4.0","CCIS46047672ST.4.0","CCIS55230578ST.4.0","0.00244764451876669","0.00417390751128343","0.0102141730351869","0.0149445731589816","0.0185662990612096","0.0210267061174863","0.0300143704853758"
"CCIS05314658ST.4.0","CCIS29210128ST.4.0","CCIS34604008ST.4.0","CCIS48174381ST.4.0","CCIS88317640ST.4.0","CCIS45793747ST.4.0","CCIS44093303ST.4.0","CCIS50471204ST.4.0","0.00293196069777454","0.00468702102897959","0.0103021243747699","0.0113130230223089","0.0120819902602053","0.0263007186162705","0.0285318646096635","CCIS41288781ST.4.0","CCIS14449628ST.4.0","CCIS22416007ST.4.0","CCIS58234805ST.4.0","CCIS24254057ST.4.0","CCIS44757994ST.4.0","CCIS82146115ST.4.0","0.0064156340827527","0.00656357771024036","0.00658079100297678","0.00683224497695204","0.00835164122013936","0.00974097845824163","0.0111292991500166"
"CCIS07539127ST.4.0","CCIS03857607ST.4.0","CCIS64785924ST.20.0","CCIS93040568ST.20.0","CCIS63910149ST.4.0","CCIS03473770ST.4.0","CCIS00281083ST.3.0","CCIS16561622ST.4.0","0.00586597452138716","0.00657055350466929","0.00906050255537014","0.0102210239017373","0.0156290773034365","0.0252895789288063","0.0260951970584761","CCIS47284573ST.4.0","CCIS84543192ST.4.0","CCIS53355328ST.4.0","CCIS22958137ST.20.0","CCIS41548810ST.4.0","CCIS46047672ST.4.0","CCIS55230578ST.4.0","0.00428180665574674","0.00777301880084688","0.0130515188404271","0.0159642449571959","0.0209501636140244","0.0220874252157744","0.0319045373783853"
"CCIS07648107ST.4.0","CCIS64773582ST.4.0","CCIS95097901ST.4.0","CCIS11362406ST.4.0","CCIS63468405ST.4.0","CCIS20795251ST.4.0","CCIS11558985ST.4.0","CCIS51595129ST.4.0","0.00835462366391106","0.0103299522877219","0.0128005675916907","0.0181330488363535","0.0184720280367635","0.0239477593237186","0.0239486503594091","CCIS62794166ST.4.0","CCIS91228662ST.4.0","CCIS40244499ST.3.0","CCIS61287323ST.4.0","CCIS76845094ST.20.0","CCIS83870198ST.4.0","CCIS98512455ST.4.0","0.00265599627109888","0.00398626821676415","0.00504191139251485","0.00579298746923853","0.0146378194030961","0.020960469814954","0.0285762555062208"
"CCIS11362406ST.4.0","CCIS20795251ST.4.0","CCIS81139242ST.4.0","CCIS07648107ST.4.0","CCIS64773582ST.4.0","CCIS95097901ST.4.0","CCIS02124300ST.4.0","CCIS41692898ST.4.0","0.00612141399754979","0.0123691560499532","0.0128005675916907","0.0206336240304925","0.022705896057572","0.0250925089577405","0.0256192648122814","CCIS83870198ST.4.0","CCIS40244499ST.3.0","CCIS91228662ST.4.0","CCIS62794166ST.4.0","CCIS98512455ST.4.0","CCIS61287323ST.4.0","CCIS76845094ST.20.0","0.00831985620805055","0.011255902330138","0.0125737025130778","0.0151999789329656","0.0160872376392687","0.0183406207443703","0.0272895511056683"
"CCIS13047523ST.4.0","CCIS02856720ST.4.0","CCIS44093303ST.4.0","CCIS94603952ST.4.0","CCIS78100604ST.4.0","CCIS88317640ST.4.0","CCIS05314658ST.4.0","CCIS29210128ST.4.0","0.00239979763171648","0.0111064457920251","0.0153344702236076","0.0193015200521876","0.0238791044401062","0.0350166566015508","0.0357108555122978","CCIS65479369ST.4.0","CCIS71301801ST.4.0","CCIS52370277ST.4.0","CCIS87252800ST.4.0","CCIS15704761ST.4.0","CCIS24254057ST.4.0","CCIS41288781ST.4.0","0.00375997839745885","0.0116960407155734","0.0145501550504003","0.0174340482595891","0.0266805582668026","0.0273435207332628","0.028719134683114"
"CCIS15794887ST.4.0","CCIS45571137ST.3.0","CCIS27304052ST.3.0","CCIS79210440ST.3.0","CCIS74239020ST.4.0","CCIS36797902ST.4.0","CCIS98482370ST.3.0","CCIS21126322ST.4.0","0.0113686658372064","0.0368646294454292","0.047124244773534","0.0481249839388245","0.0494482611554988","0.0508052494484298","0.0562927497090815","CCIS98832363ST.4.0","CCIS33816588ST.4.0","CCIS21278152ST.4.0","CCIS12656533ST.4.0","CCIS78318719ST.4.0","CCIS53043478ST.4.0","CCIS35100175ST.4.0","0.00276183819476799","0.00297415701164458","0.00319461272294241","0.0217987525718745","0.0303766553960446","0.036661255225927","0.0398816835554824"
