"Species","Increasing.Rank.Min","Decreasing.Rank.Min","Increasing.Rank.Max","Decreasing.Rank.Max","Increasing.Rank.Average","Decreasing.Rank.Average","Decre.maxRank.P","Decre.aveRank.P","Decre.minRank.P","Decre.minRank.P.FDR","Decre.maxRank.P.FDR","Decre.aveRank.P.FDR","Ctlmean","Dismean","Origin"
"Pathway1",7959,1924,8078,2043,8018.5,1983.5,0.204279572042796,0.198330166983302,0.192380761923808,0.277940939059733,0.727254426875193,0.655322242836841,"0.000316119470588235","0.000332156176470588","X1CMET2.PWY..N10.formyl.tetrahydrofolate.biosynthesis"
"Pathway10",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","ARGDEG.IV.PWY..L.arginine.degradation.VIII..arginine.oxidase.pathway."
"Pathway100",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","P101.PWY..ectoine.biosynthesis"
"Pathway101",9798,172,9830,204,9814,188,0.0203979602039796,0.0187981201879812,0.0171982801719828,0.0330404235562107,0.182221777822218,0.170609605706096,"1.84729984705882e-05","3.252359e-05","P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase."
"Pathway102",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","P108.PWY..pyruvate.fermentation.to.propanoate.I"
"Pathway103",9525,423,9579,477,9552,450,0.0476952304769523,0.044995500449955,0.0422957704229577,0.0728956043302422,0.293846477421223,0.274063502740635,"6.83404452941176e-06","1.49862965882353e-05","P122.PWY..heterolactic.fermentation"
"Pathway104",481,9439,563,9521,522,9480,0.952004799520048,0.947905209479052,0.943805619438056,0.987629567249654,1,0.989087582798943,"3.11186e-06","1.76148647058824e-06","P124.PWY..Bifidobacterium.shunt"
"Pathway105",5027,1,10001,4975,7514,2488,0.497450254974503,0.248775122487751,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","1.02788823529412e-07","P125.PWY..superpathway.of..R.R..butanediol.biosynthesis"
"Pathway106",9766,211,9791,236,9778.5,223.5,0.0235976402359764,0.0223477652234777,0.0210978902109789,0.0392655178926552,0.196238837654696,0.184283110150523,"2.46168667058824e-05","4.29639729411765e-05","P161.PWY..acetylene.degradation"
"Pathway107",6368,3440,6562,3634,6465,3537,0.363363663633637,0.353664633536646,0.343965603439656,0.464396885248503,1,0.655322242836841,"3.06127e-05","2.65655341176471e-05","P162.PWY..L.glutamate.degradation.V..via.hydroxyglutarate."
"Pathway108",1784,6791,3211,8218,2497.5,7504.5,0.821717828217178,0.75037496250375,0.679032096790321,0.827184554271846,1,0.898906537917637,"1.54356470588235e-07","8.77057058823529e-08","P163.PWY..L.lysine.fermentation.to.acetate.and.butanoate"
"Pathway109",6904,2947,7055,3098,6979.5,3022.5,0.30976902309769,0.302219778022198,0.294670532946705,0.403947329052261,0.98831069274025,0.655322242836841,"1.46024923529412e-05","1.89645329411765e-05","P164.PWY..purine.nucleobases.degradation.I..anaerobic."
"Pathway11",9635,319,9683,367,9659,343,0.0366963303669633,0.0342965703429657,0.0318968103189681,0.0567996356510528,0.252169654829389,0.235678996202944,"9.97366658823529e-07","9.017479e-06","ARGDEG.PWY..superpathway.of.L.arginine..putrescine..and.4.aminobutanoate.degradation"
