"Pathway","Pvalue","Ctlmean","Ctlmedian","CRCmean","CRCmedian","Study","pvalue","adj.fdr.p","Enrichment","Origin"
"Pathway1",0.625933816722105,0.000300114458333333,"0.0002678995",0.00031377024137931,"0.000282109","ThomasAM_2018a",0.625933816722105,0.761515148864077,"Nodiff","X1CMET2.PWY..N10.formyl.tetrahydrofolate.biosynthesis"
"Pathway101",0.00357580118271118,1.77057201666667e-05,"3.687395e-06",4.40075686206897e-05,"2.57047e-05","ThomasAM_2018a",0.00357580118271118,0.0295740364801406,"Nodiff","P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase."
"Pathway103",0.00910135469781745,5.69103445833333e-06,"0",1.55791007586207e-05,"5.48805e-06","ThomasAM_2018a",0.00910135469781745,0.043199387791049,"Nodiff","P122.PWY..heterolactic.fermentation"
"Pathway104",0.0152318255742373,3.32709041666667e-06,"3.36226e-06",1.31566624137931e-06,"0","ThomasAM_2018a",0.0152318255742373,0.0572771396696407,"Nodiff","P124.PWY..Bifidobacterium.shunt"
"Pathway105",0.113246686329979,0,"0",3.28647931034483e-07,"0","ThomasAM_2018a",0.113246686329979,0.209693040072544,"Nodiff","P125.PWY..superpathway.of..R.R..butanediol.biosynthesis"
"Pathway106",0.0029480750637326,2.38910430833333e-05,"1.168655e-05",5.73036010344828e-05,"2.79001e-05","ThomasAM_2018a",0.0029480750637326,0.0268513863912942,"Nodiff","P161.PWY..acetylene.degradation"
"Pathway107",0.623014065517537,2.94407666666667e-05,"2.76189e-05",2.33397303448276e-05,"2.5418e-05","ThomasAM_2018a",0.623014065517537,0.760846136356185,"Nodiff","P162.PWY..L.glutamate.degradation.V..via.hydroxyglutarate."
"Pathway108",0.366523232848224,2.74455416666667e-07,"0",8.32488620689655e-07,"0","ThomasAM_2018a",0.366523232848224,0.522978345045129,"Nodiff","P163.PWY..L.lysine.fermentation.to.acetate.and.butanoate"
"Pathway109",0.322915098674787,1.27220708333333e-05,"1.22174e-05",2.06745727586207e-05,"2.03812e-05","ThomasAM_2018a",0.322915098674787,0.477291176550014,"Nodiff","P164.PWY..purine.nucleobases.degradation.I..anaerobic."
"Pathway11",0.0107107523361246,2.14480038333333e-06,"3.25021e-08",1.56358441034483e-05,"1.62538e-06","ThomasAM_2018a",0.0107107523361246,0.0461460013344092,"Nodiff","ARGDEG.PWY..superpathway.of.L.arginine..putrescine..and.4.aminobutanoate.degradation"
"Pathway111",0.142852722259523,3.09096766666667e-05,"2.724745e-05",2.25219235862069e-05,"2.10093e-05","ThomasAM_2018a",0.142852722259523,0.244372423357661,"Nodiff","P185.PWY..formaldehyde.assimilation.III..dihydroxyacetone.cycle."
"Pathway112",0.0112284038855239,0,"0",6.10984365517241e-06,"0","ThomasAM_2018a",0.0112284038855239,0.0461460013344092,"Nodiff","P221.PWY..octane.oxidation"
"Pathway113",0.407891642961885,3.519445375e-06,"4.52575e-07",2.99000637931034e-06,"0","ThomasAM_2018a",0.407891642961885,0.547224750341289,"Nodiff","P23.PWY..reductive.TCA.cycle.I"
"Pathway115",0.072335757289602,6.01929695833333e-05,"5.055975e-05",7.71410827586207e-05,"7.15402e-05","ThomasAM_2018a",0.072335757289602,0.15428576080124,"Nodiff","P4.PWY..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.I"
"Pathway116",0.809376718784983,5.23424870833333e-05,"5.19877e-05",5.08250637931035e-05,"4.50272e-05","ThomasAM_2018a",0.809376718784983,0.91838368427791,"Nodiff","P42.PWY..incomplete.reductive.TCA.cycle"
"Pathway118",0.000955498196819275,2.6643375e-05,"1.603535e-05",8.22699462068965e-05,"3.30585e-05","ThomasAM_2018a",0.000955498196819275,0.0161001446164048,"Nodiff","P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate"
"Pathway119",0.288536657947213,1.817075e-08,"0",0,"0","ThomasAM_2018a",0.288536657947213,0.428356183824717,"Nodiff","P562.PWY..myo.inositol.degradation.I"
"Pathway12",0.978612698617195,0.00014619926375,"0.00012504",0.000154221934482759,"0.000131868","ThomasAM_2018a",0.978612698617195,0.987593926025498,"Nodiff","ARGININE.SYN4.PWY..L.ornithine.de.novo..biosynthesis"
"Pathway121",0.379521984926793,0.000432411666666667,"0.0004202645",0.000413235262068966,"0.000392267","ThomasAM_2018a",0.379521984926793,0.522978345045129,"Nodiff","PANTO.PWY..phosphopantothenate.biosynthesis.I"
"Pathway122",0.638562738764398,0.000191458341666667,"0.00019778",0.000197966993448276,"0.000196647","ThomasAM_2018a",0.638562738764398,0.774085046631662,"Nodiff","PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I"
"Pathway123",0.703201618351351,6.18149702916667e-05,"6.051685e-05",6.68916744827586e-05,"6.13441e-05","ThomasAM_2018a",0.703201618351351,0.831505071524229,"Nodiff","PENTOSE.P.PWY..pentose.phosphate.pathway"
"Pathway124",0.0218178577094958,0.000643515208333333,"0.000639789",0.000542678062068966,"0.000525121","ThomasAM_2018a",0.0218178577094958,0.0687160565242999,"Nodiff","PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing."
"Pathway125",0.00117647220817677,7.56466833333333e-05,"6.44915e-05",0.000151152217241379,"0.000132574","ThomasAM_2018a",0.00117647220817677,0.0180214151888896,"Nodiff","PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria."
"Pathway128",0.266546131741058,5.14516504166667e-05,"4.02499e-05",5.49576655172414e-05,"5.51023e-05","ThomasAM_2018a",0.266546131741058,0.406452698627767,"Nodiff","POLYAMSYN.PWY..superpathway.of.polyamine.biosynthesis.I"
"Pathway129",0.00309949453748019,5.791423125e-06,"7.904635e-07",2.19265175172414e-05,"9.80311e-06","ThomasAM_2018a",0.00309949453748019,0.0274876226087059,"Nodiff","POLYISOPRENSYN.PWY..polyisoprenoid.biosynthesis..E..coli."
"Pathway13",0.017833461488436,2.35496154166667e-06,"3.586185e-07",7.37995286206897e-06,"4.27085e-06","ThomasAM_2018a",0.017833461488436,0.0600987652160293,"Nodiff","ARGORNPROST.PWY..arginine..ornithine.and.proline.interconversion"
"Pathway130",0.0249260246081348,1.70620130416667e-05,"9.30739e-06",5.29475596206897e-05,"2.33021e-05","ThomasAM_2018a",0.0249260246081348,0.0756763089454183,"Nodiff","PPGPPMET.PWY..ppGpp.biosynthesis"
