"Pathway","Pvalue","Ctlmean","Ctlmedian","CRCmean","CRCmedian","Study","pvalue","adj.fdr.p","Enrichment","Origin"
"Pathway103",0.912865213699552,2.93421042857143e-06,"8.19971e-07",4.38537771875e-06,"4.42885e-07","ThomasAM_2018b",0.912865213699552,0.973464279128322,"Nodiff","P122.PWY..heterolactic.fermentation"
"Pathway105",0.780777422865592,2.83013928571429e-07,"0",7.3932078125e-07,"0","ThomasAM_2018b",0.780777422865592,0.945151617153085,"Nodiff","P125.PWY..superpathway.of..R.R..butanediol.biosynthesis"
"Pathway112",0.367053313162153,0,"0",9.1774375e-09,"0","ThomasAM_2018b",0.367053313162153,0.603016157337823,"Nodiff","P221.PWY..octane.oxidation"
"Pathway113",0.043592603985141,6.72056167857143e-06,"3.41041e-06",1.525459375e-05,"7.411585e-06","ThomasAM_2018b",0.043592603985141,0.401051956663297,"Nodiff","P23.PWY..reductive.TCA.cycle.I"
"Pathway114",0.210611291547116,1.30361785714286e-08,"0",2.9220496875e-07,"0","ThomasAM_2018b",0.210611291547116,0.538327923963203,"Nodiff","P261.PWY..coenzyme.M.biosynthesis.I"
"Pathway119",0.485619682874008,2.62863178571429e-07,"0",3.430853125e-07,"0","ThomasAM_2018b",0.485619682874008,0.720596948780786,"Nodiff","P562.PWY..myo.inositol.degradation.I"
"Pathway121",0.396964786258344,0.000442074464285714,"0.000436259",0.00042213396875,"0.0004400165","ThomasAM_2018b",0.396964786258344,0.629668281651166,"Nodiff","PANTO.PWY..phosphopantothenate.biosynthesis.I"
"Pathway124",1,0.00066426425,"0.0006721095",0.00065904225,"0.000674431","ThomasAM_2018b",1,1,"Nodiff","PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing."
"Pathway134",0.924085656273987,1.19768214285714e-08,"0",5.93421875e-09,"0","ThomasAM_2018b",0.924085656273987,0.973464279128322,"Nodiff","PWY.101..photosynthesis.light.reactions"
"Pathway135",0.240754120292822,0.000597989285714286,"0.000629053",0.00056471015625,"0.0005712905","ThomasAM_2018b",0.240754120292822,0.538327923963203,"Nodiff","PWY.1042..glycolysis.IV..plant.cytosol."
"Pathway141",0.300371377863526,1.28676071428571e-07,"0",0,"0","ThomasAM_2018b",0.300371377863526,0.538327923963203,"Nodiff","PWY.2201..folate.transformations.I"
