"Species","Increasing.Rank.Min","Decreasing.Rank.Min","Increasing.Rank.Max","Decreasing.Rank.Max","Increasing.Rank.Average","Decreasing.Rank.Average","Decre.maxRank.P","Decre.aveRank.P","Decre.minRank.P","Decre.minRank.P.FDR","Decre.maxRank.P.FDR","Decre.aveRank.P.FDR","Ctlmean","Dismean","Origin"
"Pathway1",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","X1CMET2.PWY..N10.formyl.tetrahydrofolate.biosynthesis"
"Pathway10",2334,4942,5060,7668,3697,6305,0.766723327667233,0.63043695630437,0.494150584941506,0.628022505806291,1,0.76914399469144,"5.80224324324324e-09","3.38627027027027e-09","ARGDEG.IV.PWY..L.arginine.degradation.VIII..arginine.oxidase.pathway."
"Pathway100",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","P101.PWY..ectoine.biosynthesis"
"Pathway101",8486,1470,8532,1516,8509,1493,0.151584841515848,0.149285071492851,0.146985301469853,0.260013602600136,1,0.647407722995816,"1.32954084864865e-05","2.11991352162162e-05","P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase."
"Pathway102",4302,5635,4367,5700,4334.5,5667.5,0.56994300569943,0.566693330666933,0.563443655634437,0.691088785858256,1,0.714700294676415,"4.8500852972973e-05","5.37167351351351e-05","P108.PWY..pyruvate.fermentation.to.propanoate.I"
"Pathway103",6375,3565,6437,3627,6406,3596,0.362663733626637,0.35956404359564,0.356464353564644,0.503170680307297,1,0.647407722995816,"7.19387837837838e-06","6.38818283783784e-06","P122.PWY..heterolactic.fermentation"
"Pathway104",3230,6692,3310,6772,3270,6732,0.677132286771323,0.673132686731327,0.669133086691331,0.771301794551728,1,0.797944929568853,"2.2200067027027e-06","1.76944216216216e-06","P124.PWY..Bifidobacterium.shunt"
"Pathway105",1425,8541,1461,8577,1443,8559,0.857614238576142,0.855814418558144,0.854014598540146,0.904647875133435,1,0.909198585091986,"6.03954321621622e-06","5.36728895945946e-06","P125.PWY..superpathway.of..R.R..butanediol.biosynthesis"
"Pathway106",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","P161.PWY..acetylene.degradation"
"Pathway107",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","P162.PWY..L.glutamate.degradation.V..via.hydroxyglutarate."
"Pathway108",8994,958,9044,1008,9019,983,0.100789921007899,0.0982901709829017,0.0957904209579042,0.187385640997944,1,0.647407722995816,"1.61870364864865e-06","2.73587902702703e-06","P163.PWY..L.lysine.fermentation.to.acetate.and.butanoate"
"Pathway109",8483,1484,8518,1519,8500.5,1501.5,0.151884811518848,0.15013498650135,0.148385161483852,0.261626468932054,1,0.647407722995816,"8.40673702702703e-05","9.54816351351351e-05","P164.PWY..purine.nucleobases.degradation.I..anaerobic."
"Pathway11",8888,1087,8915,1114,8901.5,1100.5,0.111388861113889,0.11003899610039,0.108689131086891,0.208444869798734,1,0.647407722995816,"5.26103777297297e-06","6.15373921621622e-06","ARGDEG.PWY..superpathway.of.L.arginine..putrescine..and.4.aminobutanoate.degradation"
"Pathway110",6742,2813,7189,3260,6965.5,3036.5,0.325967403259674,0.303619638036196,0.281271872812719,0.428300351783003,1,0.647407722995816,"3.4241972972973e-07","9.91987459459459e-07","P165.PWY..superpathway.of.purines.degradation.in.plants"
"Pathway111",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","P185.PWY..formaldehyde.assimilation.III..dihydroxyacetone.cycle."
"Pathway112",9608,377,9625,394,9616.5,385.5,0.0393960603939606,0.0385461453854615,0.0376962303769623,0.0859794871576672,1,0.647407722995816,"1.89728486486486e-06","4.45235332432432e-06","P221.PWY..octane.oxidation"
"Pathway113",6475,3467,6535,3527,6505,3497,0.352664733526647,0.34966503349665,0.346665333466653,0.496214911842149,1,0.647407722995816,"4.10611443243243e-06","5.75681027027027e-06","P23.PWY..reductive.TCA.cycle.I"
"Pathway114",5566,4282,5720,4436,5643,4359,0.443555644435556,0.435856414358564,0.428157184281572,0.576883015216066,1,0.647407722995816,"1.71176486486486e-06","2.31452105405405e-06","P261.PWY..coenzyme.M.biosynthesis.I"
"Pathway115",1956,7999,2003,8046,1979.5,8022.5,0.804519548045195,0.802169783021698,0.7998200179982,0.87490516254497,1,0.877475517754347,"0.000112476594594595","9.30764648648649e-05","P4.PWY..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.I"
"Pathway116",4576,5350,4652,5426,4614,5388,0.542545745425457,0.538746125387461,0.534946505349465,0.659152475557042,1,0.685909556312777,"8.25662297297297e-05","8.19861297297297e-05","P42.PWY..incomplete.reductive.TCA.cycle"
"Pathway117",6129,3815,6187,3873,6158,3844,0.387261273872613,0.384361563843616,0.381461853814619,0.532457170949572,1,0.647407722995816,"8.03147459459459e-05","8.26219324324324e-05","P441.PWY..superpathway.of.N.acetylneuraminate.degradation"
"Pathway118",859,9114,888,9143,873.5,9128.5,0.914208579142086,0.912758724127587,0.911308869113089,0.940895141255105,1,0.943947223774733,"4.38656518918919e-05","3.12431948648649e-05","P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate"
"Pathway119",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","P562.PWY..myo.inositol.degradation.I"
"Pathway12",628,9354,648,9374,638,9364,0.937306269373063,0.936306369363064,0.935306469353065,0.96039131719012,1,0.961418034441767,"0.000182981172972973","0.000162842212972973","ARGININE.SYN4.PWY..L.ornithine.de.novo..biosynthesis"
"Pathway120",4294,5330,4672,5708,4483,5519,0.570742925707429,0.551844815518448,0.532946705329467,0.658201460959895,1,0.700921377056607,"8.20858243243243e-08","1.31900837837838e-07","P621.PWY..nylon.6.oligomer.degradation"
