"Pathway","Pvalue","Ctlmean","Ctlmedian","CRCmean","CRCmedian","Study","pvalue","adj.fdr.p","Enrichment","Origin"
"Pathway10",0.552394771173143,6.57167307692308e-09,"0",2.40946153846154e-09,"0","VogtmannE_2016",0.552394771173143,0.880638196474707,"Nodiff","ARGDEG.IV.PWY..L.arginine.degradation.VIII..arginine.oxidase.pathway."
"Pathway101",0.143958014360422,1.36702590192308e-05,"2.21444e-06",2.64416060769231e-05,"5.32028e-06","VogtmannE_2016",0.143958014360422,0.499088854538708,"Nodiff","P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase."
"Pathway102",0.460584531596861,4.69082419230769e-05,"3.87166e-05",5.32079903846154e-05,"4.2648e-05","VogtmannE_2016",0.460584531596861,0.787042798497933,"Nodiff","P108.PWY..pyruvate.fermentation.to.propanoate.I"
"Pathway103",0.615847419817331,7.18068367307692e-06,"5.630215e-07",9.08520248076923e-06,"1.437295e-06","VogtmannE_2016",0.615847419817331,0.89778199858778,"Nodiff","P122.PWY..heterolactic.fermentation"
"Pathway104",0.262725832106407,2.32310203846154e-06,"1.91481e-06",1.76133711538462e-06,"1.907375e-06","VogtmannE_2016",0.262725832106407,0.605242472482167,"Nodiff","P124.PWY..Bifidobacterium.shunt"
"Pathway105",0.832637476188699,5.31100753846154e-06,"1.332625e-06",9.74807583653846e-06,"1.3435e-06","VogtmannE_2016",0.832637476188699,0.995937972792551,"Nodiff","P125.PWY..superpathway.of..R.R..butanediol.biosynthesis"
"Pathway108",0.179227841442685,1.70277675e-06,"0",2.8946425e-06,"1.369975e-06","VogtmannE_2016",0.179227841442685,0.506725988078864,"Nodiff","P163.PWY..L.lysine.fermentation.to.acetate.and.butanoate"
"Pathway109",0.119462369432494,8.06348269230769e-05,"7.995125e-05",9.52594615384615e-05,"8.417785e-05","VogtmannE_2016",0.119462369432494,0.476317908891098,"Nodiff","P164.PWY..purine.nucleobases.degradation.I..anaerobic."
"Pathway11",0.257135866068539,4.75992263846154e-06,"3.016695e-07",7.88080384615385e-06,"6.17013e-07","VogtmannE_2016",0.257135866068539,0.601272589077561,"Nodiff","ARGDEG.PWY..superpathway.of.L.arginine..putrescine..and.4.aminobutanoate.degradation"
"Pathway110",0.920654392094255,2.50383634615385e-07,"0",7.07619742307692e-07,"0","VogtmannE_2016",0.920654392094255,0.995937972792551,"Nodiff","P165.PWY..superpathway.of.purines.degradation.in.plants"
"Pathway112",0.00262029542050784,1.43580141346154e-06,"4.779075e-08",8.249719125e-06,"9.47122e-07","VogtmannE_2016",0.00262029542050784,0.153097519192624,"Nodiff","P221.PWY..octane.oxidation"
