"Pathway","Pvalue","Ctlmean","Ctlmedian","CRCmean","CRCmedian","Study","pvalue","adj.fdr.p","Enrichment","Origin"
"Pathway101",0.888428080476194,7.55832334339623e-05,"3.19305e-05",6.701796348e-05,"3.33078e-05","YuJ_2015",0.888428080476194,0.991383448241009,"Nodiff","P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase."
"Pathway102",0.159210243346797,4.79884488679245e-05,"4.09828e-05",6.46923296e-05,"4.58927e-05","YuJ_2015",0.159210243346797,0.991383448241009,"Nodiff","P108.PWY..pyruvate.fermentation.to.propanoate.I"
"Pathway103",0.456138578948238,2.55788453962264e-05,"4.57536e-06",1.6921977e-05,"4.82572e-06","YuJ_2015",0.456138578948238,0.991383448241009,"Nodiff","P122.PWY..heterolactic.fermentation"
"Pathway104",0.267994363747841,6.06696139622642e-06,"3.43668e-06",4.49054978666667e-06,"3.09424e-06","YuJ_2015",0.267994363747841,0.991383448241009,"Nodiff","P124.PWY..Bifidobacterium.shunt"
"Pathway105",0.775321871048209,1.11041800566038e-05,"4.2593e-06",1.07578475733333e-05,"3.98887e-06","YuJ_2015",0.775321871048209,0.991383448241009,"Nodiff","P125.PWY..superpathway.of..R.R..butanediol.biosynthesis"
"Pathway107",3.66407561608268e-06,1.31107003584906e-05,"1.17423e-05",3.20990965066667e-05,"2.65117e-05","YuJ_2015",3.66407561608268e-06,0.000420147337310814,"CRC","P162.PWY..L.glutamate.degradation.V..via.hydroxyglutarate."
"Pathway108",1.79290892056756e-06,7.84528528301887e-07,"0",3.23652016e-06,"1.04553e-06","YuJ_2015",1.79290892056756e-06,0.00030838033433762,"CRC","P163.PWY..L.lysine.fermentation.to.acetate.and.butanoate"
"Pathway11",0.967199115679937,2.44403306415094e-05,"6.08033e-06",1.84609530266667e-05,"6.17102e-06","YuJ_2015",0.967199115679937,0.991383448241009,"Nodiff","ARGDEG.PWY..superpathway.of.L.arginine..putrescine..and.4.aminobutanoate.degradation"
"Pathway110",0.348669170002227,3.33561009433962e-06,"8.45555e-07",2.14780034666667e-06,"1.13159e-07","YuJ_2015",0.348669170002227,0.991383448241009,"Nodiff","P165.PWY..superpathway.of.purines.degradation.in.plants"
"Pathway112",0.842677688815653,2.43151732811321e-05,"3.81682e-06",1.97060487466667e-05,"3.91743e-06","YuJ_2015",0.842677688815653,0.991383448241009,"Nodiff","P221.PWY..octane.oxidation"
