"Species","Increasing.Rank.Min","Decreasing.Rank.Min","Increasing.Rank.Max","Decreasing.Rank.Max","Increasing.Rank.Average","Decreasing.Rank.Average","Decre.maxRank.P","Decre.aveRank.P","Decre.minRank.P","Decre.minRank.P.FDR","Decre.maxRank.P.FDR","Decre.aveRank.P.FDR","Ctlmean","Dismean","Origin"
"Pathway1",9366,618,9384,636,9375,627,0.0635936406359364,0.0626937306269373,0.0617938206179382,0.123587641235876,1,0.72635988433677,"0.000263495351351351","0.000277374189189189","X1CMET2.PWY..N10.formyl.tetrahydrofolate.biosynthesis"
"Pathway10",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000215239520224684,1,0.72635988433677,"0","0","ARGDEG.IV.PWY..L.arginine.degradation.VIII..arginine.oxidase.pathway."
"Pathway100",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000215239520224684,1,0.72635988433677,"0","0","P101.PWY..ectoine.biosynthesis"
"Pathway101",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000215239520224684,1,0.72635988433677,"0","0","P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase."
"Pathway102",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000215239520224684,1,0.72635988433677,"0","0","P108.PWY..pyruvate.fermentation.to.propanoate.I"
"Pathway103",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000215239520224684,1,0.72635988433677,"0","0","P122.PWY..heterolactic.fermentation"
"Pathway104",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000215239520224684,1,0.72635988433677,"0","0","P124.PWY..Bifidobacterium.shunt"
"Pathway105",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000215239520224684,1,0.72635988433677,"0","0","P125.PWY..superpathway.of..R.R..butanediol.biosynthesis"
"Pathway106",812,9166,836,9190,824,9178,0.918908109189081,0.917708229177082,0.916508349165084,0.999300069993001,1,0.999300069993001,"0.000109751643243243","8.25012956756757e-05","P161.PWY..acetylene.degradation"
"Pathway107",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000215239520224684,1,0.72635988433677,"0","0","P162.PWY..L.glutamate.degradation.V..via.hydroxyglutarate."
"Pathway108",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000215239520224684,1,0.72635988433677,"0","0","P163.PWY..L.lysine.fermentation.to.acetate.and.butanoate"
"Pathway109",9827,172,9830,175,9828.5,173.5,0.0174982501749825,0.0173482651734827,0.0171982801719828,0.0364358821034893,1,0.72635988433677,"7.93089378378378e-05","0.000100043121621622","P164.PWY..purine.nucleobases.degradation.I..anaerobic."
"Pathway11",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000215239520224684,1,0.72635988433677,"0","0","ARGDEG.PWY..superpathway.of.L.arginine..putrescine..and.4.aminobutanoate.degradation"
"Pathway110",5902,3612,6390,4100,6146,3856,0.40995900409959,0.385561443855614,0.361163883611639,0.566034624607715,1,0.72635988433677,"1.05534162162162e-07","1.86587378378378e-07","P165.PWY..superpathway.of.purines.degradation.in.plants"
"Pathway111",693,9287,715,9309,704,9298,0.930806919308069,0.92970702929707,0.928607139286071,0.999300069993001,1,0.999300069993001,"6.55169756756757e-05","5.27556716216216e-05","P185.PWY..formaldehyde.assimilation.III..dihydroxyacetone.cycle."
"Pathway112",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000215239520224684,1,0.72635988433677,"0","0","P221.PWY..octane.oxidation"
"Pathway113",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000215239520224684,1,0.72635988433677,"0","0","P23.PWY..reductive.TCA.cycle.I"
"Pathway114",6136,3780,6222,3866,6179,3823,0.386561343865613,0.382261773822618,0.377962203779622,0.587210844132978,1,0.72635988433677,"9.01476086486487e-06","8.18896410810811e-06","P261.PWY..coenzyme.M.biosynthesis.I"
"Pathway115",1320,8647,1355,8682,1337.5,8664.5,0.868113188681132,0.866363363663634,0.864613538646135,0.999300069993001,1,0.999300069993001,"0.000124271478378378","0.000105827305405405","P4.PWY..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.I"
"Pathway116",619,9360,642,9383,630.5,9371.5,0.938206179382062,0.937056294370563,0.935906409359064,0.999300069993001,1,0.999300069993001,"0.000101801016216216","8.49791756756757e-05","P42.PWY..incomplete.reductive.TCA.cycle"
"Pathway117",7379,2568,7434,2623,7406.5,2595.5,0.262273772622738,0.259524047595241,0.256774322567743,0.443971086762292,1,0.72635988433677,"9.15352216216216e-05","9.75919081081081e-05","P441.PWY..superpathway.of.N.acetylneuraminate.degradation"
"Pathway118",847,9124,878,9155,862.5,9139.5,0.915408459154085,0.913858614138586,0.912308769123088,0.999300069993001,1,0.999300069993001,"7.10833516216216e-05","5.25663583783784e-05","P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate"
"Pathway119",6209,3450,6552,3793,6380.5,3621.5,0.379262073792621,0.362113788621138,0.344965503449655,0.545432182445472,1,0.72635988433677,"2.35762505405405e-07","3.0295872972973e-07","P562.PWY..myo.inositol.degradation.I"
"Pathway12",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000215239520224684,1,0.72635988433677,"0","0","ARGININE.SYN4.PWY..L.ornithine.de.novo..biosynthesis"
"Pathway120",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000215239520224684,1,0.72635988433677,"0","0","P621.PWY..nylon.6.oligomer.degradation"
"Pathway121",6897,3047,6955,3105,6926,3076,0.31046895310469,0.307569243075692,0.304669533046695,0.50715176929512,1,0.72635988433677,"0.000304802567567568","0.000317174405405405","PANTO.PWY..phosphopantothenate.biosynthesis.I"
"Pathway122",7244,2707,7295,2758,7269.5,2732.5,0.275772422757724,0.273222677732227,0.270672932706729,0.459116113705085,1,0.72635988433677,"0.000287480675675676","0.000297451648648649","PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I"
"Pathway123",8356,1618,8384,1646,8370,1632,0.164583541645835,0.163183681631837,0.161783821617838,0.306606795150874,1,0.72635988433677,"0.000156631454054054","0.000165616586486486","PENTOSE.P.PWY..pentose.phosphate.pathway"
"Pathway124",2368,7578,2424,7634,2396,7606,0.763323667633237,0.760523947605239,0.757724227577242,0.931514188030738,1,0.939264598885734,"0.000466239486486486","0.000455929","PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing."
"Pathway125",1515,8458,1544,8487,1529.5,8472.5,0.848615138486151,0.847165283471653,0.845715428457154,0.989745566928023,1,0.996143368119328,"0.000212831035135135","0.000203981364864865","PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria."
"Pathway126",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000215239520224684,1,0.72635988433677,"0","0","PHOTOALL.PWY..oxygenic.photosynthesis"
"Pathway127",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000215239520224684,1,0.72635988433677,"0","0","POLYAMINSYN3.PWY..superpathway.of.polyamine.biosynthesis.II"
"Pathway128",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000215239520224684,1,0.72635988433677,"0","0","POLYAMSYN.PWY..superpathway.of.polyamine.biosynthesis.I"
"Pathway129",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000215239520224684,1,0.72635988433677,"0","0","POLYISOPRENSYN.PWY..polyisoprenoid.biosynthesis..E..coli."
"Pathway13",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000215239520224684,1,0.72635988433677,"0","0","ARGORNPROST.PWY..arginine..ornithine.and.proline.interconversion"
"Pathway130",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000215239520224684,1,0.72635988433677,"0","0","PPGPPMET.PWY..ppGpp.biosynthesis"
"Pathway131",9890,103,9899,112,9894.5,107.5,0.0111988801119888,0.0107489251074893,0.0102989701029897,0.0219057459333432,1,0.72635988433677,"4.19786432432432e-07","2.22142275675676e-06","PROPFERM.PWY..L.alanine.fermentation.to.propanoate.and.acetate"
"Pathway132",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000215239520224684,1,0.72635988433677,"0","0","PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY..protocatechuate.degradation.II..ortho.cleavage.pathway."
"Pathway133",4909,5025,4977,5093,4943,5059,0.509249075092491,0.505849415058494,0.502449755024498,0.691645707224149,1,0.730822874585857,"0.000139944135135135","0.000137251910810811","PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis"
"Pathway134",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000215239520224684,1,0.72635988433677,"0","0","PWY.101..photosynthesis.light.reactions"
"Pathway135",1061,8920,1082,8941,1071.5,8930.5,0.894010598940106,0.892960703929607,0.891910808919108,0.999300069993001,1,0.999300069993001,"0.000608771513513514","0.000585017648648649","PWY.1042..glycolysis.IV..plant.cytosol."
"Pathway136",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000215239520224684,1,0.72635988433677,"0","0","PWY.1269..CMP.3.deoxy.D.manno.octulosonate.biosynthesis.I"
"Pathway137",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000215239520224684,1,0.72635988433677,"0","0","PWY.1541..superpathway.of.taurine.degradation"
"Pathway138",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000215239520224684,1,0.72635988433677,"0","0","PWY.1622..formaldehyde.assimilation.I..serine.pathway."
