"Pathway","Pvalue","Ctlmean","Ctlmedian","CRCmean","CRCmedian","Study","pvalue","adj.fdr.p","Enrichment","Origin"
"Pathway1",0.637256399424065,0.000268044032786885,"0.000271157",0.000265356452830189,"0.000251129","ZellerG_2014",0.637256399424065,0.822923205585261,"Nodiff","X1CMET2.PWY..N10.formyl.tetrahydrofolate.biosynthesis"
"Pathway106",0.0948663360276965,0.000118125168852459,"9.3421e-05",0.000101142566792453,"7.41497e-05","ZellerG_2014",0.0948663360276965,0.273438262668066,"Nodiff","P161.PWY..acetylene.degradation"
"Pathway109",0.054114194520812,8.10803704918033e-05,"8.01905e-05",9.79760962264151e-05,"8.74276e-05","ZellerG_2014",0.054114194520812,0.178759249315941,"Nodiff","P164.PWY..purine.nucleobases.degradation.I..anaerobic."
"Pathway110",0.744952273660542,7.58792786885246e-08,"0",1.67803094339623e-07,"0","ZellerG_2014",0.744952273660542,0.890308814862599,"Nodiff","P165.PWY..superpathway.of.purines.degradation.in.plants"
"Pathway111",0.789457115249356,6.16120486885246e-05,"4.81826e-05",6.18100630188679e-05,"4.17405e-05","ZellerG_2014",0.789457115249356,0.921033301124249,"Nodiff","P185.PWY..formaldehyde.assimilation.III..dihydroxyacetone.cycle."
"Pathway114",0.313370650355578,6.68130347540984e-06,"0",9.20251369811321e-06,"3.43858e-07","ZellerG_2014",0.313370650355578,0.59825305976974,"Nodiff","P261.PWY..coenzyme.M.biosynthesis.I"
"Pathway115",0.149014634429151,0.000136146849180328,"0.000115218",0.000105951828490566,"9.70326e-05","ZellerG_2014",0.149014634429151,0.380959152366699,"Nodiff","P4.PWY..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.I"
"Pathway116",0.905033831138905,8.90432472131148e-05,"8.46498e-05",9.07997358490566e-05,"8.13565e-05","ZellerG_2014",0.905033831138905,0.97465181814959,"Nodiff","P42.PWY..incomplete.reductive.TCA.cycle"
"Pathway117",0.132192046116275,8.85552196721311e-05,"8.36465e-05",0.000102048924528302,"9.30784e-05","ZellerG_2014",0.132192046116275,0.350130284307972,"Nodiff","P441.PWY..superpathway.of.N.acetylneuraminate.degradation"
"Pathway118",0.456734259151297,6.65912676393443e-05,"5.26837e-05",5.52384860377359e-05,"4.98717e-05","ZellerG_2014",0.456734259151297,0.718074182836799,"Nodiff","P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate"
"Pathway119",0.671388994470429,1.85082736065574e-07,"0",2.59830283018868e-07,"0","ZellerG_2014",0.671388994470429,0.825892737967808,"Nodiff","P562.PWY..myo.inositol.degradation.I"
"Pathway121",0.927572890072289,0.000307378,"0.000310133",0.000307488471698113,"0.000305137","ZellerG_2014",0.927572890072289,0.97505193290675,"Nodiff","PANTO.PWY..phosphopantothenate.biosynthesis.I"
"Pathway122",0.48114211336109,0.000289147918032787,"0.000291307",0.000285131830188679,"0.000272454","ZellerG_2014",0.48114211336109,0.72590408074878,"Nodiff","PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I"
"Pathway123",0.824651617550096,0.000160129495081967,"0.000148974",0.000160353118867925,"0.000164414","ZellerG_2014",0.824651617550096,0.936091025327136,"Nodiff","PENTOSE.P.PWY..pentose.phosphate.pathway"
"Pathway124",0.0355499421969717,0.000474812442622951,"0.000463194",0.000433061245283019,"0.000422718","ZellerG_2014",0.0355499421969717,0.147347161110386,"Nodiff","PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing."
