"Species","Pvalue","Ctlmean","Ctlmedian","CRCmean","CRCmedian","Study","pvalue","adj.fdr.p","Enrichment"
"Parvimonas_unclassified",3.96797704097781e-06,0.00744725,"0",0.09372725,"0.01257","PRJDB4176",3.96797704097781e-06,0.00174194192098926,"CRC"
"Gemella_morbillorum",8.26929817404736e-06,0.00126025,"0",0.0569575,"0.000455","PRJDB4176",8.26929817404736e-06,0.0018151109492034,"CRC"
"Peptostreptococcus_stomatis",5.48016501116037e-05,0.0049495,"0",0.19246,"0.012205","PRJDB4176",5.48016501116037e-05,0.00801930813299801,"CRC"
"Alistipes_shahii",0.00014649672885272,0.132867,"0",0.643026,"0.20308","PRJDB4176",0.00014649672885272,0.016078015991586,"Nodiff"
"Anaerotruncus_colihominis",0.000733064762724328,0.00402575,"0",0.04603375,"0.00258","PRJDB4176",0.000733064762724328,0.0556044858818534,"Nodiff"
"Fusobacterium_nucleatum",0.000759970194285012,0.00954125,"0",0.06328025,"0.000535","PRJDB4176",0.000759970194285012,0.0556044858818534,"Nodiff"
"Solobacterium_moorei",0.00124920946321299,0.00648525,"0",0.097039,"0.00684","PRJDB4176",0.00124920946321299,0.0783432791929289,"Nodiff"
"Clostridium_innocuum",0.00164205221452299,0,"0",0.0024095,"0","PRJDB4176",0.00164205221452299,0.0800956580195103,"Nodiff"
"Odoribacter_laneus",0.00164205221452299,0,"0",0.74847125,"0","PRJDB4176",0.00164205221452299,0.0800956580195103,"Nodiff"
"Pseudoflavonifractor_capillosus",0.00281002167178328,0.00467175,"0",0.01040975,"0.000275","PRJDB4176",0.00281002167178328,0.123359951391286,"Nodiff"
"Parvimonas_micra",0.00455157980924219,0.00180875,"0",0.022654,"0","PRJDB4176",0.00455157980924219,0.181649412387029,"Nodiff"
"Alloprevotella_tannerae",0.00616722969113725,0,"0",0.010902,"0","PRJDB4176",0.00616722969113725,0.208262602646866,"Nodiff"
"Subdoligranulum_sp_4_3_54A2FAA",0.00616722969113725,0,"0",0.103803,"0","PRJDB4176",0.00616722969113725,0.208262602646866,"Nodiff"
"Erysipelotrichaceae_bacterium_2_2_44A",0.00981371226715801,0.00422275,"0",0.003454,"0","PRJDB4176",0.00981371226715801,0.307729977520169,"Nodiff"
"Porphyromonas_uenonis",0.0118068538408286,0,"0",0.065579,"0","PRJDB4176",0.0118068538408286,0.333315788346555,"Nodiff"
"Holdemania_filiformis",0.0124432476485021,0.010436,"0",0.03657575,"0.001525","PRJDB4176",0.0124432476485021,0.333315788346555,"Nodiff"
"Enterococcus_faecium",0.013070868314087,0.122432,"0",0.00030625,"0","PRJDB4176",0.013070868314087,0.333315788346555,"Nodiff"
"Alistipes_senegalensis",0.0144611629103342,0.0496715,"0",0.039908,"0","PRJDB4176",0.0144611629103342,0.333315788346555,"Nodiff"
"Parabacteroides_johnsonii",0.0150588112218646,0.0116485,"0",0.09937725,"0","PRJDB4176",0.0150588112218646,0.333315788346555,"Nodiff"
"Clostridium_hathewayi",0.0155265078527193,0.0355695,"0",0.22961525,"0.020785","PRJDB4176",0.0155265078527193,0.333315788346555,"Nodiff"
