"Species","Pvalue","Ctlmean","Ctlmedian","CRCmean","CRCmedian","Study","pvalue","adj.fdr.p","Enrichment"
"Parvimonas_unclassified",2.59171610295903e-11,3.43076923076923e-05,"0",0.206848,"0.00426","PRJEB27928",2.59171610295903e-11,8.60710605741912e-09,"CRC"
"Solobacterium_moorei",5.40399200366782e-11,0.00224046153846154,"0",0.0992375,"0.00797","PRJEB27928",5.40399200366782e-11,8.60710605741912e-09,"CRC"
"Anaerotruncus_unclassified",5.76368709202173e-11,0.00619646153846154,"0",0.0472755,"0.03612","PRJEB27928",5.76368709202173e-11,8.60710605741912e-09,"CRC"
"Clostridium_hathewayi",1.11883261255235e-09,0.006416,"0",0.0546971666666667,"0.01793","PRJEB27928",1.11883261255235e-09,1.25309252605863e-07,"CRC"
"Parvimonas_micra",4.03146701745275e-09,0,"0",0.0459421666666667,"0","PRJEB27928",4.03146701745275e-09,3.61219444763766e-07,"CRC"
"Peptostreptococcus_stomatis",9.24908526636766e-09,0,"0",0.108094833333333,"0","PRJEB27928",9.24908526636766e-09,6.90598366555452e-07,"CRC"
"Ruminococcus_albus",3.03521607900352e-08,0.000132769230769231,"0",0.003219,"6.5e-05","PRJEB27928",3.03521607900352e-08,1.94253829056225e-06,"CRC"
"Porphyromonas_asaccharolytica",4.63091508745603e-08,0.000284,"0",0.426429833333333,"0","PRJEB27928",4.63091508745603e-08,2.33749164837441e-06,"CRC"
"Gemella_morbillorum",4.69585375789502e-08,0,"0",0.0707191666666667,"0","PRJEB27928",4.69585375789502e-08,2.33749164837441e-06,"CRC"
"Lachnospiraceae_bacterium_3_1_57FAA_CT1",8.04643127506061e-08,0.00696923076923077,"0",0.3311085,"0.00355","PRJEB27928",8.04643127506061e-08,3.60480121122715e-06,"CRC"
"Fusobacterium_nucleatum",1.14641652554825e-07,0.000242461538461538,"0",0.146952666666667,"0","PRJEB27928",1.14641652554825e-07,4.6690418495056e-06,"CRC"
"Subdoligranulum_variabile",1.77471371898348e-07,0.000716923076923077,"0",0.0025895,"0.00135","PRJEB27928",1.77471371898348e-07,6.30283969776136e-06,"CRC"
"Ruminococcus_torques",1.82894901943968e-07,0.749279846153846,"0.41736",2.20398,"1.23236","PRJEB27928",1.82894901943968e-07,6.30283969776136e-06,"CRC"
"Clostridium_symbiosum",2.31807398898831e-07,0.0233918461538462,"0",0.0955511666666667,"0.005965","PRJEB27928",2.31807398898831e-07,7.41783676476259e-06,"CRC"
"Clostridiales_bacterium_1_7_47FAA",2.48953421608813e-07,0.000626461538461538,"0",0.02198,"9.5e-05","PRJEB27928",2.48953421608813e-07,7.43540885871655e-06,"CRC"
"Clostridium_scindens",3.0348768166431e-07,3.69230769230769e-05,"0",0.0020085,"0","PRJEB27928",3.0348768166431e-07,8.49765508660068e-06,"CRC"
"Clostridium_bolteae",5.47215654310171e-07,0.0560916923076923,"0",0.484968666666667,"0.012265","PRJEB27928",5.47215654310171e-07,1.44207419488798e-05,"CRC"
"Streptococcus_anginosus",1.06683114651044e-06,0.029916,"0",0.0323336666666667,"0.000535","PRJEB27928",1.06683114651044e-06,2.65522418687043e-05,"CRC"
"Clostridium_clostridioforme",3.41710537067114e-06,0.00954261538461538,"0",0.1435415,"0","PRJEB27928",3.41710537067114e-06,8.05717476874037e-05,"CRC"
"Peptostreptococcus_unclassified",4.69518570608589e-06,0,"0",0.0533478333333333,"0","PRJEB27928",4.69518570608589e-06,0.000100163961729832,"CRC"
"Rothia_dentocariosa",4.69518570608589e-06,0,"0",0.00123716666666667,"0","PRJEB27928",4.69518570608589e-06,0.000100163961729832,"CRC"
"Erysipelotrichaceae_bacterium_21_3",7.34541973434841e-06,0.00218476923076923,"0",0.006607,"0.001555","PRJEB27928",7.34541973434841e-06,0.000149579456408549,"CRC"
"Ruminococcaceae_bacterium_D16",7.76182035790635e-06,0.043546,"0",0.0602728333333333,"0.00376","PRJEB27928",7.76182035790635e-06,0.000151186761754002,"CRC"
"Clostridium_citroniae",8.93682148326129e-06,0.00429476923076923,"0",0.0173118333333333,"0.00351","PRJEB27928",8.93682148326129e-06,0.000166820667687544,"CRC"
"Porphyromonas_uenonis",4.41703290875127e-05,0.000170615384615385,"0",0.347459166666667,"0","PRJEB27928",4.41703290875127e-05,0.000791532297248228,"CRC"
"Subdoligranulum_sp_4_3_54A2FAA",5.53474050348888e-05,0.0502893846153846,"0",0.2506215,"0","PRJEB27928",5.53474050348888e-05,0.000953678363678084,"CRC"
"Streptococcus_mitis_oralis_pneumoniae",6.39107247022786e-05,0.00198830769230769,"0",0.00817633333333333,"0.000695","PRJEB27928",6.39107247022786e-05,0.00106044461728225,"CRC"
