"RepeatTimes","Sampling","IntersectSpecies"
1,"30",2
2,"30",1
3,"30",0
4,"30",4
5,"30",1
6,"30",1
7,"30",0
8,"30",0
9,"30",1
10,"30",2
1,"40",1
2,"40",2
3,"40",2
4,"40",3
5,"40",3
6,"40",4
7,"40",4
8,"40",2
9,"40",2
10,"40",2
1,"60",6
2,"60",3
3,"60",6
4,"60",6
5,"60",0
6,"60",3
7,"60",1
8,"60",1
9,"60",3
10,"60",5
1,"80",5
2,"80",7
3,"80",5
4,"80",7
5,"80",5
6,"80",4
7,"80",2
8,"80",4
9,"80",7
10,"80",5
1,"100",5
2,"100",5
3,"100",5
4,"100",6
5,"100",5
6,"100",5
7,"100",4
8,"100",6
9,"100",6
10,"100",6
1,"120",6
2,"120",6
3,"120",4
4,"120",6
5,"120",6
6,"120",6
7,"120",5
8,"120",5
9,"120",7
10,"120",7
1,"140",7
2,"140",5
3,"140",5
4,"140",7
5,"140",6
6,"140",6
7,"140",5
8,"140",7
9,"140",6
10,"140",6
1,"160",6
2,"160",6
3,"160",6
4,"160",6
5,"160",5
6,"160",7
7,"160",6
8,"160",6
9,"160",6
10,"160",6
1,"180",6
2,"180",6
3,"180",6
4,"180",6
5,"180",6
6,"180",6
7,"180",7
8,"180",6
9,"180",6
10,"180",7
1,"200",4
2,"200",7
3,"200",7
4,"200",6
5,"200",7
6,"200",7
7,"200",6
8,"200",6
9,"200",7
10,"200",6
1,"400",6
2,"400",7
3,"400",6
4,"400",7
5,"400",6
6,"400",6
7,"400",6
8,"400",7
9,"400",7
10,"400",7
