"Increasing.Rank.Min","Decreasing.Rank.Min","Increasing.Rank.Max","Decreasing.Rank.Max","Increasing.Rank.Average","Decreasing.Rank.Average","Decre.maxRank.P","Decre.aveRank.P","Decre.minRank.P","Species","Decre.minRank.P.FDR","Decre.maxRank.P.FDR","Decre.aveRank.P.FDR"
9978,1,10001,24,9989.5,12.5,0.0023997600239976,0.00124987501249875,9.99900009999e-05,"Gemella_morbillorum",0.000196428444587235,0.878689908786899,0.611088891110889
9969,1,10001,33,9985,17,0.0032996700329967,0.0016998300169983,9.99900009999e-05,"Peptostreptococcus_stomatis",0.000196428444587235,0.878689908786899,0.611088891110889
9921,28,9974,81,9947.5,54.5,0.0080991900809919,0.00544945505449455,0.0027997200279972,"Fusobacterium_nucleatum",0.00548501008209806,0.878689908786899,0.667234385618739
9934,58,9944,68,9939,63,0.0067993200679932,0.0062993700629937,0.0057994200579942,"Clostridium_symbiosum",0.0113309321241789,0.878689908786899,0.667234385618739
9918,80,9922,84,9920,82,0.0083991600839916,0.0081991800819918,0.007999200079992,"Clostridium_hathewayi",0.0155443915067953,0.878689908786899,0.667234385618739
9900,76,9926,102,9913,89,0.0101989801019898,0.0088991100889911,0.0075992400759924,"Streptococcus_gordonii",0.0148071913675841,0.878689908786899,0.667234385618739
9895,81,9921,107,9908,94,0.0106989301069893,0.0093990600939906,0.0080991900809919,"Granulicatella_adiacens",0.0156962740383644,0.878689908786899,0.667234385618739
9892,101,9901,110,9896.5,105.5,0.010998900109989,0.0105489451054895,0.0100989901009899,"Clostridium_bolteae",0.0195192846306767,0.878689908786899,0.667234385618739
9892,106,9896,110,9894,108,0.010998900109989,0.0107989201079892,0.0105989401059894,"Alistipes_indistinctus",0.0204306647083281,0.878689908786899,0.667234385618739
9734,1,10001,268,9867.5,134.5,0.0267973202679732,0.0134486551344866,9.99900009999e-05,"Prevotella_stercorea",0.000196428444587235,1,0.667234385618739
9833,140,9862,169,9847.5,154.5,0.0168983101689831,0.0154484551544846,0.013998600139986,"Parvimonas_unclassified",0.026911747327941,1,0.667234385618739
9822,172,9830,180,9826,176,0.017998200179982,0.0175982401759824,0.0171982801719828,"Anaerotruncus_unclassified",0.0328871368182331,1,0.667234385618739
9764,165,9837,238,9800.5,201.5,0.0237976202379762,0.0201479852014799,0.0164983501649835,"Parvimonas_micra",0.0316328367163284,1,0.667234385618739
9579,1,10001,423,9790,212,0.0422957704229577,0.0211978802119788,9.99900009999e-05,"Aggregatibacter_unclassified",0.000196428444587235,1,0.667234385618739
9736,181,9821,266,9778.5,223.5,0.0265973402659734,0.0223477652234777,0.0180981901809819,"Porphyromonas_asaccharolytica",0.0345161770295119,1,0.667234385618739
9749,239,9763,253,9756,246,0.0252974702529747,0.0245975402459754,0.0238976102389761,"Bacteroides_fragilis",0.045336099635419,1,0.667234385618739
9625,234,9768,377,9696.5,305.5,0.0376962303769623,0.0305469453054695,0.0233976602339766,"Streptococcus_mutans",0.0445050733021936,1,0.667234385618739
9649,264,9738,353,9693.5,308.5,0.0352964703529647,0.0308469153084692,0.0263973602639736,"candidate_division_TM7_single_cell_isolate_TM7c",0.0499465842889395,1,0.667234385618739
9676,298,9704,326,9690,312,0.0325967403259674,0.0311968803119688,0.0297970202979702,"Atopobium_parvulum",0.0562311222945947,1,0.667234385618739
9641,336,9666,361,9653.5,348.5,0.0360963903609639,0.0348465153484652,0.0335966403359664,"Mitsuokella_unclassified",0.0632355612606279,1,0.667234385618739
9644,343,9659,358,9651.5,350.5,0.0357964203579642,0.035046495350465,0.0342965703429657,"Bacteroides_thetaiotaomicron",0.0642167554077926,1,0.667234385618739
9608,363,9639,394,9623.5,378.5,0.0393960603939606,0.0378462153784622,0.0362963703629637,"Veillonella_parvula",0.0677846501064179,1,0.667234385618739
9583,376,9626,419,9604.5,397.5,0.0418958104189581,0.0397460253974603,0.0375962403759624,"Clostridiales_bacterium_1_7_47FAA",0.0698493458147725,1,0.667234385618739
9560,403,9599,442,9579.5,422.5,0.0441955804419558,0.0422457754224578,0.0402959704029597,"Solobacterium_moorei",0.0746721719580619,1,0.667234385618739
9555,431,9571,447,9563,439,0.0446955304469553,0.0438956104389561,0.0430956904309569,"Streptococcus_sanguinis",0.079655016503491,1,0.667234385618739
9428,364,9638,574,9533,469,0.0573942605739426,0.0468953104689531,0.0363963603639636,"Butyrivibrio_crossotus",0.0677952930095592,1,0.667234385618739
9008,1,10001,994,9504.5,497.5,0.0993900609939006,0.0497450254974503,9.99900009999e-05,"Synergistes_sp_3_1_syn1",0.000196428444587235,1,0.667234385618739
9006,1,10001,996,9503.5,498.5,0.0995900409959004,0.0498450154984502,9.99900009999e-05,"Porphyromonas_somerae",0.000196428444587235,1,0.667234385618739
8997,1,10001,1005,9499,503,0.1004899510049,0.0502949705029497,9.99900009999e-05,"Fusobacterium_varium",0.000196428444587235,1,0.667234385618739
8989,1,10001,1013,9495,507,0.101289871012899,0.0506949305069493,9.99900009999e-05,"Fusobacterium_ulcerans",0.000196428444587235,1,0.667234385618739
8954,1,10001,1048,9477.5,524.5,0.104789521047895,0.0524447555244476,9.99900009999e-05,"Clostridium_hylemonae",0.000196428444587235,1,0.667234385618739
9265,442,9560,737,9412.5,589.5,0.0736926307369263,0.0589441055894411,0.0441955804419558,"candidate_division_TM7_single_cell_isolate_TM7b",0.0814785188147852,1,0.667234385618739
9381,578,9424,621,9402.5,599.5,0.0620937906209379,0.0599440055994401,0.0577942205779422,"Granulicatella_unclassified",0.10600521580495,1,0.667234385618739
9382,600,9402,620,9392,610,0.061993800619938,0.060993900609939,0.05999400059994,"Escherichia_unclassified",0.109760016364776,1,0.667234385618739
9349,627,9375,653,9362,640,0.0652934706529347,0.063993600639936,0.0626937306269373,"Oscillibacter_unclassified",0.114118461571564,1,0.667234385618739
9012,343,9659,990,9335.5,666.5,0.098990100989901,0.0666433356664334,0.0342965703429657,"Clostridium_sp_ATCC_BAA_442",0.0642167554077926,1,0.667234385618739
9231,742,9260,771,9245.5,756.5,0.0770922907709229,0.0756424357564244,0.0741925807419258,"Ruminococcus_torques",0.133695402389586,1,0.667234385618739
9228,740,9262,774,9245,757,0.0773922607739226,0.0756924307569243,0.073992600739926,"Escherichia_coli",0.133670050080419,1,0.667234385618739
9072,611,9391,930,9231.5,770.5,0.092990700929907,0.077042295770423,0.0610938906109389,"Eubacterium_limosum",0.11148859733316,1,0.667234385618739
9170,751,9251,832,9210.5,791.5,0.0831916808319168,0.0791420857914209,0.0750924907509249,"Coprobacillus_unclassified",0.134978752124788,1,0.667234385618739
9174,774,9228,828,9201,801,0.0827917208279172,0.0800919908009199,0.0773922607739226,"Desulfovibrio_desulfuricans",0.138765674554739,1,0.667234385618739
9182,793,9209,820,9195.5,806.5,0.081991800819918,0.0806419358064194,0.0792920707929207,"Dorea_formicigenerans",0.141466498511439,1,0.667234385618739
8387,1,10001,1615,9194,808,0.161483851614839,0.0807919208079192,9.99900009999e-05,"Morganella_morganii",0.000196428444587235,1,0.667234385618739
8380,1,10001,1622,9190.5,811.5,0.162183781621838,0.0811418858114189,9.99900009999e-05,"Aggregatibacter_segnis",0.000196428444587235,1,0.667234385618739
9170,793,9209,832,9189.5,812.5,0.0831916808319168,0.0812418758124188,0.0792920707929207,"Pseudoflavonifractor_capillosus",0.141466498511439,1,0.667234385618739
8364,1,10001,1638,9182.5,819.5,0.163783621637836,0.0819418058194181,9.99900009999e-05,"Porphyromonas_uenonis",0.000196428444587235,1,0.667234385618739
9013,653,9349,989,9181,821,0.0988901109889011,0.0820917908209179,0.0652934706529347,"Streptococcus_cristatus",0.118251902769421,1,0.667234385618739
8357,1,10001,1645,9179,823,0.164483551644836,0.0822917708229177,9.99900009999e-05,"Prevotella_intermedia",0.000196428444587235,1,0.667234385618739
8355,1,10001,1647,9178,824,0.164683531646835,0.0823917608239176,9.99900009999e-05,"Peptostreptococcus_anaerobius",0.000196428444587235,1,0.667234385618739
8342,1,10001,1660,9171.5,830.5,0.165983401659834,0.083041695830417,9.99900009999e-05,"Atopobium_rimae",0.000196428444587235,1,0.667234385618739
8341,1,10001,1661,9171,831,0.166083391660834,0.0830916908309169,9.99900009999e-05,"Streptococcus_dysgalactiae",0.000196428444587235,1,0.667234385618739
8339,1,10001,1663,9170,832,0.166283371662834,0.0831916808319168,9.99900009999e-05,"Prevotella_timonensis",0.000196428444587235,1,0.667234385618739
8329,1,10001,1673,9165,837,0.167283271672833,0.0836916308369163,9.99900009999e-05,"Anaerofustis_stercorihominis",0.000196428444587235,1,0.667234385618739
9141,820,9182,861,9161.5,840.5,0.0860913908609139,0.084041595840416,0.081991800819918,"Haemophilus_parainfluenzae",0.145921051459211,1,0.667234385618739
8956,648,9354,1046,9155,847,0.104589541045895,0.0846915308469153,0.0647935206479352,"Alloscardovia_omnicolens",0.117642781176428,1,0.667234385618739
9079,856,9146,923,9112.5,889.5,0.0922907709229077,0.0889411058894111,0.0855914408559144,"Bacteroides_nordii",0.151576960530548,1,0.667234385618739
9037,916,9086,965,9061.5,940.5,0.0964903509649035,0.094040595940406,0.0915908409159084,"Prevotella_copri",0.161011771683467,1,0.667234385618739
8831,840,9162,1171,8996.5,1005.5,0.117088291170883,0.100539946005399,0.083991600839916,"Dialister_succinatiphilus",0.149111014824443,1,0.667234385618739
8964,989,9013,1038,8988.5,1013.5,0.103789621037896,0.101339866013399,0.0988901109889011,"Eggerthella_unclassified",0.172997542094939,1,0.667234385618739
8909,1063,8939,1093,8924,1078,0.109289071092891,0.107789221077892,0.106289371062894,"Clostridium_leptum",0.185041302165183,1,0.667234385618739
