"Species";"Pvalue";"Ctlmean";"Ctlmedian";"CRCmean";"CRCmedian";"SamplingCountForEachGroup";"pvalue";"adj.fdr.p";"Enrichment"
"Gemella_morbillorum";2,31255573993054e-05;0;"0";0,05548875;"0";"356";2,31255573993054e-05;0,00776343954031287;"CRC"
"Clostridium_symbiosum";3,28263828343039e-05;0,12289625;"0";0,20837625;"0.01599";"228";3,28263828343039e-05;0,00776343954031287;"CRC"
"Fusobacterium_nucleatum";8,1703746376851e-05;3,9e-05;"0";0,02621075;"0";"348";8,1703746376851e-05;0,0128819573454168;"CRC"
"Clostridium_hathewayi";0,000400094585350073;0,06131075;"0.002685";0,12583325;"0.03646";"208";0,000400094585350073;0,0417176143264775;"CRC"
"Peptostreptococcus_stomatis";0,000440989580618155;0,0007715;"0";0,05987025;"0";"531";0,000440989580618155;0,0417176143264775;"CRC"
"Porphyromonas_asaccharolytica";0,000605189642362863;0,0045275;"0";0,17380525;"0";"534";0,000605189642362863;0,0477091168062724;"CRC"
"Alistipes_indistinctus";0,000733914666527901;0,02749375;"0";0,1429275;"0.035065";"49";0,000733914666527901;0,0495916624668139;"CRC"
"Escherichia_coli";0,00454244892216853;3,5721925;"0.014455";5,5971325;"0.338545";"316";0,00454244892216853;0,243091636992327;"Nodiff"
"Bacteroides_fragilis";0,00466709855374295;0,251773;"0.001095";0,97735525;"0.09742";"96";0,00466709855374295;0,243091636992327;"Nodiff"
"Ruminococcaceae_bacterium_D16";0,00545103634214541;0,04438075;"0";0,324825;"0.00367";"603";0,00545103634214541;0,243091636992327;"Nodiff"
"Roseburia_intestinalis";0,0056789530354644;1,2016865;"0.321915";0,40147425;"0.01688";"596";0,0056789530354644;0,243091636992327;"Nodiff"
"Lachnospiraceae_bacterium_9_1_43BFAA";0,00616722969113725;0;"0";0,00894325;"0";"401";0,00616722969113725;0,243091636992327;"Nodiff"
"Parvimonas_unclassified";0,00712921406377557;0,00184525;"0";0,22670275;"0";"518";0,00712921406377557;0,246506489196557;"Nodiff"
"Clostridium_bolteae";0,00729617515592346;0,303433;"0.00429";0,552379;"0.04353";"201";0,00729617515592346;0,246506489196557;"Nodiff"
"Clostridium_methylpentosum";0,00783764388423281;0,00069375;"0";0,00313;"0";"213";0,00783764388423281;0,247147037149475;"Nodiff"
"Coprococcus_comes";0,0105454432463208;0,90017175;"0.61703";0,45749375;"0.17373";"241";0,0105454432463208;0,306442011870157;"Nodiff"
"Subdoligranulum_sp_4_3_54A2FAA";0,0115003258848107;0,125185;"0";0,418083;"0.10377";"685";0,0115003258848107;0,306442011870157;"Nodiff"
"Aggregatibacter_unclassified";0,0118068538408286;0;"0";0,000396;"0";"43";0,0118068538408286;0,306442011870157;"Nodiff"
"Clostridiales_bacterium_1_7_47FAA";0,012309509990556;0,01722675;"0";0,02877675;"0.00518";"196";0,012309509990556;0,306442011870157;"Nodiff"
"Granulicatella_adiacens";0,0170038273635436;0,001809;"0";0,00875925;"0";"360";0,0170038273635436;0,354650314526822;"Nodiff"
"Parabacteroides_unclassified";0,01823407694839;0,40588975;"0";0,52185275;"0.071295";"509";0,01823407694839;0,354650314526822;"Nodiff"
"Clostridium_asparagiforme";0,0196374467394779;0,02862775;"0";0,0495905;"0.0132";"198";0,0196374467394779;0,354650314526822;"Nodiff"
"Streptococcus_thermophilus";0,0212121935529623;0,53176625;"0.02886";0,10066325;"0";"681";0,0212121935529623;0,354650314526822;"Nodiff"
