"Ctl","Disease"
"CCMD53508245ST.11.0","MMRS96422329ST.27.0.0"
"DRR127535","CCIS84543192ST.4.0"
"LILT_VF28_T016","CCMD82866709ST.21.0"
"CRC_MR_SBJ73H_17","CRC_MR_SBJ01C_17"
"CCMD73128545ST.11.0","SZAXPI017462.33"
"MMRS95479054ST.27.0.0","CCMD19497912ST.21.0"
"SZAXPI015262.79","CRC_MR_SBJ25C_17"
"MMRS39582183ST.27.0.0","SZAXPI017593.158"
"CCMD54057834ST.11.0","MMRS15137911ST.27.0.0"
"CCMD74592084ST.11.0","CCMD95433940ST.21.0"
"SID530394","SID31874"
"SID530167","SID31881"
"CCIS07648107ST.4.0","DRR162777"
"DRR127613","DRR127557"
"CRC_MR_SBJ34H_17","SID531382"
"CRC_MR_SBJ67H_17","MMRS43563715ST.27.0.0"
"CCMD51228890ST.11.0","CCMD95676152ST.11.0"
"CRC_MR_SBJ24H_17","SZAXPI017590.136"
"CCIS16383318ST.4.0","DRR127521"
"MMRS21365932ST.27.0.0","CCMD88272491ST.21.0"
"SID31071","CCMD74930188ST.21.0"
"SID530215","SID31879"
"SZAXPI015272.108","DRR127580"
"SZAXPI015270.90","MMRS86178473ST.27.0.0"
"SZAXPI003429.3","SZAXPI003427.1"
"DRR127672","CCMD64503764ST.21.0"
"SID31219","CRC_MR_SBJ50C_17"
"CCMD89643949ST.11.0","SZAXPI017467.87"
