"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41"
"CCIS09568613ST.4.0","CCMD54057834ST.11.0","CCIS88317640ST.4.0","CRC_MR_SBJ45H_17","MMRS11932626ST.27.0.0","SZAXPI015268.109","SZAXPI015271.93","CCMD56948710ST.11.0","DRR127634","MMRS61683006ST.27.0.0","CCIS15794887ST.4.0","26.1537642052937","27.9194181408675","28.0351558556467","28.3456062855022","28.4927387566517","28.9616210177694","29.8009545042218","29.9435582096283","30.1847996591795","30.2769477034839","SZAXPI003426.11","CCIS61287323ST.4.0","CCIS06260551ST.3.0","MMRS41711735ST.27.0.0","CCIS62794166ST.4.0","LILT_VF234_T017","CCMD63399960ST.21.0","CRC_MR_SBJ06C_17","MMRS85382779ST.27.0.0","MMRS14602194ST.27.0.0","17.1972346296519","20.2535643919657","22.079860070784","23.0723196921549","23.6734085453468","24.2353155956509","25.5061052287389","26.2416786666535","27.1025034100302","27.6348304266663"
"CCIS11354283ST.4.0","CRC_MR_SBJ65H_17","CRC_MR_SBJ80H_17","CRC_MR_SBJ34H_17","CCIS94603952ST.4.0","SZAXPI015241.27","CCIS81139242ST.4.0","CCIS27304052ST.3.0","CCIS78100604ST.4.0","CCIS34604008ST.4.0","CCIS23164343ST.4.0","16.0910524858413","16.2889489781078","17.5115746986329","18.6117584789455","18.659741961643","18.7531244445292","20.12913257257","22.2526309112878","22.5690981518447","23.6946202536377","CCMD13934959ST.21.0","CRC_MR_SBJ10C_17","CRC_MR_SBJ06C_17","CCIS48725289ST.4.0","CCIS47284573ST.4.0","CCMD63399960ST.21.0","CCIS06260551ST.3.0","DRR127485","CCMD49461418ST.11.0","SZAXPI015221.142","17.3308719210489","17.9186549343526","19.1654149042305","20.7846966508703","20.96472601074","20.9961518289781","21.0349797642926","21.6680308851935","21.7147689366016","22.37666640299"
"CCIS11558985ST.4.0","DRR127546","DRR127616","SZAXPI015247.35","CCMD54057834ST.11.0","DRR127634","SZAXPI015271.93","SZAXPI015268.109","CRC_MR_SBJ45H_17","MMRS95674036ST.27.0.0","SZAXPI015270.90","24.2453802032944","31.2336643220132","31.5789236742024","32.8077815101936","33.0656862443546","33.1268124930758","33.7966945822295","34.102811373702","34.429754449775","34.8003951445052","CCIS62605362ST.3.0","CCMD63399960ST.21.0","MMRS62376181ST.27.0.0","DRR127559","DRR127774","MMRS93508324ST.27.0.0","SZAXPI017580.90","CCIS02379307ST.4.0","CRC_MR_SBJ32C_17","CCIS50148151ST.4.0","24.1339393112749","28.7085176466776","29.8183627923516","30.1342067230963","31.7373279193665","33.2708097307805","33.5198668271281","33.9725561425601","34.2414908730461","34.7514348636413"
"CCIS15794887ST.4.0","CRC_MR_SBJ78H_17","CRC_MR_SBJ37H_17","LILT_VF263_T016","CRC_MR_SBJ45H_17","SZAXPI015271.93","CCMD54057834ST.11.0","SZAXPI015235.21","LILT_VF189_T016","MMRS11932626ST.27.0.0","MMRS61683006ST.27.0.0","22.6490709125319","22.8589665106102","22.8941005825649","23.1409539365407","23.1500531362932","23.1550628022253","23.7324362144998","24.0437885954335","24.6120297069502","24.9603942446328","SZAXPI015210.17","CRC_MR_SBJ06C_17","CCIS77252613ST.4.0","CCMD49461418ST.11.0","SID31878","CCMD76222476ST.11.0","CRC_MR_SBJ32C_17","CCIS48725289ST.4.0","MMRS93508324ST.27.0.0","CCMD63399960ST.21.0","19.4941250736934","20.0317263735106","20.2814630784813","21.8810163552222","22.2181895973412","22.949295651477","23.2310136480073","23.8830594172397","24.0184065524672","24.0782202425802"
"CCIS23164343ST.4.0","CCIS27304052ST.3.0","CCIS78100604ST.4.0","CCIS11354283ST.4.0","SZAXPI015241.27","CCIS34604008ST.4.0","CRC_MR_SBJ80H_17","CRC_MR_SBJ34H_17","CRC_MR_SBJ65H_17","CCIS81139242ST.4.0","CCIS94603952ST.4.0","20.247438082355","22.9717254557837","23.6946202536377","23.7490451278278","24.8338196987234","25.3418635710261","27.9560607395409","29.1323043366947","29.4570416227309","31.0512179068535","SZAXPI003412.1","CRC_MR_SBJ10C_17","SZAXPI015216.169","CCIS46047672ST.4.0","CCIS06260551ST.3.0","SZAXPI015223.158","SZAXPI015221.142","CCMD13934959ST.21.0","SID31871","SID531352","21.350921118467","26.5172030865191","26.8384755317827","28.1893260189562","28.5462418722483","30.1304166059233","30.1687595991847","30.4493964129718","30.9729304145862","31.3995384570856"
"CCIS27304052ST.3.0","SZAXPI015241.27","CCIS11354283ST.4.0","CCIS23164343ST.4.0","CCIS78100604ST.4.0","CRC_MR_SBJ34H_17","CCIS34604008ST.4.0","CRC_MR_SBJ80H_17","CCIS81139242ST.4.0","CRC_MR_SBJ65H_17","CCIS94603952ST.4.0","20.0096830439365","20.12913257257","20.247438082355","20.2613160048626","20.9311132090508","24.0404155896336","25.1052213006478","25.1104324850031","26.1992214658528","26.4291527992007","SZAXPI003412.1","CRC_MR_SBJ10C_17","SZAXPI015216.169","CCIS06260551ST.3.0","CCIS47284573ST.4.0","SID531352","DRR127485","CCMD13934959ST.21.0","CCIS46047672ST.4.0","CCIS62605362ST.3.0","21.0797381066464","23.1602949890303","23.1903503382485","23.3493427174278","23.5748026699504","23.6977456166995","24.2918157749272","24.3331304089199","25.0805727431771","25.0969860211241"
"CCIS34604008ST.4.0","SZAXPI015241.27","CCIS78100604ST.4.0","CCIS81139242ST.4.0","CCIS94603952ST.4.0","CCIS11354283ST.4.0","CRC_MR_SBJ34H_17","CCIS27304052ST.3.0","CCIS23164343ST.4.0","CCIS95409808ST.4.0","CRC_MR_SBJ78H_17","14.3294843447383","18.8880002253547","20.5027847622853","21.1570359849295","22.5690981518447","23.0437696313081","24.0404155896336","24.8338196987234","27.9829576959102","29.2572353002398","SZAXPI003412.1","SZAXPI015216.169","SZAXPI015223.158","CRC_MR_SBJ10C_17","SZAXPI015221.142","CCIS81887263ST.4.0","CCIS46047672ST.4.0","CCIS06260551ST.3.0","CCIS47284573ST.4.0","CRC_MR_SBJ06C_17","20.4623902951512","24.2807757619233","24.3614975953696","24.5173163757088","25.4010910160076","25.9544814779587","26.222680974334","26.2358328036905","26.3265994693998","26.9476838581445"
"CCIS64773582ST.4.0","CCMD56948710ST.11.0","CCMD18829815ST.11.0","CRC_MR_SBJ82H_17","MMRS11288076ST.27.0.0","CRC_MR_SBJ63H_17","MMRS91297590ST.27.0.0","MMRS61683006ST.27.0.0","SZAXPI015271.93","CCIS11354283ST.4.0","LILT_VF18_T016","17.0161404484272","20.0683407655641","21.9495337488043","22.1048989403752","24.2232883468925","24.816383266014","24.8271642817036","24.958605551673","25.2874191277975","25.4090402803845","MMRS14602194ST.27.0.0","CCIS02379307ST.4.0","DRR127559","CCIS48725289ST.4.0","CCMD12232071ST.21.0","MMRS85382779ST.27.0.0","LILT_VF264_T017","CCIS47284573ST.4.0","CCIS62605362ST.3.0","SZAXPI015225.18","21.3334787541484","22.043579183726","23.6343458971155","23.7707767739508","23.924541116291","24.5638089733331","24.9463213359365","25.1277675972121","25.1399580507029","25.3000403720587"
"CCIS78100604ST.4.0","CCIS34604008ST.4.0","SZAXPI015241.27","CCIS27304052ST.3.0","CCIS81139242ST.4.0","CCIS11354283ST.4.0","CRC_MR_SBJ34H_17","CCIS23164343ST.4.0","CRC_MR_SBJ65H_17","CCIS94603952ST.4.0","CRC_MR_SBJ80H_17","18.8880002253547","20.2471424384751","20.2613160048626","21.4268815850184","22.2526309112878","22.6689179511683","22.9717254557837","26.6429604543283","27.5377010481957","28.3192015012712","SZAXPI003412.1","CRC_MR_SBJ10C_17","SZAXPI015216.169","SZAXPI015221.142","CCIS06260551ST.3.0","CCIS47284573ST.4.0","CCIS46047672ST.4.0","SZAXPI015223.158","SID531352","CRC_MR_SBJ06C_17","17.7901022029301","23.0438217822392","23.0806641974402","23.4061672563002","24.5299883873311","24.9450233027231","25.0037679276244","26.2588449780107","26.3957429993721","27.9754482465947"
"CCIS81139242ST.4.0","CCIS11354283ST.4.0","CRC_MR_SBJ34H_17","CCIS34604008ST.4.0","SZAXPI015241.27","CCIS78100604ST.4.0","CRC_MR_SBJ82H_17","CCIS94603952ST.4.0","CRC_MR_SBJ78H_17","CCIS27304052ST.3.0","CCIS15794887ST.4.0","18.7531244445292","19.4433985105074","20.5027847622853","21.3162830807507","21.4268815850184","24.164334658281","24.2105158855899","24.4252325272166","25.1104324850031","26.0948791692067","CRC_MR_SBJ06C_17","CCIS47284573ST.4.0","SZAXPI015221.142","CCIS81887263ST.4.0","CRC_MR_SBJ10C_17","SZAXPI015223.158","CCIS62605362ST.3.0","CCMD63399960ST.21.0","CCIS06260551ST.3.0","SZAXPI015216.169","19.8724559052096","22.2760405288911","23.1430259640026","23.2644072220957","23.3124846087327","23.9615850756038","24.5544691693793","24.6185287736189","24.6674462074411","25.3007768328801"
