"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13"
"CCIS94603952ST.4.0","CCMD56948710ST.11.0","SZAXPI015264.87","SID31071","24.9484490546346","27.3887210126231","27.4525779442551","CCIS76845094ST.20.0","SZAXPI017456.23","CCMD13071240ST.21.0","21.9945768228602","29.4988605081552","30.459416042211"
"DRR127704","CCMD56948710ST.11.0","LILT_VF265_T016","SZAXPI015264.87","23.0275014773748","31.6651608124323","32.9841087224272","CCIS76845094ST.20.0","DRR127476","CCMD13071240ST.21.0","31.9354514954697","32.6504224347251","33.42341866442"
"SID31071","CCMD56948710ST.11.0","CCIS94603952ST.4.0","SZAXPI015233.19","26.942746528951","27.4525779442551","30.8073679059588","CCIS76845094ST.20.0","CCIS22416007ST.4.0","DRR127476","27.2273767049435","28.2478645312562","33.9646533553252"
"SID530177","SZAXPI015262.79","CCIS94603952ST.4.0","SID31071","28.714864789908","32.726619434138","36.59622711661","CCIS76845094ST.20.0","SZAXPI017581.93","SZAXPI017456.23","28.9334579748706","30.6253265478933","31.6039906275442"
"SZAXPI015262.79","SID530177","CCIS94603952ST.4.0","CCMD56948710ST.11.0","28.714864789908","28.9546199369945","32.8890224163975","SZAXPI017456.23","CCIS76845094ST.20.0","SZAXPI017581.93","25.9212166354938","27.582747277813","30.22984666802"
"CCIS21278152ST.4.0","CCMD56948710ST.11.0","SZAXPI015264.87","SZAXPI015263.84","33.0307328811079","37.1491869561946","37.2189008213676","MMRS77487595ST.27.0.0","DRR127476","CCIS76845094ST.20.0","18.6277699019663","37.1176051623377","37.6840582782123"
"CCIS22416007ST.4.0","SID31071","CCMD56948710ST.11.0","CCIS94603952ST.4.0","28.2478645312562","28.7435980951568","33.2746575966125","CCMD13071240ST.21.0","CCIS76845094ST.20.0","DRR127476","32.0771087903835","32.5380994310132","34.3616530284997"
"CCIS22958137ST.20.0","CCMD56948710ST.11.0","CCIS94603952ST.4.0","SZAXPI015262.79","30.7817707459301","31.2374401826222","31.4214430777089","CCIS76845094ST.20.0","SZAXPI017456.23","DRR127476","27.1893649478578","31.7616779199478","31.77263323677"
"CCIS76845094ST.20.0","CCIS94603952ST.4.0","CCMD56948710ST.11.0","SID31071","21.9945768228602","26.901029312649","27.2273767049435","CCIS22958137ST.20.0","SZAXPI017456.23","DRR127476","27.1893649478578","27.8945119665805","28.865775264349"
"CCMD13071240ST.21.0","SZAXPI015264.87","LILT_VF265_T016","CCIS94603952ST.4.0","28.0056597394777","29.1600516903811","30.459416042211","CCIS76845094ST.20.0","DRR127476","CCIS22416007ST.4.0","29.191258009017","31.6771272305476","32.0771087903835"
"DRR127476","CCMD56948710ST.11.0","SZAXPI015264.87","CCIS94603952ST.4.0","29.4263974014608","29.6864281127572","31.1695572141344","SZAXPI017456.23","CCIS76845094ST.20.0","CCMD13071240ST.21.0","27.3404648430856","28.865775264349","31.6771272305476"
"DRR127519","DRR127704","SID31071","CCMD56948710ST.11.0","34.4756807437765","37.3042932093988","37.6776594394198","DRR127476","CCIS76845094ST.20.0","SZAXPI003423.8","36.4368071322722","37.0014495283617","39.3020897863651"
"MMRS77487595ST.27.0.0","CCMD56948710ST.11.0","LILT_VF265_T016","SZAXPI015264.87","31.9820752786854","33.7356939387468","35.4155654787708","CCIS21278152ST.4.0","DRR127476","CCIS76845094ST.20.0","18.6277699019663","37.5097771619427","38.2939197548971"
"MMRS97327636ST.27.0.0","LILT_VF40_16","CCMD56948710ST.11.0","SZAXPI015263.84","38.2557779277837","38.5113329192499","39.8375555524658","MMRS64281211ST.27.0.0","DRR127476","CCIS76845094ST.20.0","32.6246081876917","36.0932699932938","39.5471140077263"
"SZAXPI017456.23","SZAXPI015262.79","CCIS94603952ST.4.0","SID530177","25.9212166354938","29.4988605081552","31.6039906275442","DRR127476","CCIS76845094ST.20.0","SZAXPI017581.93","27.3404648430856","27.8945119665805","30.210367744776"
"SZAXPI017581.93","SZAXPI015262.79","SID530177","CCIS94603952ST.4.0","30.22984666802","30.6253265478933","34.4782686153438","SZAXPI017456.23","CCIS76845094ST.20.0","CCIS22958137ST.20.0","30.210367744776","32.632708310554","33.634631728739"
