"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17"
"CCIS05314658ST.4.0","MMRS88581325ST.27.0.0","SID31452","LILT_VF189_T016","MMRS91297590ST.27.0.0","19.8453175764713","24.3238721415547","25.0548748728626","25.6473325019777","CCIS47284573ST.4.0","CRC_MR_SBJ04C_17","SZAXPI015218.16","MMRS14602194ST.27.0.0","17.9052886311056","18.1852281192648","20.5292953668873","21.7500387140621"
"CCIS27304052ST.3.0","SID31452","SZAXPI017592.142","CCIS93040568ST.20.0","MMRS88581325ST.27.0.0","23.772168502175","25.5226657996476","25.9642843153899","26.7751687942747","CCIS47284573ST.4.0","CRC_MR_SBJ04C_17","MMRS14602194ST.27.0.0","CCMD25963797ST.21.0","23.5748026699504","24.0389596336489","28.3476262802955","28.9034261916922"
"CCIS29210128ST.4.0","CCIS05314658ST.4.0","MMRS88581325ST.27.0.0","CCIS93040568ST.20.0","SID31452","29.1951654175944","29.4026997425662","30.3032813514708","32.6753823331113","CCIS47284573ST.4.0","SZAXPI015218.16","MMRS14602194ST.27.0.0","CRC_MR_SBJ04C_17","28.1864450916092","28.8482692209567","31.6224559467967","31.8379684778128"
"CCMD26625622ST.11.0","CCIS05314658ST.4.0","CCMD99929634ST.11.0","MMRS39582183ST.27.0.0","MMRS88581325ST.27.0.0","34.744374214484","35.2571591388742","36.6318095831901","36.7693713622561","MMRS14602194ST.27.0.0","CCMD72895164ST.21.0","CRC_MR_SBJ36C_17","CCMD25963797ST.21.0","30.0290235095832","33.315921541068","33.5139158624757","34.1944510286128"
"CCMD99929634ST.11.0","CCIS05314658ST.4.0","SID31452","LILT_VF189_T016","MMRS91297590ST.27.0.0","27.9546711469336","29.7216091523407","31.1787896019425","31.6624552754015","CRC_MR_SBJ36C_17","CCMD72895164ST.21.0","MMRS14602194ST.27.0.0","CRC_MR_SBJ04C_17","24.7659828614412","25.3552010126384","27.0272212028688","27.5058409614558"
"DRR127737","MMRS39582183ST.27.0.0","MMRS88581325ST.27.0.0","CCIS05314658ST.4.0","CCIS29210128ST.4.0","29.8587385654635","36.2352624068614","38.274490805479","41.5649714305279","CRC_MR_SBJ36C_17","SZAXPI015218.16","CCIS47284573ST.4.0","MMRS14602194ST.27.0.0","33.1879879459346","37.556514435549","37.882390410642","38.5447189981987"
"DRR162776","CCIS05314658ST.4.0","MMRS88581325ST.27.0.0","CCMD26625622ST.11.0","LILT_VF18_T016","39.5119961909329","39.5893030492468","41.430009917561","41.5822610117752","CCIS47284573ST.4.0","SZAXPI015218.16","LILT_VF100_T016","CCMD12232071ST.21.0","37.325109231662","38.1194534645606","39.6675846966727","40.6244675385721"
"LILT_VF06_16","MMRS88581325ST.27.0.0","CCIS05314658ST.4.0","MMRS39582183ST.27.0.0","SID31452","28.4769821333564","32.8011831045025","33.8033602281208","35.50303879403","CCMD35633353ST.11.0","CCMD25963797ST.21.0","LILT_VF100_T016","CCIS47284573ST.4.0","23.8872951641704","30.313240045076","32.0375571414379","32.5339947878938"
"LILT_VF18_T016","MMRS88581325ST.27.0.0","LILT_VF189_T016","MMRS91297590ST.27.0.0","CCIS05314658ST.4.0","35.654174388255","36.178686732991","36.2601056237361","36.6559730955529","LILT_VF100_T016","SZAXPI015218.16","MMRS14602194ST.27.0.0","CCMD72895164ST.21.0","26.2147489623551","27.6639682771507","32.4122285509266","33.438186672402"
"LILT_VF189_T016","MMRS88581325ST.27.0.0","CCIS05314658ST.4.0","MMRS91297590ST.27.0.0","MMRS39582183ST.27.0.0","22.3642527985757","25.0548748728626","28.5277788215031","29.2609759523841","SZAXPI015218.16","LILT_VF100_T016","CCMD86114146ST.21.0","CCIS47284573ST.4.0","22.1451665615118","22.883609125079","25.295862793534","25.404618317798"
