"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57"
"CCIS00281083ST.3.0","SZAXPI015231.17","LILT_VF43_16","LILT_VF261_T016","LILT_VF82_T016","MMRS54246132ST.27.0.0","DRR127597","SZAXPI015245.33","DRR127535","DRR127762","DRR127737","CCMD30626189ST.11.0","DRR127613","CCMD50300306ST.11.0","CCMD31134579ST.11.0","11.5231106803979","13.4378526173567","14.9923901578467","15.7708262910635","24.9620926910806","27.5944203513844","28.1812737177917","30.4990830753844","31.8553388671161","34.546270569623","35.7625912902505","36.8498998751964","37.71543108655","38.6302849727814","DRR127666","MMRS34525504ST.27.0.0","SZAXPI017589.133","SZAXPI017468.88","CCIS84543192ST.4.0","SZAXPI003430.5","DRR127754","DRR127617","SZAXPI015226.14","DRR127594","SZAXPI003420.4","MMRS54316675ST.27.0.0","SID31883","SZAXPI017593.158","12.6225313879388","13.8112281967065","23.1718501091238","27.7056238237745","29.1926766761238","29.822964026644","32.2022942250626","32.6771112254281","38.7055875945786","41.4419059035899","41.9306526870844","44.6157112359985","44.9621564057897","45.4035363533503"
"CCIS02124300ST.4.0","CRC_MR_SBJ74H_17","SID31328","SZAXPI015271.93","SID532802","MMPU72854103ST","CCIS50471204ST.4.0","CRC_MR_SBJ73H_17","SZAXPI015227.13","CRC_MR_SBJ67H_17","SID530055","CCIS11354283ST.4.0","SID31219","SZAXPI015253.44","CCMD18579000ST.11.0","16.763194036248","17.0547103579129","18.218751029261","18.6651313689189","18.8098819254082","18.8578999503577","18.8835143846716","18.8978070634584","19.0281948689832","19.155764737256","19.1597941564386","19.4361164081331","20.0959724056389","20.2896711700017","CCIS48725289ST.4.0","CRC_MR_SBJ04C_17","CCMD19497912ST.21.0","CCIS82146115ST.4.0","SID530890","CCMD49461418ST.11.0","CCIS47284573ST.4.0","SZAXPI017586.111","CCMD63399960ST.21.0","CCMD13934959ST.21.0","MMRS86958796ST.27.0.0","SZAXPI017593.158","MMRS93508324ST.27.0.0","MMRS43939546ST.27.0.0","16.1228066874598","18.4085507420818","18.5121696124874","18.7952226628311","18.8294265473248","19.7638949134198","19.9081998342768","19.9804396127988","20.1535112622739","20.4050123910107","20.482957773537","20.6697184465391","21.3615416169199","21.3890456041147"
"CCIS02856720ST.4.0","CCIS11354283ST.4.0","CCIS50471204ST.4.0","SID530331","CCIS32452666ST.4.0","CCIS50003399ST.4.0","SID532802","CCIS27304052ST.3.0","CCMD53508245ST.11.0","CRC_MR_SBJ74H_17","SZAXPI015227.13","SID530258","SID31452","CCIS94603952ST.4.0","SID31328","13.772978399758","16.3582235574955","17.529140526606","18.2185148497785","19.4183540558746","19.5329214070425","19.6170330595098","20.1193939266271","20.5784633812634","21.118133689628","21.1532332759344","21.6321053188889","21.7271350119154","22.0851727628244","SID530890","CRC_MR_SBJ55C_17","CCMD13934959ST.21.0","CRC_MR_SBJ02C_17","CCIS82146115ST.4.0","SZAXPI017456.23","SID31489","CCMD98531134ST.11.0","CCIS53355328ST.4.0","CRC_MR_SBJ04C_17","CCMD63399960ST.21.0","MMRS96422329ST.27.0.0","CRC_MR_SBJ64C_17","CCIS11015875ST.4.0","16.7106726444569","18.0347373479987","18.2300120153224","18.7318925199511","19.5215951249149","19.7108462950985","20.4747380886301","21.0742862122374","21.1778393844226","21.2457588836102","21.9282808086521","22.1301372917115","22.1344636177275","22.3482274382936"
"CCIS05314658ST.4.0","SID530055","SID31328","CRC_MR_SBJ74H_17","CRC_MR_SBJ16H_17","CCIS50471204ST.4.0","SID31071","CCIS50003399ST.4.0","CRC_MR_SBJ73H_17","CCIS11354283ST.4.0","SID530364","CCIS02124300ST.4.0","CCIS07277498ST.4.0","CRC_MR_SBJ18H_17","CRC_MR_SBJ82H_17","18.1763686413926","18.1787666765488","19.0495656258404","19.0642982856674","19.4838848136248","19.4861697293029","19.5470668481616","19.8682062782628","19.9134400871472","20.3573558716622","20.4683105961948","20.4957985009733","20.6971958669115","20.8357416819272","MMRS86958796ST.27.0.0","CCIS47284573ST.4.0","CCMD63399960ST.21.0","CRC_MR_SBJ04C_17","SID530890","CCIS11015875ST.4.0","MMRS93508324ST.27.0.0","SID31004","CCIS48725289ST.4.0","CCMD86707194ST.21.0","LILT_VF120_16","SZAXPI017586.111","CCMD49461418ST.11.0","CRC_MR_SBJ32C_17","17.48259120336","17.9052886311056","18.1814069482507","18.1852281192648","18.2395243086655","18.8637643027074","19.5154762988685","19.6047292630375","19.6349333582648","20.675488825873","20.7005050273007","20.7648603599783","20.9163298611874","21.8843979252115"
"CCIS07277498ST.4.0","MMRS65862658ST.27.0.0","CCMD18579000ST.11.0","CRC_MR_SBJ67H_17","SZAXPI015253.44","CCMD99929634ST.11.0","CCIS05314658ST.4.0","CCIS02124300ST.4.0","CRC_MR_SBJ16H_17","CRC_MR_SBJ18H_17","CCMD39157124ST.11.0","CCIS94603952ST.4.0","MMPU72854103ST","SID532802","CRC_MR_SBJ73H_17","17.2354200183633","17.7601486232689","19.1443113394084","19.4483845198155","20.3405458097441","20.4957985009733","20.6739799502079","20.8107492028615","20.8380347940059","20.8568238328754","20.863904855422","21.360507849033","22.0447356711075","22.1565789645762","CCIS48725289ST.4.0","CCMD95433940ST.21.0","MMRS43939546ST.27.0.0","CRC_MR_SBJ02C_17","CCIS82146115ST.4.0","CCMD13934959ST.21.0","CCMD63399960ST.21.0","MMRS86958796ST.27.0.0","CCIS11015875ST.4.0","CRC_MR_SBJ04C_17","CRC_MR_SBJ32C_17","CCMD82866709ST.21.0","SZAXPI017586.111","CCMD49461418ST.11.0","18.9489087452602","20.2854713376273","20.5065699297152","20.9711147636863","21.3749168683062","21.3786074699617","21.9986478893817","22.0715658830564","22.140085472396","22.2748740723444","22.6316920621879","22.8686907271339","22.902719828385","23.1597899078791"
"CCIS07648107ST.4.0","CCMD54057834ST.11.0","CRC_MR_SBJ18H_17","CCIS05314658ST.4.0","CRC_MR_SBJ16H_17","CCIS48174381ST.4.0","MMRS11932626ST.27.0.0","SZAXPI015271.93","MMRS68630931ST.27.0.0","CRC_MR_SBJ78H_17","CCIS50471204ST.4.0","SID31328","MMRS73787048ST.27.0.0","SZAXPI015253.44","MMPU29365221ST","21.2257652102957","21.5671324641687","22.1339319516642","22.1606882044624","22.3267668249436","22.5275289342174","23.5511512824575","23.711463439246","23.8130801831031","23.9307301519009","24.1974082279962","24.4804840347061","24.582481388497","25.0081180297279","CCMD63399960ST.21.0","CCIS62794166ST.4.0","MMRS62376181ST.27.0.0","CRC_MR_SBJ26C_17","SZAXPI017454.20","CRC_MR_SBJ11C_17","SID31004","MMRS93508324ST.27.0.0","CCIS62605362ST.3.0","CCIS48725289ST.4.0","CCIS87252800ST.4.0","CCIS50148151ST.4.0","SID530890","CRC_MR_SBJ32C_17","17.3221172976458","19.9422836375827","20.0808222548455","20.4702831988861","21.8600840234364","22.1129064732409","22.5473039889495","22.8341087926593","23.0961436102762","23.389950775814","23.4232172314501","23.638221576669","23.6560095587591","24.2049921966544"
"CCIS11558985ST.4.0","DRR127546","SZAXPI015261.75","DRR127616","SZAXPI015247.35","CRC_MR_SBJ18H_17","MMRS57276462ST.27.0.0","CCMD54057834ST.11.0","CCIS07648107ST.4.0","SZAXPI015271.93","MMRS65862658ST.27.0.0","CCMD10032470ST.11.0","SZAXPI015268.109","MMRS17603756ST.27.0.0","DRR127713","24.2453802032944","29.1525454478078","31.2336643220132","31.5789236742024","32.1667594766554","32.1683613216216","32.8077815101936","33.0578420983857","33.1268124930758","33.1572873074925","33.2645305718914","33.7966945822295","34.4064847313744","34.416618003296","CCIS62605362ST.3.0","CCMD63399960ST.21.0","MMRS62376181ST.27.0.0","DRR127774","LILT_VF29_16","LILT_VF120_16","CCIS87252800ST.4.0","MMRS93508324ST.27.0.0","CCMD95433940ST.21.0","SZAXPI017454.20","SZAXPI017580.90","CCIS02379307ST.4.0","CRC_MR_SBJ32C_17","MMRS54316675ST.27.0.0","24.1339393112749","28.7085176466776","29.8183627923516","31.7373279193665","31.823067968854","31.876147105458","32.8327595206784","33.2708097307805","33.3239730839481","33.4643195127661","33.5198668271281","33.9725561425601","34.2414908730461","34.306734286169"
"CCIS13047523ST.4.0","SID530331","CRC_MR_SBJ74H_17","MMPU72854103ST","CCIS11354283ST.4.0","CRC_MR_SBJ73H_17","SID532802","CCIS02856720ST.4.0","MMRS65862658ST.27.0.0","CCIS50471204ST.4.0","CCMD74592084ST.11.0","CCIS02124300ST.4.0","SID530055","CCIS50003399ST.4.0","CCIS05314658ST.4.0","17.2360052998599","18.7782027634196","19.5439465234123","20.4075794188556","20.9067571654597","21.5892588833614","22.2395853967717","22.7543778349662","23.4048517136063","23.5532639656206","23.8990683048691","23.9580239683514","24.1014966247617","24.1505852599911","MMRS14379078ST.27.0.0","CRC_MR_SBJ02C_17","CCIS82146115ST.4.0","CCMD13934959ST.21.0","CRC_MR_SBJ04C_17","CCMD59583015ST.11.0","MMRS43939546ST.27.0.0","SZAXPI017586.111","SZAXPI015213.15","CCIS48725289ST.4.0","CCMD51864103ST.21.0","CCMD86707194ST.21.0","SID530890","CCMD95433940ST.21.0","18.9163610057194","19.5938788452542","21.2376275383999","21.3626715239995","21.3912741564639","22.5556520651432","22.7592339223731","23.1308259362717","23.7225740864456","24.039982078891","24.3728020452635","25.3406291459565","25.6618980618406","26.3072520487317"
"CCIS16326685ST.4.0","CCIS36797902ST.4.0","CCIS94417875ST.3.0","CCMD31009081ST.11.0","MMRS11932626ST.27.0.0","CCMD56948710ST.11.0","CCMD54057834ST.11.0","CRC_MR_SBJ16H_17","DRR127649","CCMD18579000ST.11.0","MMPU84450604ST","CCIS05314658ST.4.0","SZAXPI015271.93","LILT_VF31_16","CCIS02124300ST.4.0","20.74227659454","24.0581949463296","24.7506123527136","25.239167116989","25.4766245832979","25.7262129768239","25.9190935862715","25.9474014041349","26.6925648960099","27.1181089652118","27.1704992474191","27.3958673671833","27.4096342026358","27.4219174754301","SZAXPI015225.18","SZAXPI003413.4","MMRS72802364ST.27.0.0","CCIS98832363ST.4.0","MMRS93508324ST.27.0.0","MMRS54316675ST.27.0.0","CCMD82866709ST.21.0","DRR127720","SZAXPI017593.158","LILT_VF120_16","LILT_VF192_T017","LILT_VF29_16","CCMD46222674ST.21.0","MMRS86958796ST.27.0.0","19.1921925292735","20.2874635456752","20.4569917295946","22.1032139187585","23.1448228233897","23.2437093586781","23.3515366853447","23.5249478485288","23.8369907850362","24.0889503983528","24.1206624640473","24.3300011895068","24.4248197193244","24.802873260697"
"CCIS16561622ST.4.0","MMRS20257302ST.27.0.0","CCIS79210440ST.3.0","CRC_MR_SBJ77H_17","DRR127649","MMRS11932626ST.27.0.0","MMRS73787048ST.27.0.0","MMRS17963147ST.27.0.0","CCIS94417875ST.3.0","CCIS50471204ST.4.0","CCMD18579000ST.11.0","SZAXPI015268.109","LILT_VF84_16","MMRS57276462ST.27.0.0","CCMD31009081ST.11.0","18.2350659058447","18.8371171229198","20.0677610179661","20.6682384018063","21.4046402488409","21.6322320551671","21.8396700254056","22.5178250994806","22.6504796432393","23.1098681876661","23.7827780194997","23.8910332769305","24.1634394312503","24.4138354934308","CCIS41548810ST.4.0","CRC_MR_SBJ32C_17","CCMD82866709ST.21.0","LILT_VF192_T017","CCIS62605362ST.3.0","CCIS11015875ST.4.0","SZAXPI017454.20","MMRS51410669ST.27.0.0","CCIS33816588ST.4.0","SID531352","MMRS85382779ST.27.0.0","SID31285","CCIS50148151ST.4.0","MMRS93508324ST.27.0.0","19.1124752394451","21.8748031134957","21.9476888510704","22.6074487976751","22.6113356127541","23.0466175808317","23.5389523861535","24.0379486302388","24.0431854024524","24.2770150801926","25.048542553496","25.0918605468247","25.2458139160654","25.3043142637911"
