"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21"
"CCIS07539127ST.4.0","CCIS94417875ST.3.0","CRC_MR_SBJ16H_17","LILT_VF265_T016","MMRS95277876ST.27.0.0","CCIS79210440ST.3.0","16.18196757574","16.8099076981701","17.3447557406641","18.286475907167","20.8942722342775","CRC_MR_SBJ32C_17","SZAXPI015218.16","MMRS55294627ST.27.0.0","SZAXPI017454.20","DRR127515","15.9065362812807","17.8365945481305","18.6603807782585","18.8461776934184","19.2822193524112"
"CCIS32452666ST.4.0","MMRS34569532ST.27.0.0","CCIS94417875ST.3.0","CCIS74239020ST.4.0","CRC_MR_SBJ16H_17","CCIS07539127ST.4.0","20.5041610661031","21.4303754457312","22.2011884855721","22.4609317986387","23.3752842412386","SID531416","MMRS43939546ST.27.0.0","SZAXPI017454.20","CRC_MR_SBJ32C_17","SZAXPI015218.16","21.4048313584831","22.4203280494644","22.7427667630744","22.960717134959","24.2441642633624"
"CCIS74239020ST.4.0","CCIS32452666ST.4.0","SZAXPI015258.57","SID31360","CCIS07539127ST.4.0","CRC_MR_SBJ16H_17","22.2011884855721","23.4745525471477","25.5207575864785","26.3668987728136","26.7858139732844","SZAXPI017454.20","SZAXPI015218.16","CCMD49461418ST.11.0","MMRS55294627ST.27.0.0","SID31877","25.7961174969355","25.9177372044359","25.9299126149993","25.9526654227885","26.7358548352451"
"CCIS79210440ST.3.0","CCIS94417875ST.3.0","CCIS07539127ST.4.0","MMRS95277876ST.27.0.0","CCIS32452666ST.4.0","CRC_MR_SBJ16H_17","20.8706981932948","20.8942722342775","23.3367174949542","23.794022459744","24.0899950676396","CRC_MR_SBJ32C_17","CRC_MR_SBJ51C_17","SZAXPI017454.20","LILT_VF192_T017","SZAXPI015218.16","21.0173312145953","21.0327027569616","21.4557600825093","23.0471943397824","24.2140908267624"
"CCIS82944710ST.20.0","CCIS32452666ST.4.0","SID31267","SZAXPI015250.39","CCIS74239020ST.4.0","MMRS25211151ST.27.0.0","27.1901184734124","27.7805497473466","30.7031824123168","32.5174029086011","33.0173525955534","SID531416","SZAXPI017454.20","CCIS02379307ST.4.0","MMRS55294627ST.27.0.0","MMRS43939546ST.27.0.0","25.6034927650995","32.9606636058894","34.0400881186741","34.6276194650845","34.6771046924797"
"CCIS94417875ST.3.0","MMRS95277876ST.27.0.0","CCIS07539127ST.4.0","CRC_MR_SBJ16H_17","LILT_VF265_T016","CCIS79210440ST.3.0","16.1382385631115","16.18196757574","18.309240303325","19.4482659190736","20.8706981932948","CRC_MR_SBJ32C_17","LILT_VF192_T017","SZAXPI017454.20","SZAXPI015218.16","DRR127515","17.2101630990005","17.53579748943","19.9108947775985","20.3320466045477","21.1000116694897"
"CCMD29706695ST.11.0","CCIS79210440ST.3.0","CCIS07539127ST.4.0","CCIS94417875ST.3.0","CRC_MR_SBJ16H_17","MMRS95277876ST.27.0.0","26.3514964947686","26.9693386153814","28.1283139987238","28.3201406651785","29.0488394168941","SZAXPI015226.14","CRC_MR_SBJ32C_17","SZAXPI017454.20","SZAXPI015218.16","CCMD49461418ST.11.0","23.7688155902161","25.1147476052697","25.6046586780804","28.5858733598241","28.840130533699"
"CCMD39157124ST.11.0","CCIS32452666ST.4.0","CRC_MR_SBJ16H_17","MMRS95277876ST.27.0.0","CCIS79210440ST.3.0","CCIS94417875ST.3.0","27.1419757445308","27.3950432807944","27.460587204337","29.4989095058394","30.5928344570571","MMRS43939546ST.27.0.0","SID531416","CCMD49461418ST.11.0","CRC_MR_SBJ32C_17","LILT_VF192_T017","22.1406537167605","28.214817942411","28.3912325321339","29.3595621004759","30.2487485487483"
"CCMD99440714ST.11.0","CRC_MR_SBJ16H_17","SZAXPI015258.57","LILT_VF189_T016","CCIS07539127ST.4.0","MMRS91297590ST.27.0.0","20.3619069075025","22.4313399031266","22.8543791760595","24.5629304595075","24.7932903524986","SZAXPI015218.16","CCMD49461418ST.11.0","SID31877","CRC_MR_SBJ32C_17","MMRS55294627ST.27.0.0","23.1998388369876","23.8287145309876","24.0264390679913","25.2726065647907","25.8809522778085"
"CRC_MR_SBJ16H_17","CCIS07539127ST.4.0","MMRS95277876ST.27.0.0","CCIS94417875ST.3.0","CCMD99440714ST.11.0","LILT_VF265_T016","16.8099076981701","17.2399881454716","18.309240303325","20.3619069075025","21.2306678348256","CRC_MR_SBJ32C_17","SZAXPI015218.16","CCMD49461418ST.11.0","DRR127515","SID31877","16.5348045268367","19.0662655327256","20.2984344560092","21.3328372235926","21.4018199503664"
