"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25"
"CCIS07648107ST.4.0","CCMD54057834ST.11.0","CRC_MR_SBJ34H_17","SID31071","MMRS95479054ST.27.0.0","CRC_MR_SBJ73H_17","MMRS39582183ST.27.0.0","21.2257652102957","25.1996493596974","26.1704901852583","26.1979673001857","26.7615648233189","27.3277667484795","DRR162777","CCMD74930188ST.21.0","SID31874","CCMD95433940ST.21.0","SID531382","DRR127521","21.2418173894891","22.5658477784594","23.6197674038124","24.3048371738858","26.3379328496999","26.4723731830582"
"CCIS16383318ST.4.0","CCMD54057834ST.11.0","MMRS39582183ST.27.0.0","CRC_MR_SBJ67H_17","CRC_MR_SBJ34H_17","CCIS07648107ST.4.0","MMRS95479054ST.27.0.0","21.3929766068796","25.5582822697536","27.3647421280651","27.4443584265729","28.003696365114","28.0070276977744","SZAXPI017593.158","MMRS15137911ST.27.0.0","MMRS96422329ST.27.0.0","SID31874","CCMD82866709ST.21.0","CCMD19497912ST.21.0","24.0496294048474","26.1084771170821","26.7609084404323","27.2919801709238","27.3222731508562","27.4408895752561"
"CCMD51228890ST.11.0","SID530215","DRR127748","DRR127616","SID31071","CRC_MR_SBJ67H_17","CCMD54057834ST.11.0","13.5418952730443","20.9923369280554","24.5398491037435","29.634886163861","32.9574130922999","34.1563957855114","CCMD95676152ST.11.0","SID31879","CCMD82866709ST.21.0","SID31874","CCMD95433940ST.21.0","MMRS96422329ST.27.0.0","25.4344049735177","28.2492782941122","31.1119231577542","31.222778583129","33.1747302609712","34.4305350916944"
"CCMD53508245ST.11.0","CRC_MR_SBJ34H_17","SZAXPI015262.79","CRC_MR_SBJ73H_17","SID530394","SZAXPI015272.108","CCMD73128545ST.11.0","20.460780085031","21.8313882988875","23.2284787166185","24.3263285939473","25.3501468489829","25.5483684266158","MMRS96422329ST.27.0.0","SID31874","SZAXPI017462.33","CCMD95433940ST.21.0","CCMD25511638ST.21.0","CCMD82866709ST.21.0","14.3033008351988","19.9158377630543","24.6533327887083","24.8505282562967","25.2430696357713","26.2066181842793"
"CCMD54057834ST.11.0","CCIS07648107ST.4.0","CCIS16383318ST.4.0","MMRS39582183ST.27.0.0","CRC_MR_SBJ34H_17","MMRS95479054ST.27.0.0","LILT_VF28_T016","21.2257652102957","21.3929766068796","23.764049880012","24.2744329830112","24.6965134246557","25.5277658909196","MMRS15137911ST.27.0.0","DRR127521","DRR162777","SID31874","SZAXPI003427.1","CCMD82866709ST.21.0","19.7584604133394","20.0208711475075","21.3383724006964","22.1602764617367","22.2308503337614","22.2576276985958"
"CCMD73128545ST.11.0","SID530394","CRC_MR_SBJ67H_17","CCMD53508245ST.11.0","MMRS21365932ST.27.0.0","CRC_MR_SBJ34H_17","SID530167","21.2340735925446","24.8161111523421","25.5483684266158","25.7740374926048","25.9086741056369","27.0962985016459","SZAXPI017462.33","CCMD95433940ST.21.0","MMRS96422329ST.27.0.0","CRC_MR_SBJ01C_17","SID31874","CCMD82866709ST.21.0","18.8696020040673","22.5881803327293","23.7262647477748","23.8277205509906","24.6987740639976","27.0404943603718"
"CCMD74592084ST.11.0","CRC_MR_SBJ73H_17","MMPU72854103ST","CRC_MR_SBJ67H_17","SID530394","CCMD53508245ST.11.0","MMRS95479054ST.27.0.0","16.797418668221","20.4657545893524","26.3518216987896","26.748108062063","26.8453923583639","27.3774945655843","CCMD95433940ST.21.0","CRC_MR_SBJ01C_17","SZAXPI017462.33","MMRS96422329ST.27.0.0","SID31874","MMRS86178473ST.27.0.0","20.2790369583297","26.8158094625782","29.0006202399345","29.5983837314151","30.565415777002","30.7555195018358"
"CCMD89643949ST.11.0","MMRS39582183ST.27.0.0","MMRS21365932ST.27.0.0","CRC_MR_SBJ67H_17","DRR127613","MMRS95479054ST.27.0.0","DRR127535","26.9923949288258","27.8177438397761","29.2907728230888","29.7475012434759","29.7559555832979","30.8061140288223","SZAXPI017593.158","CRC_MR_SBJ01C_17","MMRS43563715ST.27.0.0","SZAXPI017462.33","CCMD95676152ST.11.0","SID531382","24.5150856873314","28.3265062844167","29.6052946257709","29.9313521250761","30.0925340165464","30.679168254943"
"CRC_MR_SBJ24H_17","CCIS16383318ST.4.0","SID31219","CCMD54057834ST.11.0","CRC_MR_SBJ67H_17","MMRS95479054ST.27.0.0","MMRS39582183ST.27.0.0","35.1373742643086","36.2758282866332","37.2642178563404","37.8565670174753","38.1792908496845","38.6227397940449","SZAXPI017590.136","CCMD74930188ST.21.0","SZAXPI003415.12","SZAXPI017593.158","MMRS51728985ST.27.0.0","CCMD82866709ST.21.0","25.6497413561599","34.9387482578297","35.9526707364015","37.0711967457918","37.6756976180269","38.1928817356337"
"CRC_MR_SBJ34H_17","CCMD53508245ST.11.0","CRC_MR_SBJ73H_17","SID530167","SZAXPI015262.79","CCMD54057834ST.11.0","LILT_VF28_T016","20.460780085031","22.9013662407159","23.6496144956192","23.9914616768508","24.2744329830112","24.9379376424655","MMRS96422329ST.27.0.0","CRC_MR_SBJ25C_17","SZAXPI017462.33","MMRS15137911ST.27.0.0","CRC_MR_SBJ01C_17","SID531382","17.8589313556775","20.5207019681662","21.4580824495946","22.3801550102764","23.1955283609191","23.4936207875329"
"CRC_MR_SBJ67H_17","CRC_MR_SBJ73H_17","SID530394","MMRS95479054ST.27.0.0","MMPU72854103ST","MMRS39582183ST.27.0.0","CCMD73128545ST.11.0","21.0782959411168","21.8259770828616","22.0453824491207","22.2824778547629","23.2479173102086","24.8161111523421","CRC_MR_SBJ01C_17","SZAXPI017593.158","CCMD95433940ST.21.0","SZAXPI017462.33","SID31874","MMRS43563715ST.27.0.0","20.1160950456022","21.1296768574013","21.8259033624613","23.106742493716","23.6476497523538","24.4471632392943"
"DRR127535","DRR127613","CCMD89643949ST.11.0","MMRS39582183ST.27.0.0","CRC_MR_SBJ67H_17","CCIS16383318ST.4.0","MMRS95479054ST.27.0.0","26.1307428138696","30.8061140288223","31.2476702675047","35.6846085412773","36.1172026558439","37.0874266893539","CCIS84543192ST.4.0","DRR127557","SZAXPI017467.87","SZAXPI017593.158","MMRS43563715ST.27.0.0","CCMD19497912ST.21.0","15.8823003243642","19.7566019444463","23.8183994344666","24.042964383395","32.0798057021719","32.2843108849841"
"DRR127613","DRR127535","CRC_MR_SBJ67H_17","MMRS95479054ST.27.0.0","CCMD89643949ST.11.0","MMRS39582183ST.27.0.0","CRC_MR_SBJ73H_17","26.1307428138696","28.5555883106267","28.6276512226553","29.7475012434759","30.442238070183","33.5947698762813","CCIS84543192ST.4.0","DRR127557","SZAXPI017593.158","MMRS43563715ST.27.0.0","SZAXPI017467.87","CCMD19497912ST.21.0","20.0007394975711","21.5894327162781","23.1497369221985","28.1097082976665","28.5790277793945","31.1695406332224"
"DRR127672","DRR162776","CCMD54057834ST.11.0","LILT_VF28_T016","CCIS16383318ST.4.0","CRC_MR_SBJ34H_17","MMRS39582183ST.27.0.0","33.5296569718048","34.3201563045814","36.7426815265258","37.9262178846639","38.2802120494414","38.3144644698814","CCMD88272491ST.21.0","DRR162777","SID531382","CCMD64503764ST.21.0","SZAXPI003427.1","DRR127521","28.9878929530796","31.0713040875323","33.7118326352365","34.42827324184","34.5031385291135","34.6147126709727"
"DRR127748","CCMD51228890ST.11.0","SID530215","DRR127616","SID31071","CCMD54057834ST.11.0","CCIS07648107ST.4.0","20.9923369280554","23.747542195821","31.7698115099429","36.4369738509718","37.4605162487425","39.1805909303969","SID31879","CCMD95676152ST.11.0","SID31874","DRR162777","CCMD82866709ST.21.0","DRR127521","29.1895867491302","36.2170996491257","38.3912129950475","39.2793328653415","39.2915189301177","39.8619624463573"
"LILT_VF28_T016","SID530167","CRC_MR_SBJ34H_17","CCMD54057834ST.11.0","MMRS95479054ST.27.0.0","MMRS39582183ST.27.0.0","SID530394","24.9275093824533","24.9379376424655","25.5277658909196","26.8377519388603","26.8808463692217","27.475649923465","CCMD82866709ST.21.0","MMRS96422329ST.27.0.0","LILT_VF100_T016","MMRS15137911ST.27.0.0","SZAXPI003427.1","SID531382","16.8597808039814","22.6543975871375","23.9868389171708","24.6396097682999","25.4519124082042","25.559833726969"
"MMRS21365932ST.27.0.0","CCMD73128545ST.11.0","CRC_MR_SBJ34H_17","CCMD89643949ST.11.0","SID530167","MMRS39582183ST.27.0.0","LILT_VF28_T016","25.7740374926048","25.9377183502771","27.8177438397761","28.0452459265292","29.5825805676939","30.285475162008","SZAXPI017462.33","SID531382","SID31881","CCMD95676152ST.11.0","MMRS96422329ST.27.0.0","CCMD88272491ST.21.0","24.8094135974533","27.1143228480576","27.5681009023745","27.780847040175","28.0292602606473","28.1536350473238"
"MMRS39582183ST.27.0.0","MMRS95479054ST.27.0.0","CRC_MR_SBJ67H_17","CCMD54057834ST.11.0","CCIS16383318ST.4.0","CRC_MR_SBJ34H_17","LILT_VF28_T016","21.0059760043589","23.2479173102086","23.764049880012","25.5582822697536","25.8967495648431","26.8808463692217","SZAXPI017593.158","CCMD82866709ST.21.0","CRC_MR_SBJ01C_17","SZAXPI017462.33","CCMD19497912ST.21.0","SID31874","19.4108662935609","24.3601030729182","24.5116425014727","24.6969946545486","25.1071635990567","25.2657493875305"
