"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33"
"CCIS07648107ST.4.0","CCIS05314658ST.4.0","CCMD35801800ST.11.0","CCIS48174381ST.4.0","MMRS68630931ST.27.0.0","CRC_MR_SBJ78H_17","SID31009","CCIS50471204ST.4.0","SID31328","22.1339319516642","22.2284546585789","22.3267668249436","23.711463439246","23.8130801831031","23.9168586499252","23.9307301519009","24.1974082279962","CCIS62794166ST.4.0","CRC_MR_SBJ26C_17","CRC_MR_SBJ11C_17","MMRS55294627ST.27.0.0","DRR162778","MMRS65205033ST.27.0.0","DRR127509","MMRS41266697ST.27.0.0","19.9422836375827","20.4702831988861","22.1129064732409","23.1895496243416","24.2945496061442","24.3709275513921","24.7163185261681","25.4271920806447"
"CCIS13047523ST.4.0","CRC_MR_SBJ74H_17","CCIS02856720ST.4.0","CCIS50471204ST.4.0","SID530055","CCIS05314658ST.4.0","SZAXPI015255.46","SID31328","SZAXPI015227.13","18.7782027634196","22.2395853967717","23.4048517136063","23.9580239683514","24.1505852599911","24.6168900210039","25.6612403149672","25.9703717749188","SID531416","CCIS76845094ST.20.0","CCMD51864103ST.21.0","CCIS41222843ST.4.0","CCMD86707194ST.21.0","CCMD25963797ST.21.0","CCMD49461418ST.11.0","CRC_MR_SBJ35C_17","21.8759637246499","24.3464697354011","24.3728020452635","24.4426004954792","25.3406291459565","27.4034526293422","27.9785423641529","29.0096353351572"
"CCIS16383318ST.4.0","CCIS48174381ST.4.0","SZAXPI015244.32","CCMD41202658ST.11.0","CCIS03473770ST.4.0","SID31328","MMRS88581325ST.27.0.0","SZAXPI015264.87","DRR127777","21.9507489057412","22.9133585720754","23.5984211958279","25.2074974857958","25.6317883987637","25.8688084341587","26.4324857439042","26.5450818348635","MMRS54316675ST.27.0.0","DRR162778","MMRS65205033ST.27.0.0","CCIS62794166ST.4.0","MMRS44587603ST.27.0.0","SZAXPI003426.11","SID531281","CRC_MR_SBJ11C_17","23.4901701826083","23.7527125092335","25.4646336331725","26.3603550503725","26.5019515400715","26.7534353782145","26.8860638243068","26.9784898429879"
"CCIS23164343ST.4.0","CCIS02856720ST.4.0","SZAXPI015241.27","SID31236","CCIS50471204ST.4.0","CCIS93040568ST.20.0","SZAXPI015255.46","CCIS94603952ST.4.0","SID31328","22.4366154098808","23.7490451278278","25.9552232838383","28.1018326410663","29.7797943301629","30.8250603189677","31.0512179068535","31.2195997889675","SID31276","CRC_MR_SBJ25C_17","CCIS41222843ST.4.0","CCIS76845094ST.20.0","SID531416","SZAXPI015223.158","CCMD52145360ST.11.0","CCIS81887263ST.4.0","19.4644775951141","21.6957288943515","27.4676227939187","29.12814716666","29.8554923993492","30.1304166059233","32.5473694688403","33.3054109082443"
"CCIS48174381ST.4.0","CCIS16383318ST.4.0","CCIS07648107ST.4.0","CCIS05314658ST.4.0","SZAXPI015244.32","SID31328","CCIS50471204ST.4.0","DRR127777","CCIS03473770ST.4.0","21.9507489057412","22.3267668249436","22.9128627041123","23.8234796187375","24.3237154282503","24.3460933204673","24.4754251559988","24.8156524454164","CRC_MR_SBJ11C_17","DRR162778","CCIS62794166ST.4.0","CCIS76845094ST.20.0","MMRS65205033ST.27.0.0","CRC_MR_SBJ26C_17","MMRS55294627ST.27.0.0","CCIS81887263ST.4.0","22.1380928599936","23.2382637425002","24.1325216944604","25.1124782388238","25.3678207583505","25.5239173906358","25.659069444861","25.6814245924871"
"CCIS93040568ST.20.0","SID31009","CCIS02856720ST.4.0","CCIS50471204ST.4.0","SZAXPI015241.27","CRC_MR_SBJ78H_17","MMRS88581325ST.27.0.0","SID31328","CCIS05314658ST.4.0","20.3901080180685","23.5071853716497","24.5814954074747","25.5199603136878","25.5566215457932","27.2785269628347","27.6830004550645","27.8344448409574","CRC_MR_SBJ25C_17","CCIS76845094ST.20.0","SID531281","SID31276","CCIS41222843ST.4.0","SZAXPI015223.158","CCIS81887263ST.4.0","CCMD52145360ST.11.0","24.8363139459019","24.9897083940169","26.1794426880597","26.8010035854313","27.7149040688002","27.7265127180484","28.5298866916958","28.8049576763341"
"CCIS98482370ST.3.0","SID31328","SZAXPI015268.109","CCIS05314658ST.4.0","CCIS03473770ST.4.0","SZAXPI015255.46","CCIS50471204ST.4.0","MMRS68630931ST.27.0.0","CRC_MR_SBJ74H_17","27.0798249298329","27.2424114412473","28.0158047221778","28.0266548590694","28.5394944680858","28.5681449604345","28.7935095176535","29.3109735533708","CCMD86707194ST.21.0","MMRS65205033ST.27.0.0","CCMD49461418ST.11.0","CCIS62794166ST.4.0","CRC_MR_SBJ05C_17","SZAXPI017583.102","CCMD82866709ST.21.0","CCIS76845094ST.20.0","25.0185925164067","26.8358414729648","27.5990522171505","27.9752189180657","28.0862612164026","28.6608014541604","29.504378993607","29.8840379586846"
"CCMD10191450ST.11.0","CCMD35081859ST.11.0","LILT_VF171_T016","LILT_VF189_T016","SID31071","SZAXPI015233.19","LILT_VF263_T016","SID530055","MMPU84450604ST","16.3669834896355","21.4770707507402","23.9198010119775","26.8410095906767","29.70851468802","30.3942700127623","30.5623951980044","31.1851875385078","CCMD76222476ST.11.0","CCMD95431029ST.11.0","CCMD49461418ST.11.0","SID31875","CCMD86707194ST.21.0","MMRS44587603ST.27.0.0","SZAXPI015223.158","CCMD52145360ST.11.0","21.0009965604016","23.9769466395306","29.2905352411696","33.0405625889709","34.6226169701598","36.1934856359055","36.5356351013719","36.6489619577213"
"CCMD17410933ST.11.0","CCMD98198513ST.11.0","CCIS13047523ST.4.0","CRC_MR_SBJ74H_17","CCMD39157124ST.11.0","SID530055","CCMD35801800ST.11.0","CCIS50471204ST.4.0","CCMD25475945ST.11.0","21.6780490832685","26.4167367696902","26.6534327929368","26.7713744046267","29.7273744023753","30.2211698467118","32.5295183553615","32.7898720395917","CCMD51864103ST.21.0","CCMD86707194ST.21.0","SZAXPI003437.3","CRC_MR_SBJ35C_17","CCMD49461418ST.11.0","SID531416","CCMD25963797ST.21.0","CCIS76845094ST.20.0","19.237568724449","29.9904312756852","30.3367701216906","30.725408762656","30.9380512473911","31.7242927673022","33.124098444083","34.6848241544007"
"CCMD25475945ST.11.0","CCIS02856720ST.4.0","SZAXPI015244.32","CCIS50471204ST.4.0","CCIS03473770ST.4.0","CCIS13047523ST.4.0","SZAXPI015255.46","SZAXPI015227.13","SZAXPI015241.27","21.5083262386221","22.9285403884831","27.308548124959","27.8288911747845","27.9930004155378","28.2316172354809","28.7422528516503","29.1369162277943","SZAXPI003426.11","SID531416","SZAXPI003437.3","CCMD25963797ST.21.0","CCIS76845094ST.20.0","CCIS41222843ST.4.0","CCIS71301801ST.4.0","CCMD86707194ST.21.0","24.1729829134491","26.7640703115931","27.6089925488146","29.6968030683288","29.8205726523402","30.2904105759084","30.7271006489662","30.8330983109839"
