"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37"
"CCIS00281083ST.3.0","LILT_VF261_T016","LILT_VF82_T016","DRR127524","DRR127737","MMRS35808664ST.27.0.0","CRC_MR_SBJ83H_17","CCMD29706695ST.11.0","CCIS02124300ST.4.0","MMRS65742083ST.27.0.0","14.9923901578467","15.7708262910635","19.075121251017","34.546270569623","36.8903710167396","37.2246143203687","48.1651716168364","57.0164539995149","57.3769383343491","SZAXPI015220.136","SZAXPI003430.5","CCIS40244499ST.3.0","SZAXPI003420.4","MMRS43563715ST.27.0.0","SZAXPI017584.108","MMRS44587603ST.27.0.0","MMRS93508324ST.27.0.0","CRC_MR_SBJ31C_17","20.013992850993","29.822964026644","38.6955888898476","41.9306526870844","47.1995096386848","48.8088315842963","48.9043418221573","55.5801243712714","57.451839287632"
"CCIS02124300ST.4.0","SID532802","CRC_MR_SBJ73H_17","CCIS45793747ST.4.0","SID31219","CCIS07277498ST.4.0","CCIS94603952ST.4.0","CCMD37575804ST.11.0","CRC_MR_SBJ34H_17","CCMD59540613ST.11.0","18.6651313689189","18.8835143846716","19.0209861647261","19.4361164081331","20.6739799502079","20.9525147099459","21.1244431150646","21.4055226965449","21.771843721929","DRR127485","CCIS48725289ST.4.0","SID530890","SZAXPI017586.111","SZAXPI017458.25","SID531277","SZAXPI017588.123","MMRS93508324ST.27.0.0","MMRS43939546ST.27.0.0","14.2690396075419","16.1228066874598","18.8294265473248","19.9804396127988","20.1104204194542","20.1282238364616","21.2384180445225","21.3615416169199","21.3890456041147"
"CCIS07277498ST.4.0","CCIS02124300ST.4.0","CRC_MR_SBJ18H_17","CCMD39157124ST.11.0","CCIS94603952ST.4.0","MMRS93621581ST.27.0.0","CCIS45571137ST.3.0","SID532802","CRC_MR_SBJ73H_17","DRR127649","20.6739799502079","20.8380347940059","20.8568238328754","20.863904855422","21.3583637279872","21.9285926517982","22.0447356711075","22.1565789645762","23.3110052091153","CCIS48725289ST.4.0","CRC_MR_SBJ42C_17","CCMD95433940ST.21.0","DRR127485","SID531277","MMRS43939546ST.27.0.0","MMRS90191266ST.27.0.0","CRC_MR_SBJ01C_17","CCIS11015875ST.4.0","18.9489087452602","19.7516517044727","20.2854713376273","20.3291143616637","20.4434241042566","20.5065699297152","20.8353798250908","22.0969787675623","22.140085472396"
"CCIS16561622ST.4.0","MMRS20257302ST.27.0.0","DRR127649","SZAXPI015268.109","CRC_MR_SBJ18H_17","CRC_MR_SBJ34H_17","MMRS21365932ST.27.0.0","CCIS45571137ST.3.0","CCIS45793747ST.4.0","SID31700","18.2350659058447","20.6682384018063","23.7827780194997","25.4564063027816","25.5817327151036","25.5943146941132","26.2192917716784","26.2290109448183","26.9195538449136","CCIS53043478ST.4.0","CCMD82866709ST.21.0","MMRS14602194ST.27.0.0","DRR127515","CCIS62605362ST.3.0","CCIS11015875ST.4.0","SZAXPI015218.16","CCIS38765456ST.20.0","SZAXPI017466.84","18.9387994639523","21.9476888510704","22.0910584299712","22.4210424575843","22.6113356127541","23.0466175808317","24.498467332021","24.5252689818501","24.7691417666055"
"CCIS23164343ST.4.0","SZAXPI017592.142","CCIS82944710ST.20.0","SZAXPI015250.39","CRC_MR_SBJ34H_17","CCIS45793747ST.4.0","CCIS94603952ST.4.0","CRC_MR_SBJ68H_17","CRC_MR_SBJ79H_17","SID532802","20.7002642272098","26.7079433600586","27.7917627599456","27.9560607395409","29.6019153526778","31.0512179068535","31.2088909991175","31.2516708546487","31.5298434908041","CRC_MR_SBJ50C_17","CRC_MR_SBJ10C_17","SID530890","SID31871","SZAXPI003415.12","CCIS81887263ST.4.0","SZAXPI017458.25","CCIS62605362ST.3.0","CCIS11015875ST.4.0","26.343073967398","26.5172030865191","26.9065135491557","30.9729304145862","33.1725730719445","33.3054109082443","34.3120069256346","34.746182355138","34.9670527612008"
"CCIS29688262ST.20.0","CRC_MR_SBJ18H_17","DRR127634","CCIS45793747ST.4.0","CRC_MR_SBJ68H_17","CCIS07277498ST.4.0","CCIS02124300ST.4.0","CCMD59540613ST.11.0","MMRS93621581ST.27.0.0","SZAXPI015268.109","31.6724330538088","33.9215999763116","34.3321377081052","34.6252740969021","34.8204698971137","34.8300870674594","35.0827614890462","35.3791410473149","35.5191335375499","CCIS53043478ST.4.0","SZAXPI015218.16","SID530890","SID31237","CCIS48725289ST.4.0","SID31871","CRC_MR_SBJ26C_17","MMRS93508324ST.27.0.0","CRC_MR_SBJ31C_17","32.210809924932","32.7301164759278","32.7773292669781","32.8374848867008","32.9072187621501","33.2273182463797","33.5901380246018","33.6808161358361","34.3211365028068"
"CCIS44093303ST.4.0","SZAXPI003433.7","CRC_MR_SBJ18H_17","SZAXPI015268.109","CCIS45793747ST.4.0","CCMD59540613ST.11.0","CCIS45571137ST.3.0","MMRS93621581ST.27.0.0","CCIS16561622ST.4.0","CCIS02124300ST.4.0","28.4862033603585","29.4618318498019","29.9690593513527","30.9420407295883","31.2502759140923","32.0339763254907","32.12065167201","32.6708575542348","32.8050247130222","CCIS53043478ST.4.0","SZAXPI015218.16","DRR127521","SZAXPI017461.32","DRR127507","MMRS93508324ST.27.0.0","CCMD11006829ST.21.0","DRR127515","SZAXPI017585.109","28.073280320862","28.1929304662818","29.3746943204436","29.6480689033468","29.8107224588687","29.83558863421","29.9471874154886","30.0198360700604","30.2315638006488"
"CCIS45571137ST.3.0","CCIS94603952ST.4.0","CCIS95409808ST.4.0","CCIS07277498ST.4.0","CCIS45793747ST.4.0","MMRS93621581ST.27.0.0","CRC_MR_SBJ34H_17","CRC_MR_SBJ18H_17","SZAXPI015268.109","CCMD39157124ST.11.0","17.6741686812025","18.6818736564377","21.9285926517982","22.4429366533928","22.6286255443608","22.9137485166264","23.6689383626833","23.8503038194988","24.0635906968578","MMRS90191266ST.27.0.0","CCMD82866709ST.21.0","DRR127485","CCIS53043478ST.4.0","CCIS62605362ST.3.0","MMRS93508324ST.27.0.0","SID530890","SID31875","MMRS14602194ST.27.0.0","15.6931572618227","19.3019350588898","20.1302705313739","21.0421132039631","21.4116048081175","21.4147404694967","21.5493757342481","22.2698882318861","22.5693866434469"
"CCIS45793747ST.4.0","CRC_MR_SBJ34H_17","CCIS02124300ST.4.0","CRC_MR_SBJ73H_17","SID532802","SZAXPI015268.109","CCIS94603952ST.4.0","CCMD37575804ST.11.0","SZAXPI003433.7","SZAXPI015235.21","17.1751631655888","19.0209861647261","19.368641901739","20.1202652818769","20.5070242495053","20.7915101174927","21.0527335419251","21.2369056704219","22.2037588885351","SID530890","SZAXPI017458.25","MMRS14602194ST.27.0.0","CCIS11015875ST.4.0","SZAXPI017586.111","CCIS48725289ST.4.0","DRR127485","SZAXPI017588.123","SID531277","14.9065823504451","17.8630680358414","17.9794939433789","17.9901812202073","18.8105862362873","18.8918744309637","19.0592645349421","19.5087185779025","19.5118788281037"
"CCIS51595129ST.4.0","CCIS95409808ST.4.0","CCMD32965613ST.11.0","MMRS20257302ST.27.0.0","SID532915","CRC_MR_SBJ34H_17","SID31700","DRR127649","CCIS45571137ST.3.0","CRC_MR_SBJ79H_17","20.9965338513598","24.2142306429009","27.654305865711","28.9949809341272","29.3118068957067","29.6498258341967","29.7315536764411","29.9653263697628","30.2012016783339","CCIS38765456ST.20.0","MMRS85382779ST.27.0.0","CRC_MR_SBJ40C_17","CCMD23101338ST.21.0","SID531469","SZAXPI017466.84","CCIS11015875ST.4.0","DRR127485","DRR127515","16.5139897122924","21.0923115437569","24.5887208403243","25.1750278197264","27.1217556378878","29.1981383484085","29.5923261158412","29.8772388289531","30.245837044681"
