"rowname","MeanDecreaseGini","Rank","FeatureCount","Sampling","RepeatTimes"
"Fusobacterium_nucleatum",10.6268110798971,4,50,400,10
"Gemella_morbillorum",5.76203162402585,11,50,400,10
"Parvimonas_micra",2.70651611570032,29,50,400,10
"Parvimonas_unclassified",20.7097336269186,1,50,400,10
"Peptostreptococcus_stomatis",16.4028966431869,2,50,400,10
"Solobacterium_moorei",4.30435503483214,18,50,400,10
"Porphyromonas_asaccharolytica",6.60403419352754,6,50,400,10
"Porphyromonas_uenonis",0.78394727933628,40,50,400,10
"Porphyromonas_somerae",0.451923197453475,43,50,400,10
"Bacteroides_fragilis",5.82122319995468,10,50,400,10
"Clostridium_symbiosum",8.3217642477046,5,50,400,10
"Ruminococcus_torques",12.3045610952265,3,50,400,10
"Peptostreptococcus_anaerobius",0.503585000291234,42,50,400,10
"Eikenella_corrodens",0.336544187119893,44,50,400,10
"Prevotella_intermedia",0.120415350757006,48,50,400,10
"Clostridium_hathewayi",6.25502210927949,9,50,400,10
"Campylobacter_ureolyticus",0.0624403611083342,50,50,400,10
"Anaerococcus_vaginalis",0.299209228660332,46,50,400,10
"Granulicatella_adiacens",3.54170628516513,21,50,400,10
"Desulfovibrio_desulfuricans",3.82333472171651,19,50,400,10
"Lachnospiraceae_bacterium_3_1_57FAA_CT1",2.98505761050882,24,50,400,10
"Peptostreptococcus_unclassified",2.60066123307097,33,50,400,10
"Roseburia_intestinalis",6.39892838334789,7,50,400,10
"Ruminococcaceae_bacterium_D16",5.6847001091944,12,50,400,10
"Streptococcus_anginosus",1.73034812022381,36,50,400,10
"Eggerthella_lenta",2.83678225275668,26,50,400,10
"Anaerococcus_obesiensis",0.190574063782188,47,50,400,10
"Lactobacillus_salivarius",3.70791070756557,20,50,400,10
"Streptococcus_constellatus",0.76740629308181,41,50,400,10
"Streptococcus_gordonii",3.07609470901544,23,50,400,10
"Streptococcus_agalactiae",0.073967766655607,49,50,400,10
"Clostridium_citroniae",2.62740849171345,30,50,400,10
"Subdoligranulum_sp_4_3_54A2FAA",2.45405069518326,34,50,400,10
"Bifidobacterium_catenulatum",4.61740575533911,16,50,400,10
"candidate_division_TM7_single_cell_isolate_TM7c",1.40327147959698,38,50,400,10
"Streptococcus_cristatus",1.73510337437029,35,50,400,10
"Faecalibacterium_prausnitzii",5.38551971268312,13,50,400,10
"Subdoligranulum_variabile",2.94946719994005,25,50,400,10
"Turicibacter_sanguinis",1.19038912278807,39,50,400,10
"Clostridium_hylemonae",0.322323195180736,45,50,400,10
"Eubacterium_eligens",6.31634292465486,8,50,400,10
"Coprococcus_catus",4.53513166297967,17,50,400,10
"Clostridium_innocuum",2.80696180507031,27,50,400,10
"Turicibacter_unclassified",1.50558933261409,37,50,400,10
"Bifidobacterium_bifidum",2.60212611565228,32,50,400,10
"Clostridiales_bacterium_1_7_47FAA",3.42324336493517,22,50,400,10
"Filifactor_alocis",0.0106146379757533,51,50,400,10
"Atopobium_parvulum",4.99421652812465,15,50,400,10
"Alistipes_indistinctus",2.78407011991389,28,50,400,10
"Anaerotruncus_unclassified",5.37186681809224,14,50,400,10
"Butyricimonas_synergistica",2.60298516546013,31,50,400,10
"Fusobacterium_nucleatum",7.75151637433777,1,50,400,9
"Gemella_morbillorum",4.81976228458412,15,50,400,9
"Parvimonas_unclassified",6.012171690197,6,50,400,9
"Peptostreptococcus_stomatis",6.78857864392148,2,50,400,9
"Porphyromonas_asaccharolytica",6.57194148452645,3,50,400,9
"Parvimonas_micra",4.23926737851749,20,50,400,9
"Porphyromonas_somerae",1.81565592072722,36,50,400,9
"Clostridium_symbiosum",6.1425796481316,5,50,400,9
"Solobacterium_moorei",4.77303326898933,16,50,400,9
"Porphyromonas_uenonis",2.47043834051161,31,50,400,9
"Peptostreptococcus_anaerobius",1.48650854489463,39,50,400,9
"Anaerococcus_vaginalis",1.10627622758987,40,50,400,9
