"Predict","AUC","BaseModel"
"PRJDB4176",0.7546875,"PRJEB27928"
"ZellerG_2014",0.626198577172904,"PRJEB27928"
"YuJ_2015",0.818364779874214,"PRJEB27928"
"VogtmannE_2016",0.695821005917159,"PRJEB27928"
"ThomasAM_2018b",0.736049107142857,"PRJEB27928"
"ThomasAM_2018a",0.65014367816092,"PRJEB27928"
"FengQ_2015",0.762116892373485,"PRJEB27928"
"PRJEB27928",0.994871794871795,"PRJEB27928"
"PRJEB27928",0.842564102564103,"PRJDB4176"
"ZellerG_2014",0.750850603154965,"PRJDB4176"
"YuJ_2015",0.806540880503145,"PRJDB4176"
"VogtmannE_2016",0.701368343195266,"PRJDB4176"
"ThomasAM_2018b",0.796875,"PRJDB4176"
"ThomasAM_2018a",0.729166666666667,"PRJDB4176"
"FengQ_2015",0.769244476122595,"PRJDB4176"
"PRJDB4176",0.905,"PRJDB4176"
"PRJEB27928",0.766282051282052,"ZellerG_2014"
"PRJDB4176",0.7575,"ZellerG_2014"
"YuJ_2015",0.868301886792453,"ZellerG_2014"
"VogtmannE_2016",0.669193786982249,"ZellerG_2014"
"ThomasAM_2018b",0.71875,"ZellerG_2014"
"ThomasAM_2018a",0.701149425287356,"ZellerG_2014"
"FengQ_2015",0.825908766928011,"ZellerG_2014"
"ZellerG_2014",0.985926384163316,"ZellerG_2014"
"PRJEB27928",0.918461538461538,"YuJ_2015"
"PRJDB4176",0.77,"YuJ_2015"
"ZellerG_2014",0.798175069594804,"YuJ_2015"
"VogtmannE_2016",0.753698224852071,"YuJ_2015"
"ThomasAM_2018b",0.75390625,"YuJ_2015"
"ThomasAM_2018a",0.65301724137931,"YuJ_2015"
"FengQ_2015",0.792409123307199,"YuJ_2015"
"YuJ_2015",0.959119496855346,"YuJ_2015"
"PRJEB27928",0.901794871794872,"VogtmannE_2016"
"PRJDB4176",0.829375,"VogtmannE_2016"
"ZellerG_2014",0.736158366841942,"VogtmannE_2016"
"YuJ_2015",0.849811320754717,"VogtmannE_2016"
"ThomasAM_2018b",0.763950892857143,"VogtmannE_2016"
"ThomasAM_2018a",0.78448275862069,"VogtmannE_2016"
"FengQ_2015",0.794903777619387,"VogtmannE_2016"
"VogtmannE_2016",0.946560650887574,"VogtmannE_2016"
"PRJEB27928",0.826923076923077,"ThomasAM_2018b"
"PRJDB4176",0.78875,"ThomasAM_2018b"
"ZellerG_2014",0.731054747912156,"ThomasAM_2018b"
"YuJ_2015",0.854088050314466,"ThomasAM_2018b"
"VogtmannE_2016",0.670118343195266,"ThomasAM_2018b"
"ThomasAM_2018a",0.769396551724138,"ThomasAM_2018b"
"FengQ_2015",0.736813970064148,"ThomasAM_2018b"
"ThomasAM_2018b",0.98828125,"ThomasAM_2018b"
"PRJEB27928",0.631666666666667,"ThomasAM_2018a"
"PRJDB4176",0.58,"ThomasAM_2018a"
"ZellerG_2014",0.585988246210949,"ThomasAM_2018a"
"YuJ_2015",0.582767295597484,"ThomasAM_2018a"
"VogtmannE_2016",0.578587278106509,"ThomasAM_2018a"
"ThomasAM_2018b",0.699776785714286,"ThomasAM_2018a"
"FengQ_2015",0.737883107626515,"ThomasAM_2018a"
"ThomasAM_2018a",0.987068965517241,"ThomasAM_2018a"
"PRJEB27928",0.924615384615385,"FengQ_2015"
"PRJDB4176",0.8240625,"FengQ_2015"
"ZellerG_2014",0.78796783173523,"FengQ_2015"
"YuJ_2015",0.806792452830189,"FengQ_2015"
"VogtmannE_2016",0.757581360946746,"FengQ_2015"
"ThomasAM_2018b",0.770647321428571,"FengQ_2015"
"ThomasAM_2018a",0.65014367816092,"FengQ_2015"
"FengQ_2015",0.996436208125446,"FengQ_2015"
