"Species","Pvalue","Ctlmean","Ctlmedian","CRCmean","CRCmedian","Study","pvalue","adj.fdr.p","Enrichment"
"Porphyromonas_asaccharolytica",0.00332019136339458,0,"0",1.20206103448276,"0","ThomasAM_2018a",0.00332019136339458,0.630660500165697,"Nodiff"
"Gordonibacter_pamelaeae",0.00439250323162682,0.0164879166666667,"0",0.00025,"0","ThomasAM_2018a",0.00439250323162682,0.630660500165697,"Nodiff"
"Eubacterium_eligens",0.00528864538372388,1.15848291666667,"0.249535",0.219415862068966,"0.00491","ThomasAM_2018a",0.00528864538372388,0.630660500165697,"Nodiff"
"Escherichia_coli",0.00753052733399702,1.48071833333333,"0.065315",6.53300620689655,"1.43571","ThomasAM_2018a",0.00753052733399702,0.630660500165697,"Nodiff"
"Lactobacillus_fermentum",0.0111897141201595,0.159553333333333,"0",0,"0","ThomasAM_2018a",0.0111897141201595,0.630660500165697,"Nodiff"
"Abiotrophia_defectiva",0.0112284038855239,0,"0",0.02726,"0","ThomasAM_2018a",0.0112284038855239,0.630660500165697,"Nodiff"
"Clostridium_symbiosum",0.0192814565660504,0.0431995833333333,"0",0.115343448275862,"0.00366","ThomasAM_2018a",0.0192814565660504,0.630660500165697,"Nodiff"
"Eikenella_corrodens",0.0202238169597503,0,"0",0.0954758620689655,"0","ThomasAM_2018a",0.0202238169597503,0.630660500165697,"Nodiff"
"Klebsiella_oxytoca",0.0202238169597503,0,"0",0.297469655172414,"0","ThomasAM_2018a",0.0202238169597503,0.630660500165697,"Nodiff"
"Eubacterium_hallii",0.0243740260596524,0.03947875,"0.00384",0.0128641379310345,"0","ThomasAM_2018a",0.0243740260596524,0.630660500165697,"Nodiff"
"Morganella_morganii",0.0269278528658767,0.00154125,"0",1.59500862068966,"0","ThomasAM_2018a",0.0269278528658767,0.630660500165697,"Nodiff"
"Bifidobacterium_adolescentis",0.0273169328675481,2.27628333333333,"0.484285",0.655458965517241,"0","ThomasAM_2018a",0.0273169328675481,0.630660500165697,"Nodiff"
"Anaerostipes_hadrus",0.0309570079570438,0.00388875,"0",0.00128275862068966,"0","ThomasAM_2018a",0.0309570079570438,0.630660500165697,"Nodiff"
"Fusobacterium_mortiferum",0.0360542274109194,0,"0",0.0326341379310345,"0","ThomasAM_2018a",0.0360542274109194,0.630660500165697,"Nodiff"
"Prevotella_stercorea",0.0360542274109194,0,"0",1.23731965517241,"0","ThomasAM_2018a",0.0360542274109194,0.630660500165697,"Nodiff"
"Holdemania_filiformis",0.0372245178244225,0.0179420833333333,"0",0.0290696551724138,"0.01102","ThomasAM_2018a",0.0372245178244225,0.630660500165697,"Nodiff"
"Streptococcus_salivarius",0.0390526827669695,0.107237083333333,"0.00279",0.0660168965517241,"0","ThomasAM_2018a",0.0390526827669695,0.630660500165697,"Nodiff"
"Bacteroides_intestinalis",0.0424333027527735,0.207134583333333,"0",0.0657324137931034,"0","ThomasAM_2018a",0.0424333027527735,0.630660500165697,"Nodiff"
"Subdoligranulum_unclassified",0.0425479584459051,10.6109683333333,"6.623115",5.06238413793103,"3.06854","ThomasAM_2018a",0.0425479584459051,0.630660500165697,"Nodiff"
"Faecalibacterium_prausnitzii",0.044323140235302,13.2363383333333,"8.987005",6.2146324137931,"4.6019","ThomasAM_2018a",0.044323140235302,0.630660500165697,"Nodiff"
"Bifidobacterium_catenulatum",0.0481387633288727,0.0471625,"0",0.000366206896551724,"0","ThomasAM_2018a",0.0481387633288727,0.630660500165697,"Nodiff"
"Bifidobacterium_longum",0.0496292299054806,1.54591291666667,"0.654845",0.39538275862069,"0.07396","ThomasAM_2018a",0.0496292299054806,0.630660500165697,"Nodiff"
"Blautia_producta",0.0550646179326904,0.000182083333333333,"0",0,"0","ThomasAM_2018a",0.0550646179326904,0.630660500165697,"Nodiff"
"Pseudomonas_unclassified",0.0550646179326904,0.000564166666666667,"0",0,"0","ThomasAM_2018a",0.0550646179326904,0.630660500165697,"Nodiff"
"Collinsella_aerofaciens",0.057549024218015,1.1087325,"0.3637",0.316501379310345,"0.10194","ThomasAM_2018a",0.057549024218015,0.630660500165697,"Nodiff"
"Pseudomonas_aeruginosa",0.0577462585408014,0.00153583333333333,"0",0.726486206896552,"0","ThomasAM_2018a",0.0577462585408014,0.630660500165697,"Nodiff"
"Odoribacter_splanchnicus",0.0585758961453826,0.271632916666667,"0",0.548149655172414,"0.36887","ThomasAM_2018a",0.0585758961453826,0.630660500165697,"Nodiff"
"Enterococcus_avium",0.0638826454687132,0,"0",0.01188,"0","ThomasAM_2018a",0.0638826454687132,0.630660500165697,"Nodiff"
"Gemella_morbillorum",0.0638826454687132,0,"0",0.00371793103448276,"0","ThomasAM_2018a",0.0638826454687132,0.630660500165697,"Nodiff"
