"Species","Pvalue","Ctlmean","Ctlmedian","CRCmean","CRCmedian","Study","pvalue","adj.fdr.p","Enrichment"
"Parvimonas_unclassified",9.49564907814904e-06,7.32142857142857e-05,"0",0.0529975,"0.00934","ThomasAM_2018b",9.49564907814904e-06,0.00284153072911836,"CRC"
"Gemella_morbillorum",2.08936083023409e-05,0,"0",0.050013125,"0.00054","ThomasAM_2018b",2.08936083023409e-05,0.00284153072911836,"CRC"
"Parvimonas_micra",2.08936083023409e-05,0,"0",0.01744,"0.00023","ThomasAM_2018b",2.08936083023409e-05,0.00284153072911836,"CRC"
"Peptostreptococcus_stomatis",0.000399875737742612,0.000233214285714286,"0",0.523570625,"0.00203","ThomasAM_2018b",0.000399875737742612,0.0407873252497464,"Nodiff"
"Solobacterium_moorei",0.00458538620139082,0.00332214285714286,"0.001025",0.074150625,"0.008625","ThomasAM_2018b",0.00458538620139082,0.322755673993152,"Nodiff"
"Anaerotruncus_unclassified",0.00474640697048753,0.00661142857142857,"0",0.0100675,"0.009705","ThomasAM_2018b",0.00474640697048753,0.322755673993152,"Nodiff"
"Peptostreptococcaceae_noname_unclassified",0.00981684157437585,0.0346742857142857,"0.005705",0.0687071875,"0.05303","ThomasAM_2018b",0.00981684157437585,0.572181623192192,"Nodiff"
"Streptococcus_constellatus",0.0120414564989214,0.000172142857142857,"0",0.0065534375,"0","ThomasAM_2018b",0.0120414564989214,0.614114281444991,"Nodiff"
"Odoribacter_splanchnicus",0.0139744786231671,0.262341785714286,"0.19374",0.4389815625,"0.391325","ThomasAM_2018b",0.0139744786231671,0.633509697583575,"Nodiff"
"Lactobacillus_crispatus",0.0174783721696394,0,"0",0.053254375,"0","ThomasAM_2018b",0.0174783721696394,0.68071705350072,"Nodiff"
"Fusobacterium_nucleatum",0.024411311133121,0.000126428571428571,"0",0.0126471875,"0","ThomasAM_2018b",0.024411311133121,0.68071705350072,"Nodiff"
"Actinomyces_viscosus",0.031541123626792,0.00178071428571429,"0",0.004599375,"0.000855","ThomasAM_2018b",0.031541123626792,0.68071705350072,"Nodiff"
"Alistipes_senegalensis",0.0326933024181465,0.00929428571428571,"0.00277",0.0311890625,"0.01377","ThomasAM_2018b",0.0326933024181465,0.68071705350072,"Nodiff"
