"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77"
"1","CCIS00146684ST.4.0","CCIS03473770ST.4.0","CRC_MR_SBJ79H_17","CCIS94417875ST.3.0","CCMD66848156ST.11.0","CCMD27867141ST.11.0","CCIS07539127ST.4.0","CCMD45004878ST.11.0","CRC_MR_SBJ16H_17","CCMD31009081ST.11.0","SID31700","DRR127649","SID530295","MMRS88581325ST.27.0.0","CCMD18579000ST.11.0","LILT_VF265_T016","CCMD49025643ST.11.0","CRC_MR_SBJ78H_17","SID31749","CRC_MR_SBJ34H_17","16.0193279796844","17.1598467736778","17.2345457009606","18.9950840623594","19.1587253482323","19.3654797436934","19.5958964250962","19.7557755800171","19.7849839860688","19.9180306565659","19.9370246823993","19.9600477999728","20.1645089093313","20.2463848917282","20.44720645646","20.9653170782319","20.9987613646829","21.2115381084729","21.4922861902102","CRC_MR_SBJ32C_17","SZAXPI017466.84","SID531128","CCIS55230578ST.4.0","CCIS41548810ST.4.0","CCIS11015875ST.4.0","MMRS96422329ST.27.0.0","DRR127485","SID531352","SZAXPI017462.33","MMRS14602194ST.27.0.0","SID531469","CRC_MR_SBJ47C_17","CCIS33816588ST.4.0","CCMD52145360ST.11.0","SID530890","CCMD46222674ST.21.0","CCIS71301801ST.4.0","CRC_MR_SBJ52C_17","14.9387842635169","18.025880953504","18.579112576781","18.6026099749041","19.2051050383615","19.9727468798511","20.2830844090266","21.0464042479612","21.0648001378698","21.3089528841917","21.3603815417539","21.6706911332841","21.7751522598902","21.8142926198719","22.0521147206339","22.2728818082371","22.3519556837383","22.6477635850298","22.6995006805612"
"2","CCIS00281083ST.3.0","SZAXPI015231.17","LILT_VF43_16","LILT_VF261_T016","LILT_VF82_T016","DRR127524","DRR127692","MMRS54246132ST.27.0.0","MMRS64281551ST.27.0.0","DRR127597","SZAXPI015245.33","DRR127535","DRR127762","DRR127737","CCMD30626189ST.11.0","DRR127613","MMRS35808664ST.27.0.0","CRC_MR_SBJ83H_17","CCMD50300306ST.11.0","CCMD31134579ST.11.0","11.5231106803979","13.4378526173567","14.9923901578467","15.7708262910635","19.075121251017","24.704792403048","24.9620926910806","25.5324437440641","27.5944203513844","28.1812737177917","30.4990830753844","31.8553388671161","34.546270569623","35.7625912902505","36.8498998751964","36.8903710167396","37.2246143203687","37.71543108655","38.6302849727814","DRR127666","SID531361","MMRS34525504ST.27.0.0","SZAXPI017467.87","CCMD48236717ST.21.0","SZAXPI015220.136","SID531248","SZAXPI017589.133","DRR127557","SZAXPI017468.88","CCIS84543192ST.4.0","SZAXPI003430.5","CRC_MR_SBJ49C_17","DRR127754","DRR127617","MMRS18295921ST.27.0.0","CCIS40244499ST.3.0","SZAXPI015226.14","DRR127594","12.6225313879388","13.6229543945981","13.8112281967065","15.5859400137111","20.0137338325611","20.013992850993","21.2367825687815","23.1718501091238","26.2318652601392","27.7056238237745","29.1926766761238","29.822964026644","31.8871844891925","32.2022942250626","32.6771112254281","32.7481945174448","38.6955888898476","38.7055875945786","41.4419059035899"
"3","CCIS02124300ST.4.0","MMRS95479054ST.27.0.0","CRC_MR_SBJ74H_17","SID31328","CCIS21126322ST.4.0","CCIS71578391ST.4.0","SZAXPI015271.93","SID532802","MMPU72854103ST","CCIS50471204ST.4.0","CRC_MR_SBJ73H_17","SZAXPI015227.13","CCIS45793747ST.4.0","CRC_MR_SBJ67H_17","SID530055","CCIS11354283ST.4.0","SID31219","SZAXPI015255.46","CRC_MR_SBJ65H_17","CCIS03473770ST.4.0","14.7733962944544","16.763194036248","17.0547103579129","17.2099926238131","18.0812397714703","18.218751029261","18.6651313689189","18.8098819254082","18.8578999503577","18.8835143846716","18.8978070634584","19.0209861647261","19.0281948689832","19.155764737256","19.1597941564386","19.4361164081331","19.55787116312","19.6699974632484","19.7243144274091","DRR127485","CCIS48725289ST.4.0","CRC_MR_SBJ36C_17","CCIS76845094ST.20.0","SID531416","CRC_MR_SBJ04C_17","SID531155","CCMD19497912ST.21.0","CCIS82146115ST.4.0","SID530890","CRC_MR_SBJ52C_17","CCMD49461418ST.11.0","CCIS47284573ST.4.0","SZAXPI017586.111","SZAXPI017458.25","SID531277","CCMD63399960ST.21.0","CCMD13934959ST.21.0","MMRS86958796ST.27.0.0","14.2690396075419","16.1228066874598","17.0748770736688","17.943114217415","18.247923861848","18.4085507420818","18.4421485746265","18.5121696124874","18.7952226628311","18.8294265473248","19.4755061135366","19.7638949134198","19.9081998342768","19.9804396127988","20.1104204194542","20.1282238364616","20.1535112622739","20.4050123910107","20.482957773537"
"4","CCIS02856720ST.4.0","CCIS11354283ST.4.0","CCIS50471204ST.4.0","SZAXPI015241.27","CCIS63910149ST.4.0","CRC_MR_SBJ80H_17","SID530331","CCIS45793747ST.4.0","CCIS32452666ST.4.0","CRC_MR_SBJ65H_17","CCIS71578391ST.4.0","CCIS41692898ST.4.0","CCIS50003399ST.4.0","SID532802","CCIS27304052ST.3.0","CCMD53508245ST.11.0","SZAXPI015255.46","CRC_MR_SBJ74H_17","CCIS88007743ST.4.0","CRC_MR_SBJ34H_17","13.772978399758","16.3582235574955","17.2492528181339","17.2595559866759","17.4330430340145","17.529140526606","18.0697722134619","18.2185148497785","18.505405702078","18.976562852511","19.0428086942709","19.4183540558746","19.5329214070425","19.6170330595098","20.1193939266271","20.1856382010949","20.5784633812634","20.7435574867162","21.0218182720953","SID530890","CRC_MR_SBJ55C_17","CCMD13934959ST.21.0","CCIS06260551ST.3.0","CRC_MR_SBJ02C_17","CCIS82146115ST.4.0","SZAXPI017456.23","CCIS41222843ST.4.0","CRC_MR_SBJ10C_17","CCIS55230578ST.4.0","CCIS76845094ST.20.0","SID531155","SID531416","SID31489","CRC_MR_SBJ52C_17","CRC_MR_SBJ25C_17","SID31685","CCMD98531134ST.11.0","CCIS53355328ST.4.0","16.7106726444569","18.0347373479987","18.2300120153224","18.3682658198971","18.7318925199511","19.5215951249149","19.7108462950985","19.9127001918298","19.9346798089711","20.0064602906086","20.0518146402738","20.1268633982173","20.2236577993918","20.4747380886301","20.6977012222831","20.8274742335719","20.9253887835639","21.0742862122374","21.1778393844226"
"5","CCIS03473770ST.4.0","CCMD18579000ST.11.0","SZAXPI015253.44","SZAXPI015227.13","CCIS94417875ST.3.0","DRR127649","CCIS00146684ST.4.0","CCMD45004878ST.11.0","SZAXPI015255.46","SID31328","CCIS71578391ST.4.0","CRC_MR_SBJ16H_17","SID31700","SID532802","CCIS07539127ST.4.0","MMRS95277876ST.27.0.0","CCMD85661207ST.11.0","CCMD66848156ST.11.0","CRC_MR_SBJ34H_17","CCIS21126322ST.4.0","12.3350485243026","14.3677608621559","15.1927710908445","15.3016905751619","15.3571953602114","16.0193279796844","16.0818738389405","16.2054479269936","16.2384389403354","16.6540527263036","17.1139082842786","17.200624363284","17.6005966877689","17.6859756116336","17.7003551055819","17.718392215647","17.7509986424145","18.0195356102592","18.1164227661478","CRC_MR_SBJ32C_17","CCIS55230578ST.4.0","DRR127485","CRC_MR_SBJ01C_17","CCIS11015875ST.4.0","MMRS14602194ST.27.0.0","CCMD13934959ST.21.0","SZAXPI017462.33","CCMD52145360ST.11.0","SID531155","MMRS96422329ST.27.0.0","CCIS41548810ST.4.0","SID530890","CCMD63399960ST.21.0","SID531128","CCMD72895164ST.21.0","CRC_MR_SBJ02C_17","CCMD46222674ST.21.0","SID531277","14.1244466241124","15.2102016740509","15.5201817488359","15.7807067884236","16.2190266034032","16.4424946267712","16.4695946211192","16.5653617809814","16.5784894261962","17.024274610711","17.0929027958565","17.2457216024497","17.4576170941397","17.4954985290188","17.5566764944223","17.6918248706373","17.9455177942739","18.0565043258572","18.1306950032314"
"6","CCIS03857607ST.4.0","CCIS45571137ST.3.0","MMRS62666492ST.27.0.0","MMRS39582183ST.27.0.0","CCIS95409808ST.4.0","CCIS21126322ST.4.0","MMRS95479054ST.27.0.0","CRC_MR_SBJ21H_17","CCMD76409700ST.11.0","CCIS94603952ST.4.0","SZAXPI015258.57","SZAXPI015264.87","SID31750","CCMD29706695ST.11.0","CCIS32452666ST.4.0","CRC_MR_SBJ16H_17","SZAXPI015270.90","CCMD56948710ST.11.0","CCMD53522274ST.11.0","MMRS94549160ST.27.0.0","20.4025872706159","23.875755069547","24.3000531097424","25.06008705852","25.2391148548815","25.2959604065195","25.3536376768483","25.7349023829546","26.3185788982631","27.0998944075987","27.3596031324287","27.515603564485","27.5456477966212","27.6709966114359","28.067408774495","28.1801310124261","28.4074057267467","28.508968930142","28.6268567734427","CRC_MR_SBJ12C_17","CRC_MR_SBJ53C_17","SZAXPI017594.166","CCMD79349503ST.11.0","CRC_MR_SBJ33C_17","MMRS90191266ST.27.0.0","CCMD26925580ST.21.0","MMRS44587603ST.27.0.0","MMRS65205033ST.27.0.0","CCIS77252613ST.4.0","CCIS98512455ST.4.0","SID31875","LILT_VF29_16","CCMD82866709ST.21.0","MMRS85382779ST.27.0.0","CCIS53043478ST.4.0","MMRS93508324ST.27.0.0","CRC_MR_SBJ40C_17","SZAXPI017454.20","19.4968653664121","20.4274984251058","21.755420557445","22.3735186841274","22.4697514459439","22.7864307646634","24.1649131429414","25.5367699066503","25.5433364273894","26.1945753825176","26.5114437649895","26.8712221099525","27.1732416854357","27.1812556884869","27.5520696608404","27.7805856159279","27.8816557371222","28.3025790962361","28.3411854801965"
"7","CCIS05314658ST.4.0","CRC_MR_SBJ45H_17","CCIS41692898ST.4.0","SID530055","SID31328","CCIS45793747ST.4.0","CCIS88007743ST.4.0","CRC_MR_SBJ74H_17","CRC_MR_SBJ16H_17","SID531414","CRC_MR_SBJ84H_17","CCIS50471204ST.4.0","SID31071","CCIS50003399ST.4.0","CCIS71578391ST.4.0","MMRS88581325ST.27.0.0","CRC_MR_SBJ73H_17","CCIS11354283ST.4.0","SID31021","CCIS11362406ST.4.0","15.8607408558932","15.8937341577428","18.1763686413926","18.1787666765488","18.2989779615912","18.7273033588261","19.0495656258404","19.0642982856674","19.315862846821","19.3288019998111","19.4838848136248","19.4861697293029","19.5470668481616","19.6598759903439","19.8453175764713","19.8682062782628","19.9134400871472","20.0088509725146","20.2785568960466","CRC_MR_SBJ06C_17","MMRS86958796ST.27.0.0","CCIS47284573ST.4.0","CCMD63399960ST.21.0","CRC_MR_SBJ04C_17","SID530890","SID531416","CCIS11015875ST.4.0","SID531277","MMRS93508324ST.27.0.0","SID31004","MMRS16644320ST.27.0.0","CRC_MR_SBJ52C_17","CCIS48725289ST.4.0","CCIS53043478ST.4.0","CCIS52370277ST.4.0","SZAXPI017458.25","SZAXPI015218.16","SZAXPI017588.123","17.4519386174345","17.48259120336","17.9052886311056","18.1814069482507","18.1852281192648","18.2395243086655","18.8495612763136","18.8637643027074","19.0920846378283","19.5154762988685","19.6047292630375","19.6237953647097","19.6242346908637","19.6349333582648","20.1947273426358","20.2204438991779","20.4499057295553","20.5292953668873","20.6320594075822"
"8","CCIS07539127ST.4.0","CCIS94417875ST.3.0","CRC_MR_SBJ16H_17","DRR127649","LILT_VF265_T016","CCIS03473770ST.4.0","CCMD31009081ST.11.0","MMRS88581325ST.27.0.0","MMRS95277876ST.27.0.0","CRC_MR_SBJ18H_17","SZAXPI015251.41","CRC_MR_SBJ78H_17","MMRS11932626ST.27.0.0","CCIS00146684ST.4.0","CCMD59540613ST.11.0","SZAXPI015268.109","CCMD66848156ST.11.0","SZAXPI015271.93","SZAXPI015253.44","CCIS07648107ST.4.0","16.18196757574","16.8099076981701","17.0736319481298","17.3447557406641","17.6859756116336","18.1756040585066","18.2523977087258","18.286475907167","18.2981592960877","18.3727763904615","19.069340274139","19.3387570696206","19.3654797436934","19.4622120769891","19.6948656628193","19.7886184742973","19.8471426172031","20.0231022266781","20.0771867486458","CRC_MR_SBJ32C_17","CCIS50148151ST.4.0","CCIS41548810ST.4.0","CCIS91228662ST.4.0","CCIS53043478ST.4.0","CCMD63399960ST.21.0","SZAXPI015218.16","CCIS62794166ST.4.0","LILT_VF270_T017","CCIS52370277ST.4.0","CCMD50071957ST.21.0","MMRS14602194ST.27.0.0","CCIS55230578ST.4.0","MMRS55294627ST.27.0.0","CCMD46222674ST.21.0","SZAXPI017466.84","SZAXPI017454.20","SID531128","DRR127515","15.9065362812807","16.2374049373507","16.3182022579296","16.7901701939587","17.1135700453675","17.3295456543269","17.8365945481305","17.9469704847086","18.2433351436764","18.3166585803716","18.339635165796","18.5230909913788","18.6206012297616","18.6603807782585","18.7572783092164","18.7773973042938","18.8461776934184","18.9910285836155","19.2822193524112"
"9","CCIS07648107ST.4.0","CCIS07539127ST.4.0","CCMD54057834ST.11.0","CRC_MR_SBJ18H_17","CRC_MR_SBJ84H_17","CCIS05314658ST.4.0","CRC_MR_SBJ16H_17","CCMD35801800ST.11.0","CCIS48174381ST.4.0","MMRS11932626ST.27.0.0","MMRS93621581ST.27.0.0","SZAXPI015251.41","SID531414","CCIS45793747ST.4.0","CRC_MR_SBJ45H_17","SZAXPI015271.93","DRR127634","CCMD59540613ST.11.0","MMRS68630931ST.27.0.0","CRC_MR_SBJ78H_17","20.0771867486458","21.2257652102957","21.5671324641687","22.1262225403253","22.1339319516642","22.1606882044624","22.2284546585789","22.3267668249436","22.5275289342174","22.547833711552","22.7328814147195","23.0880104962619","23.4152671824453","23.5414457913421","23.5511512824575","23.628127733405","23.6934417118598","23.711463439246","23.8130801831031","CCMD63399960ST.21.0","CCIS62794166ST.4.0","MMRS62376181ST.27.0.0","CRC_MR_SBJ26C_17","CCMD50071957ST.21.0","DRR162777","CCIS53043478ST.4.0","CCIS91228662ST.4.0","MMRS12272136ST.27.0.0","SZAXPI015218.16","SZAXPI017454.20","CRC_MR_SBJ11C_17","MMRS14602194ST.27.0.0","SID31004","CCMD74930188ST.21.0","MMRS93508324ST.27.0.0","DRR127514","DRR127517","CCIS52370277ST.4.0","17.3221172976458","19.9422836375827","20.0808222548455","20.4702831988861","20.8382060092682","21.2418173894891","21.5584613780831","21.6247327281033","21.6610914292609","21.7876285745604","21.8600840234364","22.1129064732409","22.379598289699","22.5473039889495","22.5658477784594","22.8341087926593","22.836264752159","22.9430535604418","23.0636449380947"
"10","CCIS09568613ST.4.0","SZAXPI015244.32","CCMD85481373ST.11.0","CCMD15562448ST.11.0","CCIS11362406ST.4.0","CCIS36699628ST.4.0","CCIS79210440ST.3.0","CRC_MR_SBJ24H_17","CCIS88007743ST.4.0","CCMD25475945ST.11.0","SZAXPI015251.41","SZAXPI015253.44","SZAXPI015260.74","SID31637","SID31700","CCMD54057834ST.11.0","SID530315","MMRS88581325ST.27.0.0","CCIS03473770ST.4.0","CCIS88317640ST.4.0","18.4717678634315","18.7798609050387","20.8149270719693","21.5962314992964","22.5699019923592","22.6168446997896","23.9425599063321","24.0232422265043","24.1717987626283","24.4481792313334","25.3162316549541","25.4440047535603","25.8005044816356","25.961585229947","26.1537642052937","26.5825768973627","27.5842233228416","27.6464753747743","27.9194181408675","SID31876","SZAXPI003426.11","CRC_MR_SBJ61C_17","CCIS61287323ST.4.0","DRR127476","CCIS06260551ST.3.0","MMRS41711735ST.27.0.0","SID31868","CCIS62794166ST.4.0","LILT_VF234_T017","SID31446","CCMD74930188ST.21.0","SZAXPI017595.169","SZAXPI017588.123","CCMD63399960ST.21.0","CCIS11015875ST.4.0","CRC_MR_SBJ06C_17","SZAXPI017454.20","CCIS98512455ST.4.0","17.0342989878421","17.1972346296519","20.146724793199","20.2535643919657","21.8595738646068","22.079860070784","23.0723196921549","23.2839300323635","23.6734085453468","24.2353155956509","24.348617906984","24.4138378484273","24.4874972474077","25.0931077340771","25.5061052287389","26.0022218645926","26.2416786666535","26.2517745970668","26.4125892472529"
