"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25"
"1","DRR127488","DRR127649","DRR127588","DRR127616","DRR127628","DRR127763","DRR127777","26.8767887360265","29.2704213889038","29.9081666153644","30.2545305316824","30.5133221844541","31.2020350040458","DRR127517","DRR127491","DRR127485","DRR127559","DRR162778","DRR127603","23.3362963213638","23.9707793104125","27.2018904408131","27.5282836545052","28.4547983784598","31.590455831629"
"2","DRR127532","DRR127628","DRR127707","DRR127588","DRR127756","DRR127704","DRR127634","33.3913322946495","34.1014128068047","35.3803342225593","35.3999022750035","35.6495245361716","36.6552758932695","DRR127536","DRR127478","DRR127476","DRR162779","DRR127514","DRR162777","25.9382629497871","27.1161558114125","27.8787105364918","29.2846799621048","29.358457798224","30.9431314643202"
"3","DRR127535","DRR127597","DRR127692","DRR127737","DRR127762","DRR127524","DRR127613","17.4723160194663","20.1809925199654","20.9326359378268","21.7648991122817","24.3319979694887","26.1307428138696","DRR127594","DRR127617","DRR127557","DRR127754","DRR127666","DRR127603","17.5378780646748","18.4568644048982","19.7566019444463","20.8266772305066","27.6817581915582","32.4919751809074"
"4","DRR127537","DRR127751","DRR127707","DRR127777","DRR127756","DRR127619","DRR127649","26.8439957220959","31.1237277648726","31.6447033158331","33.50135600615","33.7905082280838","33.8114996415924","DRR127514","DRR162777","DRR127579","DRR127536","DRR127521","DRR127509","27.9928565771037","30.4203850310906","31.1250983811297","31.2314233767067","32.3737100679595","32.5096711233473"
"5","DRR127546","DRR127736","DRR127755","DRR127634","DRR127713","DRR127616","DRR127649","26.1650866084712","29.044222168755","29.9058556961442","30.8244544396831","31.9595518628265","32.0286347847376","DRR127509","DRR127580","DRR127774","DRR127559","DRR127521","DRR127485","23.8576505181944","24.3610719450787","28.2240574060977","28.4457707290451","29.0327776218776","30.5004075055318"
"6","DRR127552","DRR127707","DRR127619","DRR127713","DRR127777","DRR127537","DRR127649","23.35533132744","30.0548334313667","31.7382245217151","33.5604754006659","35.1134086447357","35.1596995941888","DRR127507","DRR127536","DRR162779","DRR127509","DRR127514","DRR127559","30.2069570528099","31.0799043586929","31.4929593151565","32.3544984615277","32.6811322964964","34.5308887010818"
"7","DRR127588","DRR127704","DRR127583","DRR127628","DRR127649","DRR127763","DRR127488","20.7543895273337","24.9282653685851","26.5896013986163","26.5904002804396","27.4692501708638","29.2704213889038","DRR127517","DRR162777","DRR127559","DRR127485","DRR127515","DRR127478","23.8999150346753","25.6111405544775","26.9800555006638","27.1262800355928","30.5265943266081","30.5579966769944"
"8","DRR127596","DRR127756","DRR127628","DRR127488","DRR127777","DRR127537","DRR127649","21.9690947242575","32.5780893688519","33.1548821983068","34.94749187875","37.4417656418257","38.3338844655274","DRR127685","DRR127517","DRR162778","DRR127507","DRR127514","DRR127476","27.7991897465304","32.7569281695567","33.3425442571349","33.4522275241709","35.6260544913508","36.5948379698271"
"9","DRR127616","DRR127777","DRR127634","DRR127649","DRR127731","DRR127488","DRR127628","22.2597596716429","25.2540921297975","27.6368815445774","28.7374089381698","29.9081666153644","30.5786868333567","DRR127517","DRR127559","DRR162778","DRR127514","DRR127485","DRR127767","25.435645656466","27.0495048305306","27.1711322605187","27.7373201216249","28.1185988218617","30.2526483440822"
"10","DRR127619","DRR127707","DRR127552","DRR127537","DRR127724","DRR127721","DRR127704","26.9387464647949","30.0548334313667","33.7905082280838","35.9347138506445","38.5935145531616","39.0720269800979","DRR127509","DRR162779","DRR127647","DRR127536","DRR127514","DRR127476","31.8659862927636","32.2397306005385","33.3836806374806","33.7366597812661","33.9738480151704","34.5883394307605"
"11","DRR127628","DRR127649","DRR127777","DRR127731","DRR127756","DRR127583","DRR127588","22.1919361785695","24.7612114046425","25.0758429481623","25.5914546162757","26.4909866570519","26.5896013986163","DRR127517","DRR162778","DRR162777","DRR127485","DRR127507","DRR127536","20.7575647348623","21.6988166368099","22.1593917359863","23.5720075635085","23.6613480910915","23.8978085737375"
"12","DRR127634","DRR127616","DRR127777","DRR127649","DRR127731","DRR127546","DRR127736","25.2540921297975","25.3067974364122","27.8879554330987","29.2402407409703","29.9058556961442","30.2272533850001","DRR127517","DRR127514","DRR162777","DRR127509","DRR127774","DRR127515","26.5886146877493","27.0038826248634","27.4354472895468","27.7270648546416","27.780509644679","27.8071537138377"
"13","DRR127649","DRR127628","DRR127777","DRR127731","DRR127588","DRR127488","DRR127616","22.1919361785695","24.6805371380142","25.1257114928871","26.5904002804396","26.8767887360265","27.6368815445774","DRR127485","DRR127517","DRR127708","DRR162778","DRR127515","DRR127536","18.555513611501","19.006458364264","21.4928430212292","21.751979627073","22.1546198855747","23.3316970325199"
"14","DRR127704","DRR127583","DRR127588","DRR162776","DRR127763","DRR127731","DRR127628","18.5483697616502","20.7543895273337","23.7361574083991","23.7610032507636","26.6696915792047","27.1270987125752","DRR127559","DRR127674","DRR127580","DRR162777","DRR127517","DRR127521","25.6486188482967","25.9359951865087","26.0247149163963","26.1886195516278","26.8798398702522","28.2209534530852"
"15","DRR127707","DRR127552","DRR127724","DRR127619","DRR127713","DRR127649","DRR127537","23.35533132744","25.003603727311","26.9387464647949","29.8365826622202","30.8351414873015","31.1237277648726","DRR162779","DRR127536","DRR127509","DRR127514","DRR127708","DRR127559","22.6268924401651","25.3980833580686","25.9876903864907","28.5837211976362","29.3618661179854","29.8250302023586"
"16","DRR127713","DRR127724","DRR127707","DRR127546","DRR127628","DRR127731","DRR127552","29.2225756968769","29.8365826622202","30.8244544396831","31.0527212821018","31.2369983415724","31.7382245217151","DRR127507","DRR127559","DRR127580","DRR127536","DRR127514","DRR162777","27.1712048625691","29.0741541610569","29.8871765112866","30.6662297884024","30.9668549642081","31.7071986874432"
