"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31"
"1","CCMD10032470ST.11.0","CCMD93755960ST.11.0","CCMD51154251ST.11.0","CCMD85661207ST.11.0","CCMD35081859ST.11.0","CCMD74592084ST.11.0","MMPU72854103ST","MMPU99077057ST","CCMD99929634ST.11.0","13.2287816702862","17.6523895824475","19.4522769832454","19.7821548590542","20.6290539774489","20.6344351131428","21.4988412443787","21.5228607861641","CCMD49461418ST.11.0","CCMD59583015ST.11.0","CCMD93344354ST.21.0","CCMD95433940ST.21.0","CCMD86707194ST.21.0","CCMD95431029ST.11.0","CCMD63399960ST.21.0","18.8928108715141","19.2912914826172","19.9212526625486","20.4122781729184","21.7442207167652","23.0956319420816","23.1799678563647"
"2","CCMD10191450ST.11.0","CCMD35081859ST.11.0","CCMD50538120ST.11.0","CCMD50529145ST.11.0","CCMD51154251ST.11.0","CCMD89107682ST.11.0","MMPU99077057ST","CCMD41521570ST.11.0","CCMD93755960ST.11.0","16.3669834896355","17.0540506517748","21.2213559061479","23.4260013324831","27.7831155287074","28.5165872474179","29.3809533097345","29.452341552588","CCMD89306485ST.11.0","CCMD76222476ST.11.0","CCMD95431029ST.11.0","CCMD49461418ST.11.0","CCMD34381688ST.21.0","CCMD46222674ST.21.0","CCMD26925580ST.21.0","14.7443953938776","21.0009965604016","23.9769466395306","29.2905352411696","31.513766512802","33.569418489889","34.3876444189218"
"3","CCMD15562448ST.11.0","CCMD85481373ST.11.0","CCMD25475945ST.11.0","CCMD32288175ST.11.0","CCMD85661207ST.11.0","CCMD18579000ST.11.0","CCMD54057834ST.11.0","CCMD59540613ST.11.0","MMPU99077057ST","14.6440511298001","21.4609120960457","31.060553432138","32.3361696679384","32.6131585735191","32.8243244751983","33.0927960812591","33.1230880233984","CCMD74930188ST.21.0","CCMD63399960ST.21.0","CCMD50071957ST.21.0","CCMD95433940ST.21.0","CCMD82866709ST.21.0","CCMD49461418ST.11.0","CCMD86707194ST.21.0","27.4821778157354","29.1932399169585","31.5032580914768","32.6234216191803","33.4668384281485","33.7422083357536","33.8277530070769"
"4","CCMD18579000ST.11.0","CCMD85661207ST.11.0","CCMD45004878ST.11.0","CCMD73128545ST.11.0","CCMD66848156ST.11.0","MMPU99077057ST","CCMD39157124ST.11.0","CCMD31009081ST.11.0","CCMD89967135ST.11.0","16.3783433016835","16.6494510036788","18.2932853258183","18.5385751664549","19.0155301433723","19.1332539505229","19.2539525577841","20.4593420024228","CCMD52145360ST.11.0","CCMD72895164ST.21.0","CCMD13934959ST.21.0","CCMD82866709ST.21.0","CCMD46222674ST.21.0","CCMD95433940ST.21.0","CCMD63399960ST.21.0","16.4848890656443","16.5920549544232","16.9706644344734","17.1165580240333","18.0503445412269","19.4538876421424","19.6263166351458"
"5","CCMD22852639ST.11.0","CCMD27867141ST.11.0","MMPU68403337ST","CCMD31009081ST.11.0","CCMD89967135ST.11.0","CCMD66848156ST.11.0","CCMD18579000ST.11.0","CCMD49025643ST.11.0","MMPU84450604ST","23.2270968756881","23.2362583621568","23.2548948046126","23.8999846662273","23.9291238893007","24.0893941991242","24.3509185820001","24.5080912803711","CCMD50071957ST.21.0","CCMD46222674ST.21.0","CCMD90311071ST.21.0","CCMD95676152ST.11.0","CCMD82866709ST.21.0","CCMD35802077ST.21.0","CCMD63399960ST.21.0","22.1954465300228","23.5560979687553","23.9089249333465","23.9280900970428","24.360584914355","24.8136865358032","24.8603904144082"
"6","CCMD23541216ST.11.0","CCMD32965613ST.11.0","CCMD39882286ST.11.0","CCMD56948710ST.11.0","CCMD54057834ST.11.0","CCMD89967135ST.11.0","CCMD18579000ST.11.0","CCMD59540613ST.11.0","CCMD22852639ST.11.0","24.8331572240563","27.7761210837763","34.6752407384059","35.4757295645178","36.3212029367076","36.7356728013467","37.9985967638214","38.6761930651221","CCMD23101338ST.21.0","CCMD87156761ST.21.0","CCMD82866709ST.21.0","CCMD63399960ST.21.0","CCMD72895164ST.21.0","CCMD64503764ST.21.0","CCMD50071957ST.21.0","17.8604737629521","22.5746332843592","35.4160263283206","35.9881643789316","36.8055382808022","36.9467161226719","37.5221269862397"
"7","CCMD25475945ST.11.0","CCMD15562448ST.11.0","CCMD85481373ST.11.0","MMPU72854103ST","CCMD32288175ST.11.0","CCMD18579000ST.11.0","CCMD18829815ST.11.0","CCMD45812507ST.11.0","CCMD53508245ST.11.0","21.4609120960457","23.3171959211008","28.0191996789862","28.4374532707854","28.7277290982337","29.0996149416569","29.4833456321633","29.764205693712","CCMD13934959ST.21.0","CCMD63399960ST.21.0","CCMD95433940ST.21.0","CCMD25963797ST.21.0","CCMD74930188ST.21.0","CCMD59583015ST.11.0","CCMD13071240ST.21.0","24.5869383880466","28.359434508567","29.0041165241729","29.6968030683288","29.7093850377133","30.1086368830955","30.4853866507955"
"8","CCMD26625622ST.11.0","CCMD35801800ST.11.0","CCMD38158721ST.11.0","CCMD46727384ST.11.0","CCMD85661207ST.11.0","MMPU72854103ST","CCMD18829815ST.11.0","CCMD18579000ST.11.0","CCMD59540613ST.11.0","22.1730394205508","26.080442988015","27.3664992826192","29.0324519814121","30.9748493799534","31.385992549142","32.1356811758986","32.5824009700498","CCMD93344354ST.21.0","CCMD95433940ST.21.0","CCMD63399960ST.21.0","CCMD26709089ST.21.0","CCMD13071240ST.21.0","CCMD74930188ST.21.0","CCMD13934959ST.21.0","23.9024736008891","28.1224761333973","28.1887491972986","29.8455588757389","30.7864037734549","31.2025111533992","31.3439035491003"
"9","CCMD27867141ST.11.0","CCMD66848156ST.11.0","CCMD45004878ST.11.0","CCMD49025643ST.11.0","CCMD31009081ST.11.0","CCMD18579000ST.11.0","CCMD22852639ST.11.0","CCMD89967135ST.11.0","CCMD73128545ST.11.0","16.9818327442505","17.2841464468078","20.611902188784","21.1767692710763","22.3515448956263","23.2270968756881","23.2957545063494","23.4718747617356","CCMD42428553ST.21.0","CCMD45988061ST.21.0","CCMD65222621ST.11.0","CCMD27463710ST.11.0","CCMD52145360ST.11.0","CCMD86114146ST.21.0","CCMD46947453ST.21.0","17.1879148744023","17.4916521982487","19.7721630030961","20.1739878731598","21.7412425306007","22.0196324091889","23.0268870664795"
"10","CCMD29706695ST.11.0","CCMD41202658ST.11.0","CCMD31009081ST.11.0","CCMD53522274ST.11.0","CCMD54057834ST.11.0","CCMD89643949ST.11.0","CCMD68973846ST.11.0","CCMD31134579ST.11.0","CCMD50300306ST.11.0","20.2877297046096","22.2202342372645","23.9240849615424","26.0030031765044","26.014664268737","27.8242528600123","27.9190519222054","28.3915971296333","CCMD19497912ST.21.0","CCMD63399960ST.21.0","CCMD50071957ST.21.0","CCMD82866709ST.21.0","CCMD46222674ST.21.0","CCMD49461418ST.11.0","CCMD35802077ST.21.0","26.0267464113976","26.9950492634798","27.9252295005645","28.2958527869616","28.394267432017","28.840130533699","29.7645102718489"
"11","CCMD32288175ST.11.0","CCMD38158721ST.11.0","CCMD56948710ST.11.0","CCMD18829815ST.11.0","CCMD93755960ST.11.0","CCMD53508245ST.11.0","CCMD18579000ST.11.0","CCMD37575804ST.11.0","CCMD59540613ST.11.0","16.9926230849713","18.47997324142","19.9964495277237","23.1110549893768","23.997712738982","25.5140917142273","26.0970247400503","27.1109870007659","CCMD72895164ST.21.0","CCMD35802077ST.21.0","CCMD12232071ST.21.0","CCMD95433940ST.21.0","CCMD52145360ST.11.0","CCMD52117727ST.11.0","CCMD46222674ST.21.0","20.3035188203818","20.5415451011481","24.4001760688053","25.7374779112115","25.8804116667915","25.9036549132299","26.0819102868482"
"12","CCMD32965613ST.11.0","CCMD39882286ST.11.0","CCMD23541216ST.11.0","CCMD56948710ST.11.0","CCMD59540613ST.11.0","CCMD89967135ST.11.0","CCMD18579000ST.11.0","CCMD54057834ST.11.0","MMPU99077057ST","22.7514867265482","24.8331572240563","27.1228610491574","27.5649250553888","29.7228022249417","29.7892029031779","29.9479409817119","29.9540388707466","CCMD87156761ST.21.0","CCMD23101338ST.21.0","CCMD50071957ST.21.0","CCMD63399960ST.21.0","CCMD46222674ST.21.0","CCMD52145360ST.11.0","CCMD49461418ST.11.0","20.9311897368401","22.1081480262685","26.5662902944615","27.2101277273095","29.0534178132952","29.583113256963","29.8790417974037"
"13","CCMD35081859ST.11.0","CCMD51154251ST.11.0","CCMD50529145ST.11.0","CCMD10191450ST.11.0","CCMD93755960ST.11.0","MMPU99077057ST","CCMD10032470ST.11.0","CCMD50538120ST.11.0","CCMD99440714ST.11.0","14.3413660151709","14.5054506508829","16.3669834896355","18.7620278715202","19.3124267222066","19.7821548590542","21.9233931586582","22.0871333258144","CCMD95431029ST.11.0","CCMD76222476ST.11.0","CCMD89306485ST.11.0","CCMD49461418ST.11.0","CCMD34381688ST.21.0","CCMD93344354ST.21.0","CCMD86707194ST.21.0","15.6080020935641","16.2363051848134","19.1303981333113","20.1273032616046","23.6999397836155","26.2771453570227","26.3422883465465"
"14","CCMD35801800ST.11.0","CCMD85661207ST.11.0","CCMD26625622ST.11.0","CCMD18579000ST.11.0","CCMD46727384ST.11.0","CCMD73128545ST.11.0","CCMD38158721ST.11.0","CCMD59540613ST.11.0","CCMD54057834ST.11.0","19.4321318956336","22.1730394205508","22.8938044239244","22.9150953234871","23.6644896735953","24.0297595787349","25.2330515436124","25.4324271365377","CCMD63399960ST.21.0","CCMD95433940ST.21.0","CCMD74930188ST.21.0","CCMD90311071ST.21.0","CCMD72895164ST.21.0","CCMD93344354ST.21.0","CCMD13934959ST.21.0","17.0501092206912","20.271845258777","21.5241266167085","23.3529233254747","23.4625600300841","23.5160145660463","24.3996319790361"
"15","CCMD37575804ST.11.0","CCMD53508245ST.11.0","CCMD89107682ST.11.0","CCMD56948710ST.11.0","CCMD41521570ST.11.0","CCMD18829815ST.11.0","CCMD85661207ST.11.0","CCMD93755960ST.11.0","CCMD38158721ST.11.0","19.3507655770696","20.5352728004768","20.7874635956915","21.8971684953443","23.1495677264911","23.834956890219","24.1465900086534","24.3977702020799","CCMD35802077ST.21.0","CCMD46222674ST.21.0","CCMD63399960ST.21.0","CCMD49461418ST.11.0","CCMD98531134ST.11.0","CCMD52145360ST.11.0","CCMD13934959ST.21.0","19.7912448235552","21.3157971240486","23.9321944002885","24.2915125170645","24.3510646680797","24.489264977116","25.2589231036618"
"16","CCMD38158721ST.11.0","CCMD18829815ST.11.0","CCMD32288175ST.11.0","CCMD93755960ST.11.0","CCMD56948710ST.11.0","CCMD85661207ST.11.0","CCMD18579000ST.11.0","MMPU72854103ST","CCMD10032470ST.11.0","15.9197195758499","16.9926230849713","19.2097825587772","19.6941479856251","22.4204378667478","22.4369401892883","22.6421712810963","23.1816517361166","CCMD72895164ST.21.0","CCMD95433940ST.21.0","CCMD93344354ST.21.0","CCMD49461418ST.11.0","CCMD13934959ST.21.0","CCMD35802077ST.21.0","CCMD52145360ST.11.0","20.3935709224476","21.2528153483533","21.3036329137098","22.9608505026099","23.6350228689248","23.8523543136228","24.9356855866627"
"17","CCMD39157124ST.11.0","CCMD99929634ST.11.0","CCMD85661207ST.11.0","CCMD18579000ST.11.0","CCMD76409700ST.11.0","MMPU72854103ST","CCMD98702133ST.11.0","CCMD93755960ST.11.0","CCMD73128545ST.11.0","15.2537692743433","19.1234999305932","19.1332539505229","20.7711872696194","23.1517598462234","23.864305041924","24.2546599967223","24.6015879555934","CCMD59583015ST.11.0","CCMD13934959ST.21.0","CCMD72895164ST.21.0","CCMD95433940ST.21.0","CCMD51864103ST.21.0","CCMD18872694ST.21.0","CCMD82866709ST.21.0","22.5022449121949","22.6871499722266","23.0278488505939","24.6099241132942","24.6372440802294","26.1871221220908","26.2899147937703"
"18","CCMD39882286ST.11.0","CCMD32965613ST.11.0","CCMD23541216ST.11.0","CCMD50529145ST.11.0","MMPU99077057ST","CCMD89107682ST.11.0","CCMD56948710ST.11.0","CCMD18579000ST.11.0","CCMD41521570ST.11.0","22.7514867265482","27.7761210837763","32.0174787501468","32.3325989613439","33.0177668712861","33.042600978104","33.6683863023014","33.6834327682096","CCMD23101338ST.21.0","CCMD87156761ST.21.0","CCMD76222476ST.11.0","CCMD49461418ST.11.0","CCMD52145360ST.11.0","CCMD46222674ST.21.0","CCMD63399960ST.21.0","22.5174412815066","27.1683451142115","31.8824524977377","32.1941122103639","32.5542515417603","32.7056441830795","33.7061233985636"
"19","CCMD41521570ST.11.0","MMPU84450604ST","MMPU99077057ST","CCMD85661207ST.11.0","CCMD89107682ST.11.0","CCMD37575804ST.11.0","MMPU29365221ST","CCMD99440714ST.11.0","CCMD18579000ST.11.0","20.2668917088462","21.1495991157185","21.5253435658876","21.6888802556126","21.8971684953443","23.0595852042204","23.1263041679102","23.4064325725707","CCMD86707194ST.21.0","CCMD46222674ST.21.0","CCMD63399960ST.21.0","CCMD49461418ST.11.0","CCMD95433940ST.21.0","CCMD76222476ST.11.0","CCMD35802077ST.21.0","20.7828546625385","21.3400741404874","21.4921262318017","22.2347739161117","23.0683012533953","23.8681255829024","24.896728335454"
"20","CCMD45004878ST.11.0","CCMD73128545ST.11.0","CCMD18579000ST.11.0","CCMD27867141ST.11.0","CCMD31009081ST.11.0","CCMD66848156ST.11.0","CCMD85661207ST.11.0","CCMD68973846ST.11.0","CCMD49025643ST.11.0","15.6075430133606","16.6494510036788","17.2841464468078","19.3612221179682","19.6346970643858","21.2046830757005","22.602457139048","23.2400566306604","CCMD45988061ST.21.0","CCMD13934959ST.21.0","CCMD42428553ST.21.0","CCMD72895164ST.21.0","CCMD46222674ST.21.0","CCMD46947453ST.21.0","CCMD86114146ST.21.0","17.9522228345907","20.2711252541589","20.4130815827204","21.5305506039418","21.5765621667795","21.7034166609615","21.7227585702346"
