"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19"
"1","LILT_GF06_16","LILT_VF06_16","LILT_VF28_T016","LILT_VF10_T016","LILT_VF265_T016","32.2072662363604","33.9068157014633","35.4388070806693","39.8493618915523","LILT_VF192_T017","LILT_VF234_T017","LILT_VF29_16","LILT_VF65_16","LILT_VF270_T017","33.0468287149675","35.0869508250247","35.6869882865912","37.5335783324945","37.9839017587491"
"2","LILT_VF06_16","LILT_VF28_T016","LILT_VF10_T016","LILT_VF31_16","LILT_GF06_16","25.6809211122576","30.3515639441545","31.9104404568442","32.2072662363604","LILT_VF192_T017","LILT_VF29_16","LILT_VF100_T016","LILT_VF120_16","LILT_VF65_16","26.5357750418336","28.2450495750335","32.0375571414379","32.4986471375841","33.1206641796311"
"3","LILT_VF10_T016","LILT_VF06_16","LILT_VF28_T016","LILT_GF06_16","LILT_VF31_16","30.3515639441545","32.0153735320377","35.4388070806693","41.0919974951486","LILT_VF192_T017","LILT_VF29_16","LILT_VF77_16","LILT_VF73_16","LILT_VF65_16","33.5911753311774","35.438854251186","40.7188247731943","41.2987246929285","42.3373732257588"
"4","LILT_VF170_T016","LILT_VF84_16","LILT_VF28_T016","LILT_VF265_T016","LILT_VF40_16","31.1274778082838","39.2771715873114","39.4535052158031","39.9202789525912","LILT_VF176_T017","LILT_VF192_T017","LILT_VF100_T016","LILT_VF65_16","LILT_VF270_T017","30.5237809891845","35.5067149644416","38.8336508940094","38.9126006159316","39.2031101213335"
"5","LILT_VF18_T016","LILT_VF40_16","LILT_VF265_T016","LILT_VF259_T016","LILT_VF189_T016","30.7365729431341","34.4385246056433","35.7617636426268","36.178686732991","LILT_VF100_T016","LILT_VF251_T017","LILT_VF264_T017","LILT_VF207_T017","LILT_GF15_16","26.2147489623551","27.9657174276416","29.9017415417029","30.2646765362774","30.4682415113885"
"6","LILT_VF189_T016","LILT_VF263_T016","LILT_VF212_T016","LILT_VF40_16","LILT_VF262_T016","22.0151148595346","22.2721904008542","22.6485724074101","23.8798587662762","LILT_VF120_16","LILT_VF73_16","LILT_VF100_T016","LILT_VF207_T017","LILT_VF300_T016","19.4334998491702","22.246397532767","22.883609125079","24.1797493189901","26.9848123899871"
"7","LILT_VF206_T016","LILT_VF259_T016","LILT_VF279_T016","LILT_VF28_T016","LILT_VF06_16","37.0502649863844","39.8723732117377","39.9051331216424","41.2161291781506","LILT_VF270_T017","LILT_VF300_T016","LILT_VF176_T017","LILT_VF65_16","LILT_VF192_T017","37.1546422762069","37.2318259846962","37.6729759071407","38.4614810537335","38.941292577168"
"8","LILT_VF212_T016","LILT_VF00TL_16","LILT_VF189_T016","LILT_VF40_16","LILT_VF255_T016","21.4779024980001","22.2721904008542","24.6492846327637","26.9916237765867","LILT_VF73_16","LILT_VF100_T016","LILT_VF207_T017","LILT_GF15_16","LILT_VF120_16","17.7678147068513","26.1804084205442","26.4289719521645","27.2527807734128","29.0885680175873"
"9","LILT_VF259_T016","LILT_VF28_T016","LILT_VF262_T016","LILT_VF265_T016","LILT_VF40_16","28.8649344161302","31.5782141987494","32.6622803118092","32.7483884141999","LILT_VF270_T017","LILT_VF100_T016","LILT_VF65_16","LILT_VF234_T017","LILT_VF120_16","25.8482293435701","25.8816547759064","27.7750086566071","28.0019131852236","28.0475375647115"
"10","LILT_VF261_T016","LILT_VF43_16","LILT_VF82_T016","LILT_VF259_T016","LILT_VF28_T016","15.6871141329723","17.1742180969906","65.9044461967764","66.4769292701965","LILT_VF176_T017","LILT_GF15_16","LILT_VF120_16","LILT_VF65_16","LILT_VF270_T017","51.8520213372353","58.9748598413392","62.6487541639648","64.7382591366898","65.1533301157938"
"11","LILT_VF262_T016","LILT_VF263_T016","LILT_VF255_T016","LILT_VF265_T016","LILT_VF189_T016","7.21940444924649","20.7244170718262","21.9645210329454","23.8798587662762","LILT_VF207_T017","LILT_VF73_16","LILT_VF270_T017","LILT_VF300_T016","LILT_VF251_T017","21.9552720801793","23.0589559838255","25.8984000273009","26.7657503753454","26.9824936812723"
"12","LILT_VF263_T016","LILT_VF262_T016","LILT_VF255_T016","LILT_VF189_T016","LILT_VF265_T016","7.21940444924649","20.6431847805081","22.0151148595346","24.3459378387874","LILT_VF73_16","LILT_VF207_T017","LILT_VF120_16","LILT_VF300_T016","LILT_VF270_T017","23.3967525742741","23.488959941481","27.0512086907221","27.5933453909869","28.0683670381357"
"13","LILT_VF279_T016","LILT_VF259_T016","LILT_VF265_T016","LILT_VF28_T016","LILT_VF206_T016","38.1578162787783","39.0587399817762","39.2852558335172","39.8723732117377","LILT_VF300_T016","LILT_VF65_16","LILT_VF270_T017","LILT_VF192_T017","LILT_VF281_T017","33.251460241827","33.6794566691418","35.0852634537779","35.4223964731228","36.3872425262742"
"14","LILT_VF28_T016","LILT_VF06_16","LILT_VF265_T016","LILT_VF262_T016","LILT_VF189_T016","25.6809211122576","26.7926490499969","27.5006392109093","27.9625245747322","LILT_VF29_16","LILT_VF192_T017","LILT_VF100_T016","LILT_VF73_16","LILT_VF270_T017","4.67670046617271","16.44327888206","23.9868389171708","25.0571049473637","26.1695293790106"
