"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21"
"1","CRC_MR_SBJ03H_17","CRC_MR_SBJ46H_17","CRC_MR_SBJ60H_17","CRC_MR_SBJ67H_17","CRC_MR_SBJ83H_17","CRC_MR_SBJ84H_17","24.8423148475077","25.4482501477587","29.4114528112774","29.6185759561563","31.0406534671485","CRC_MR_SBJ49C_17","CRC_MR_SBJ07C_17","CRC_MR_SBJ27C_17","CRC_MR_SBJ53C_17","CRC_MR_SBJ31C_17","26.460462293573","27.4466792531155","28.4482310879816","29.1800141354438","30.6378583489072"
"2","CRC_MR_SBJ16H_17","CRC_MR_SBJ45H_17","CRC_MR_SBJ78H_17","CRC_MR_SBJ18H_17","CRC_MR_SBJ21H_17","CRC_MR_SBJ67H_17","17.3528509961879","19.1356355887256","19.1772182364127","20.0038232395935","20.068635667977","CRC_MR_SBJ32C_17","CRC_MR_SBJ06C_17","CRC_MR_SBJ01C_17","CRC_MR_SBJ20C_17","CRC_MR_SBJ52C_17","16.5348045268367","18.0605791667156","18.5546074156448","20.7139480817009","21.4835661532624"
"3","CRC_MR_SBJ18H_17","CRC_MR_SBJ45H_17","CRC_MR_SBJ16H_17","CRC_MR_SBJ84H_17","CRC_MR_SBJ67H_17","CRC_MR_SBJ78H_17","18.7759857871032","19.1772182364127","19.496176662392","22.1082287605091","23.7900129236808","CRC_MR_SBJ32C_17","CRC_MR_SBJ01C_17","CRC_MR_SBJ31C_17","CRC_MR_SBJ11C_17","CRC_MR_SBJ42C_17","19.1610396710539","19.2876156377532","21.6603635276027","22.1553284896997","22.826488512752"
"4","CRC_MR_SBJ21H_17","CRC_MR_SBJ73H_17","CRC_MR_SBJ74H_17","CRC_MR_SBJ16H_17","CRC_MR_SBJ67H_17","CRC_MR_SBJ65H_17","13.7144805457006","19.1600026664821","20.0038232395935","20.8008173895042","21.7639079048111","CRC_MR_SBJ01C_17","CRC_MR_SBJ04C_17","CRC_MR_SBJ42C_17","CRC_MR_SBJ02C_17","CRC_MR_SBJ06C_17","19.3543448727101","20.6672323932379","22.4813921594794","22.9981865113882","23.7342929393336"
"5","CRC_MR_SBJ34H_17","CRC_MR_SBJ74H_17","CRC_MR_SBJ79H_17","CRC_MR_SBJ65H_17","CRC_MR_SBJ78H_17","CRC_MR_SBJ16H_17","20.3712529822051","20.7364888900508","20.804151899842","21.4169721026806","22.3520947253518","CRC_MR_SBJ52C_17","CRC_MR_SBJ04C_17","CRC_MR_SBJ64C_17","CRC_MR_SBJ10C_17","CRC_MR_SBJ25C_17","17.7833566968697","19.3905664946566","19.6040315204934","19.6493958740873","20.5207019681662"
"6","CRC_MR_SBJ45H_17","CRC_MR_SBJ16H_17","CRC_MR_SBJ18H_17","CRC_MR_SBJ67H_17","CRC_MR_SBJ84H_17","CRC_MR_SBJ75H_17","17.3528509961879","18.7759857871032","20.8617528028519","21.3626636800213","21.511487238543","CRC_MR_SBJ06C_17","CRC_MR_SBJ32C_17","CRC_MR_SBJ20C_17","CRC_MR_SBJ01C_17","CRC_MR_SBJ35C_17","19.4250772598901","19.7803380704628","20.2163438053744","20.3740411248824","21.3229728253801"
"7","CRC_MR_SBJ46H_17","CRC_MR_SBJ60H_17","CRC_MR_SBJ83H_17","CRC_MR_SBJ03H_17","CRC_MR_SBJ67H_17","CRC_MR_SBJ37H_17","14.7996072538767","22.2297651210016","24.8423148475077","27.438322236447","27.466857273891","CRC_MR_SBJ49C_17","CRC_MR_SBJ53C_17","CRC_MR_SBJ07C_17","CRC_MR_SBJ27C_17","CRC_MR_SBJ31C_17","19.2592312728598","21.3251919919798","24.7707938209558","26.267005293457","26.3340817451948"
"8","CRC_MR_SBJ57H_17","CRC_MR_SBJ79H_17","CRC_MR_SBJ68H_17","CRC_MR_SBJ34H_17","CRC_MR_SBJ65H_17","CRC_MR_SBJ78H_17","20.4835816666251","21.8632206670792","23.7398733745633","26.6809310093895","27.3020735399585","CRC_MR_SBJ64C_17","CRC_MR_SBJ04C_17","CRC_MR_SBJ52C_17","CRC_MR_SBJ06C_17","CRC_MR_SBJ10C_17","20.3226727188281","21.0121789966534","22.3668417611607","23.402396485638","23.799548794036"
"9","CRC_MR_SBJ60H_17","CRC_MR_SBJ46H_17","CRC_MR_SBJ83H_17","CRC_MR_SBJ37H_17","CRC_MR_SBJ03H_17","CRC_MR_SBJ67H_17","14.7996072538767","19.1077910623573","25.2178857116075","25.4482501477587","25.5770969968349","CRC_MR_SBJ49C_17","CRC_MR_SBJ53C_17","CRC_MR_SBJ36C_17","CRC_MR_SBJ07C_17","CRC_MR_SBJ27C_17","15.0063771015492","22.6004725064898","24.2156992268569","26.8980138908935","26.9326321704638"
"10","CRC_MR_SBJ63H_17","CRC_MR_SBJ18H_17","CRC_MR_SBJ84H_17","CRC_MR_SBJ45H_17","CRC_MR_SBJ82H_17","CRC_MR_SBJ16H_17","27.5250159190417","27.7719581166453","28.5151866350476","29.298325270015","31.1593268256537","CRC_MR_SBJ39C_17","CRC_MR_SBJ11C_17","CRC_MR_SBJ35C_17","CRC_MR_SBJ42C_17","CRC_MR_SBJ31C_17","24.1591407911395","25.0403008065159","25.7591123987978","30.8209966168082","31.3479938284159"
