"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29"
"1","MMRS11288076ST.27.0.0","MMRS87723283ST.27.0.0","MMRS36405092ST.27.0.0","MMRS11932626ST.27.0.0","MMRS88581325ST.27.0.0","MMRS92546335ST.27.0.0","MMRS61683006ST.27.0.0","MMRS73787048ST.27.0.0","18.0867390728622","22.2048870940048","27.14934813953","27.7165420220182","27.7523780879459","27.8991063196064","28.2973150726619","MMRS72802364ST.27.0.0","MMRS96422329ST.27.0.0","MMRS65205033ST.27.0.0","MMRS84954772ST.27.0.0","MMRS15137911ST.27.0.0","MMRS85382779ST.27.0.0","MMRS14602194ST.27.0.0","25.668641815098","26.8690815756754","27.8699377197187","27.9159078178375","28.1983380398118","28.5380718896705","28.7857758697781"
"2","MMRS11932626ST.27.0.0","MMRS73787048ST.27.0.0","MMRS88581325ST.27.0.0","MMRS20257302ST.27.0.0","MMRS95277876ST.27.0.0","MMRS57276462ST.27.0.0","MMRS61683006ST.27.0.0","MMRS40913371ST.27.0.0","17.0606165655436","20.4165811150814","21.3895016344047","21.7741578571526","22.5698320036991","22.8132459653706","23.0915647625903","MMRS14602194ST.27.0.0","MMRS86958796ST.27.0.0","MMRS93508324ST.27.0.0","MMRS90191266ST.27.0.0","MMRS65205033ST.27.0.0","MMRS16644320ST.27.0.0","MMRS85382779ST.27.0.0","16.5376558986121","18.3693754076425","20.453409927198","20.7413620873558","20.7997295345348","21.3617298846067","21.4938291086768"
"3","MMRS17603756ST.27.0.0","MMRS95674036ST.27.0.0","MMRS61683006ST.27.0.0","MMRS29805707ST.27.0.0","MMRS68630931ST.27.0.0","MMRS81130264ST.27.0.0","MMRS93621581ST.27.0.0","MMRS11932626ST.27.0.0","24.634213488835","26.1059683445338","27.7135226109475","29.3550558352254","29.8287681816565","31.9034363450789","32.7637545474004","MMRS62376181ST.27.0.0","MMRS31306426ST.27.0.0","MMRS16644320ST.27.0.0","MMRS72980899ST.27.0.0","MMRS81194191ST.27.0.0","MMRS55294627ST.27.0.0","MMRS12272136ST.27.0.0","21.598377189252","22.8342635419604","23.5087295580727","28.5890214224831","29.3665068695325","29.719604889199","29.8431943536361"
"4","MMRS20257302ST.27.0.0","MMRS11932626ST.27.0.0","MMRS73787048ST.27.0.0","MMRS38954404ST.27.0.0","MMRS95277876ST.27.0.0","MMRS88581325ST.27.0.0","MMRS51737257ST.27.0.0","MMRS21365932ST.27.0.0","21.3895016344047","22.0852294750066","22.3630489829249","22.5900861370514","23.3347066087084","25.160448707688","25.8671543655502","MMRS14602194ST.27.0.0","MMRS96422329ST.27.0.0","MMRS78791111ST.27.0.0","MMRS85382779ST.27.0.0","MMRS43939546ST.27.0.0","MMRS93508324ST.27.0.0","MMRS65205033ST.27.0.0","19.6943708164668","21.5161724653364","22.9531301814415","24.0731543121711","24.1308899341384","25.3155555563412","25.4152594066124"
"5","MMRS21365932ST.27.0.0","MMRS95277876ST.27.0.0","MMRS20257302ST.27.0.0","MMRS88581325ST.27.0.0","MMRS38954404ST.27.0.0","MMRS62666492ST.27.0.0","MMRS11932626ST.27.0.0","MMRS39582183ST.27.0.0","20.7523715336103","25.8671543655502","27.8408795331631","28.4462516978336","29.1600174121724","29.3595596760374","29.5825805676939","MMRS78791111ST.27.0.0","MMRS14602194ST.27.0.0","MMRS96422329ST.27.0.0","MMRS85382779ST.27.0.0","MMRS43939546ST.27.0.0","MMRS25641480ST.27.0.0","MMRS16644320ST.27.0.0","23.0632164945309","25.8204397248788","28.0292602606473","28.3675596588286","29.0575351269632","30.3358057158995","30.805699575473"
"6","MMRS25211151ST.27.0.0","MMRS11932626ST.27.0.0","MMRS88581325ST.27.0.0","MMRS61683006ST.27.0.0","MMRS94549160ST.27.0.0","MMRS73787048ST.27.0.0","MMRS95277876ST.27.0.0","MMRS91297590ST.27.0.0","24.5566891219154","25.9805777887386","26.241033581174","27.2004344067554","27.2160353144337","27.8719923392893","28.2394742969358","MMRS65205033ST.27.0.0","MMRS72802364ST.27.0.0","MMRS55294627ST.27.0.0","MMRS12272136ST.27.0.0","MMRS14602194ST.27.0.0","MMRS96422329ST.27.0.0","MMRS25641480ST.27.0.0","23.2536775444186","23.7577268627241","23.7799750375353","23.8043189707414","23.8047301966542","23.9447414957001","25.9361376948535"
"7","MMRS29805707ST.27.0.0","MMRS65862658ST.27.0.0","MMRS81130264ST.27.0.0","MMRS61683006ST.27.0.0","MMRS17603756ST.27.0.0","MMRS93621581ST.27.0.0","MMRS11932626ST.27.0.0","MMRS51737257ST.27.0.0","23.3958936564133","24.2433837481755","26.067115810912","27.7135226109475","28.2381392957716","28.5955771837115","29.803873809198","MMRS16644320ST.27.0.0","MMRS43939546ST.27.0.0","MMRS12272136ST.27.0.0","MMRS14379078ST.27.0.0","MMRS59699117ST.27.0.0","MMRS62376181ST.27.0.0","MMRS65205033ST.27.0.0","21.3820662595714","24.9759321860767","25.1864920841192","25.2958479953035","26.354958035624","27.0535572243227","27.3044903998994"
"8","MMRS32573774ST.27.0.0","MMRS17963147ST.27.0.0","MMRS57276462ST.27.0.0","MMRS51737257ST.27.0.0","MMRS11932626ST.27.0.0","MMRS73787048ST.27.0.0","MMRS84159866ST.27.0.0","MMRS40913371ST.27.0.0","19.5370021096073","22.6674212008049","25.3728188752038","26.2026176508436","26.6209716779422","28.0734745144505","28.2411309543368","MMRS51410669ST.27.0.0","MMRS43563715ST.27.0.0","MMRS93508324ST.27.0.0","MMRS77018926ST.27.0.0","MMRS14602194ST.27.0.0","MMRS90191266ST.27.0.0","MMRS65205033ST.27.0.0","21.3482112195003","26.8505229506578","27.5470153121078","29.1971532903552","29.5943465683634","30.3944164825597","31.1923705697227"
"9","MMRS33294861ST.27.0.0","MMRS65862658ST.27.0.0","MMRS87723283ST.27.0.0","MMRS51737257ST.27.0.0","MMRS29805707ST.27.0.0","MMRS94549160ST.27.0.0","MMRS93621581ST.27.0.0","MMRS38861560ST.27.0.0","29.9114533357976","31.0282897775079","34.5540866264672","35.0775229477111","35.1492784823985","35.7514838558402","36.4318134092334","MMRS71762412ST.27.0.0","MMRS84954772ST.27.0.0","MMRS43939546ST.27.0.0","MMRS86178473ST.27.0.0","MMRS25641480ST.27.0.0","MMRS41266697ST.27.0.0","MMRS14379078ST.27.0.0","20.2293546986279","25.2533518658494","31.6384816109702","32.2836841716772","33.0395427695602","33.2471013552159","33.6799225708091"
"10","MMRS34569532ST.27.0.0","MMRS38954404ST.27.0.0","MMRS94549160ST.27.0.0","MMRS39582183ST.27.0.0","MMRS38861560ST.27.0.0","MMRS11932626ST.27.0.0","MMRS95277876ST.27.0.0","MMRS95479054ST.27.0.0","17.4528473342919","19.6484825119397","20.2409579775538","24.105891207823","29.3679959281869","29.5299704142283","29.6683718965939","MMRS77487595ST.27.0.0","MMRS85382779ST.27.0.0","MMRS14602194ST.27.0.0","MMRS65205033ST.27.0.0","MMRS25641480ST.27.0.0","MMRS16644320ST.27.0.0","MMRS96422329ST.27.0.0","15.626953404202","16.8206329905982","27.9341650230913","29.0487690510114","29.3965947072242","29.7738248283068","29.8698724520193"
