"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31"
"1","SZAXPI003417.4","SZAXPI015260.74","SZAXPI015244.32","SZAXPI015238.24","SZAXPI015243.31","SZAXPI003419.6","SZAXPI015268.109","SZAXPI015228.14","30.6943656408583","33.6278842551981","35.6203706214239","37.9371784540588","38.1989797768147","38.5960279227086","39.0964386145132","SZAXPI003426.11","SZAXPI017595.169","SZAXPI017590.136","SZAXPI017582.94","SZAXPI003418.8","SZAXPI015237.23","SZAXPI017583.102","SZAXPI015209.133","29.3048229957528","31.3275401650353","34.677485446853","36.1242057727585","36.6126716918446","36.9006100215254","37.2960826158472","37.7803362118484"
"2","SZAXPI003419.6","SZAXPI015228.14","SZAXPI015268.109","SZAXPI015261.75","SZAXPI003433.7","SZAXPI015271.93","SZAXPI003417.4","SZAXPI015272.108","29.1352117990465","33.9326256327388","34.2457035864384","36.9634473984124","37.3973201691552","38.1989797768147","38.2881429642938","SZAXPI017582.94","SZAXPI017583.102","SZAXPI015237.23","SZAXPI015209.133","SZAXPI015221.142","SZAXPI017461.32","SZAXPI003434.7","SZAXPI017585.109","27.0537129018311","27.5585760912787","29.513180068322","30.5678342007641","32.0730079184398","34.6672168292509","34.7616146421653","35.0495573132929"
"3","SZAXPI003429.3","SZAXPI015256.47","SZAXPI015240.26","SZAXPI015212.113","SZAXPI015273.95","SZAXPI015259.62","SZAXPI015235.21","SZAXPI003433.7","19.4084884475324","27.2060543304684","27.9761252519215","29.2626166517026","30.6273257655823","32.721496190451","32.7342509298853","SZAXPI017463.36","SZAXPI003422.11","SZAXPI017454.20","SZAXPI015218.16","SZAXPI015222.123","SZAXPI017587.113","SZAXPI017580.90","SZAXPI003427.1","24.5618026139207","27.9191617532565","29.7503026813527","30.505782754196","30.54967228109","31.0266363141882","31.4052156792307","31.4480194869232"
"4","SZAXPI003433.7","SZAXPI015247.35","SZAXPI015268.109","SZAXPI015235.21","SZAXPI015271.93","SZAXPI015251.41","SZAXPI015261.75","SZAXPI015244.32","21.8533669770129","22.226817000052","24.1519127404477","24.3501603097865","24.5812262085519","24.9764046437753","25.6605697468022","SZAXPI003427.1","SZAXPI017454.20","SZAXPI017588.123","SZAXPI015218.16","SZAXPI017580.90","SZAXPI015225.18","SZAXPI015221.142","SZAXPI017586.111","21.5392926429537","22.6205520290553","22.6985982982959","23.4496359652533","24.1695218939949","24.2368094002965","24.3320990610736","24.9250732700026"
"5","SZAXPI015212.113","SZAXPI015259.62","SZAXPI015273.95","SZAXPI015235.21","SZAXPI015271.93","SZAXPI015253.44","SZAXPI003429.3","SZAXPI015251.41","25.9252966229029","26.0694980116054","27.4593849750918","27.4998986356896","27.5836766108762","27.9761252519215","28.2134568607234","SZAXPI003422.11","SZAXPI015218.16","SZAXPI017454.20","SZAXPI017458.25","SZAXPI017587.113","SZAXPI017588.123","SZAXPI017586.111","SZAXPI017593.158","23.6961739617412","26.2320318668493","26.7568238795172","28.629928453152","28.6998956650455","29.1987622197397","29.4366130544514","30.1016167162696"
"6","SZAXPI015227.13","SZAXPI015255.46","SZAXPI015253.44","SZAXPI015241.27","SZAXPI015242.30","SZAXPI015230.16","SZAXPI015251.41","SZAXPI015264.87","14.9795126282299","17.5948353991704","22.5967255271311","22.6104347405484","22.7846934829789","23.0307056960702","23.0910636925695","SZAXPI017462.33","SZAXPI015223.158","SZAXPI017458.25","SZAXPI017594.166","SZAXPI017588.123","SZAXPI017586.111","SZAXPI017593.158","SZAXPI017454.20","19.8563840999866","20.1355453355105","21.3228734059108","21.41798634528","22.2489838800292","22.2832015595246","23.2170556741569","25.4264572985699"
"7","SZAXPI015228.14","SZAXPI003419.6","SZAXPI015268.109","SZAXPI003433.7","SZAXPI015261.75","SZAXPI015271.93","SZAXPI015257.56","SZAXPI015251.41","29.1352117990465","32.6039526567056","33.0420561209151","35.9130138177917","37.0214992992666","37.7636158986729","38.0194763512348","SZAXPI017582.94","SZAXPI017583.102","SZAXPI015237.23","SZAXPI003427.1","SZAXPI015209.133","SZAXPI015221.142","SZAXPI017454.20","SZAXPI003418.8","26.5339985623803","28.6777106965131","29.2869609972988","30.75596481036","32.0320754992164","33.8386742418878","34.7448576940085","35.3543994921339"
"8","SZAXPI015230.16","SZAXPI015242.30","SZAXPI015271.93","SZAXPI015253.44","SZAXPI015235.21","SZAXPI015255.46","SZAXPI015227.13","SZAXPI015251.41","18.4345121282203","19.3620355878095","20.4837920355436","20.5679418605727","22.5358699702541","22.7846934829789","23.5040665341149","SZAXPI017588.123","SZAXPI017458.25","SZAXPI017586.111","SZAXPI017594.166","SZAXPI015213.15","SZAXPI017452.17","SZAXPI017462.33","SZAXPI015218.16","17.7466601809495","19.9669308306159","20.4959599502658","22.7158662918168","23.7015832298414","23.7708537734891","24.1181608882871","24.9644029649419"
"9","SZAXPI015231.17","SZAXPI015245.33","SZAXPI015269.94","SZAXPI015263.84","SZAXPI015252.43","SZAXPI015264.87","SZAXPI015235.21","SZAXPI015273.95","27.6443189791031","42.2276029771061","43.5429889748786","44.7906577525738","49.0323692437016","56.3176649783938","57.6626520892614","SZAXPI017467.87","SZAXPI015220.136","SZAXPI017589.133","SZAXPI017468.88","SZAXPI003430.5","SZAXPI015226.14","SZAXPI003420.4","SZAXPI017593.158","13.4087636758539","18.7736588194497","21.8767741010232","26.5631376254388","27.5684881131737","36.9740602489056","41.2924321387055","43.7238565544635"
"10","SZAXPI015233.19","SZAXPI015227.13","SZAXPI015230.16","SZAXPI015253.44","SZAXPI015242.30","SZAXPI015255.46","SZAXPI015246.34","SZAXPI015251.41","29.1838094957649","29.5394933573682","30.8466872877656","33.4753155100934","34.0705961908652","34.2310781156992","34.567670293222","SZAXPI017466.84","SZAXPI015223.158","SZAXPI017452.17","SZAXPI017462.33","SZAXPI017458.25","SZAXPI017593.158","SZAXPI017594.166","SZAXPI017588.123","32.1491255880452","32.6378794365029","33.3175120174421","33.5943407715481","33.6205320709979","34.9450259706929","34.9494977088584","35.4472212824461"
