"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29"
"1","CCIS00146684ST.4.0","CCIS03473770ST.4.0","CCIS94417875ST.3.0","CCIS07539127ST.4.0","CCIS32452666ST.4.0","CCIS79210440ST.3.0","CCIS71578391ST.4.0","CCIS41692898ST.4.0","16.0193279796844","17.2345457009606","19.3654797436934","23.8302432952561","23.9271811171626","24.1158266016075","24.4698455417418","CCIS55230578ST.4.0","CCIS41548810ST.4.0","CCIS11015875ST.4.0","CCIS33816588ST.4.0","CCIS71301801ST.4.0","CCIS50148151ST.4.0","CCIS53043478ST.4.0","18.6026099749041","19.2051050383615","19.9727468798511","21.8142926198719","22.6477635850298","23.6723694475416","23.7983770239716"
"2","CCIS02124300ST.4.0","CCIS21126322ST.4.0","CCIS71578391ST.4.0","CCIS50471204ST.4.0","CCIS45793747ST.4.0","CCIS11354283ST.4.0","CCIS03473770ST.4.0","CCIS05314658ST.4.0","17.2099926238131","18.0812397714703","18.8578999503577","19.0209861647261","19.1597941564386","19.7243144274091","20.4683105961948","CCIS48725289ST.4.0","CCIS76845094ST.20.0","CCIS82146115ST.4.0","CCIS47284573ST.4.0","CCIS55230578ST.4.0","CCIS11015875ST.4.0","CCIS77252613ST.4.0","16.1228066874598","17.943114217415","18.7952226628311","19.9081998342768","21.526564303841","21.5429726841817","22.5481842179986"
"3","CCIS03473770ST.4.0","CCIS94417875ST.3.0","CCIS00146684ST.4.0","CCIS71578391ST.4.0","CCIS07539127ST.4.0","CCIS21126322ST.4.0","CCIS32452666ST.4.0","CCIS50471204ST.4.0","15.3016905751619","16.0193279796844","16.6540527263036","17.6859756116336","18.1164227661478","18.51233634675","18.8494419951149","CCIS55230578ST.4.0","CCIS11015875ST.4.0","CCIS41548810ST.4.0","CCIS62605362ST.3.0","CCIS48725289ST.4.0","CCIS71301801ST.4.0","CCIS33816588ST.4.0","15.2102016740509","16.2190266034032","17.2457216024497","18.2152698790987","18.6912720203709","18.9829593664081","19.5576119044197"
"4","CCIS03857607ST.4.0","CCIS45571137ST.3.0","CCIS95409808ST.4.0","CCIS21126322ST.4.0","CCIS94603952ST.4.0","CCIS32452666ST.4.0","CCIS90164298ST.4.0","CCIS71578391ST.4.0","20.4025872706159","25.06008705852","25.2391148548815","26.3185788982631","27.6709966114359","29.1175460487985","29.3614883578813","CCIS77252613ST.4.0","CCIS98512455ST.4.0","CCIS53043478ST.4.0","CCIS38765456ST.20.0","CCIS98832363ST.4.0","CCIS48725289ST.4.0","CCIS21278152ST.4.0","26.1945753825176","26.5114437649895","27.7805856159279","29.0236900448582","29.7487076037212","30.2351591237189","30.432648514684"
"5","CCIS05314658ST.4.0","CCIS41692898ST.4.0","CCIS45793747ST.4.0","CCIS88007743ST.4.0","CCIS50471204ST.4.0","CCIS50003399ST.4.0","CCIS71578391ST.4.0","CCIS11354283ST.4.0","15.8937341577428","18.2989779615912","18.7273033588261","19.4838848136248","19.5470668481616","19.6598759903439","19.9134400871472","CCIS47284573ST.4.0","CCIS11015875ST.4.0","CCIS48725289ST.4.0","CCIS53043478ST.4.0","CCIS52370277ST.4.0","CCIS76845094ST.20.0","CCIS82146115ST.4.0","17.9052886311056","18.8637643027074","19.6349333582648","20.1947273426358","20.2204438991779","21.1909380309344","22.4237545076354"
"6","CCIS07539127ST.4.0","CCIS94417875ST.3.0","CCIS03473770ST.4.0","CCIS00146684ST.4.0","CCIS07648107ST.4.0","CCIS79210440ST.3.0","CCIS88317640ST.4.0","CCIS16561622ST.4.0","16.18196757574","17.6859756116336","19.3654797436934","20.0771867486458","20.8942722342775","22.1123171234428","22.6257759466609","CCIS50148151ST.4.0","CCIS41548810ST.4.0","CCIS91228662ST.4.0","CCIS53043478ST.4.0","CCIS62794166ST.4.0","CCIS52370277ST.4.0","CCIS55230578ST.4.0","16.2374049373507","16.3182022579296","16.7901701939587","17.1135700453675","17.9469704847086","18.3166585803716","18.6206012297616"
"7","CCIS07648107ST.4.0","CCIS07539127ST.4.0","CCIS05314658ST.4.0","CCIS48174381ST.4.0","CCIS45793747ST.4.0","CCIS50471204ST.4.0","CCIS15794887ST.4.0","CCIS21126322ST.4.0","20.0771867486458","22.1339319516642","22.3267668249436","23.4152671824453","23.9307301519009","24.5949644333429","25.1227663866442","CCIS62794166ST.4.0","CCIS53043478ST.4.0","CCIS91228662ST.4.0","CCIS52370277ST.4.0","CCIS62605362ST.3.0","CCIS48725289ST.4.0","CCIS87252800ST.4.0","19.9422836375827","21.5584613780831","21.6247327281033","23.0636449380947","23.0961436102762","23.389950775814","23.4232172314501"
"8","CCIS09568613ST.4.0","CCIS11362406ST.4.0","CCIS36699628ST.4.0","CCIS79210440ST.3.0","CCIS88007743ST.4.0","CCIS03473770ST.4.0","CCIS88317640ST.4.0","CCIS36797902ST.4.0","21.5962314992964","22.5699019923592","22.6168446997896","24.0232422265043","27.6464753747743","27.9194181408675","27.9678989741203","CCIS61287323ST.4.0","CCIS06260551ST.3.0","CCIS62794166ST.4.0","CCIS11015875ST.4.0","CCIS98512455ST.4.0","CCIS53043478ST.4.0","CCIS55230578ST.4.0","20.2535643919657","22.079860070784","23.6734085453468","26.0022218645926","26.4125892472529","26.6191926450672","27.2465009931422"
"9","CCIS15794887ST.4.0","CCIS90164298ST.4.0","CCIS05314658ST.4.0","CCIS02124300ST.4.0","CCIS07539127ST.4.0","CCIS11362406ST.4.0","CCIS07648107ST.4.0","CCIS45793747ST.4.0","19.2134710869353","22.2416829943847","22.6080488466077","22.7583292131342","23.5065797626984","24.5949644333429","25.0240542363722","CCIS53043478ST.4.0","CCIS77252613ST.4.0","CCIS91228662ST.4.0","CCIS48725289ST.4.0","CCIS11015875ST.4.0","CCIS47284573ST.4.0","CCIS98512455ST.4.0","20.0890180556318","20.2814630784813","23.5300914171514","23.8830594172397","23.9657233048369","24.69330961443","24.8290566570218"
"10","CCIS16326685ST.4.0","CCIS36797902ST.4.0","CCIS90164298ST.4.0","CCIS94417875ST.3.0","CCIS15794887ST.4.0","CCIS07539127ST.4.0","CCIS11362406ST.4.0","CCIS88317640ST.4.0","20.74227659454","21.7349841883172","24.0581949463296","25.2380644319508","25.4257142625001","26.4396243929334","26.8998535226718","CCIS98832363ST.4.0","CCIS53043478ST.4.0","CCIS77252613ST.4.0","CCIS91228662ST.4.0","CCIS11015875ST.4.0","CCIS47284573ST.4.0","CCIS41548810ST.4.0","22.1032139187585","24.2897321218617","24.735077618162","25.6882266329928","25.9190703371109","25.9384899726835","26.5069473031883"
