"Ctl","Disease"
"LILT_VF28_T016","LILT_VF29_16"
"SID530075","SZAXPI017590.136"
"CCMD54057834ST.11.0","SZAXPI017454.20"
"SZAXPI015231.17","SID531361"
"DRR127524","CCMD48236717ST.21.0"
"SID532915","CCIS87116798ST.4.0"
"CCMD41202658ST.11.0","MMRS54316675ST.27.0.0"
"SZAXPI015234.20","SID31881"
"CCIS00281083ST.3.0","DRR127666"
"CCMD35081859ST.11.0","CCIS83870198ST.4.0"
"SZAXPI015245.33","MMRS18295921ST.27.0.0"
"SID530331","CRC_MR_SBJ02C_17"
"SZAXPI015250.39","SZAXPI003435.11"
"CCMD68973846ST.11.0","MMRS78791111ST.27.0.0"
"SZAXPI015253.44","CRC_MR_SBJ01C_17"
"CCIS94603952ST.4.0","SZAXPI017594.166"
"MMRS54246132ST.27.0.0","SZAXPI015220.136"
"CCIS11354283ST.4.0","SID530890"
"CCMD31009081ST.11.0","CRC_MR_SBJ32C_17"
"SZAXPI015246.34","SZAXPI015224.13"
"SZAXPI015260.74","MMRS41711735ST.27.0.0"
"SID31267","CRC_MR_SBJ55C_17"
"SZAXPI017592.142","SID31276"
"SID532802","CCMD13934959ST.21.0"
"MMRS94549160ST.27.0.0","MMRS85382779ST.27.0.0"
"SID530394","CRC_MR_SBJ42C_17"
"DRR127597","CCIS84543192ST.4.0"
"CCIS02124300ST.4.0","DRR127485"
"CCMD27867141ST.11.0","SID531128"
"MMRS38954404ST.27.0.0","CCIS38765456ST.20.0"
"CCMD53508245ST.11.0","MMRS96422329ST.27.0.0"
"CCMD50538120ST.11.0","CCMD89306485ST.11.0"
"MMRS64281551ST.27.0.0","DRR127557"
"CCMD23541216ST.11.0","CCIS21278152ST.4.0"
"MMRS67096717ST.27.0.0","DRR127767"
"CRC_MR_SBJ73H_17","CCMD49461418ST.11.0"
"CCMD51228890ST.11.0","DRR127646"
"CCIS82507866ST.3.0","MMRS77487595ST.27.0.0"
"CCMD59540613ST.11.0","LILT_VF270_T017"
"SZAXPI015227.13","CCMD52145360ST.11.0"
"CRC_MR_SBJ60H_17","SZAXPI017593.158"
"SID31328","CRC_MR_SBJ52C_17"
