"Ctl","Disease"
"SID532915","SID31881"
"SID31267","SID31276"
"SID31328","SID530890"
"SID530295","SID531469"
"SID31700","SID531128"
"SID31021","SID531416"
"SID530394","SID531277"
"SID532802","SID531155"
"SID530258","SID31489"
"SID530167","SID31873"
"SID530050","SID31004"
"SID530075","SID31493"
"SID31750","SID31875"
"SID530444","SID31549"
"SID31452","SID31685"
"SID31519","SID31866"
"SID530052","SID31870"
"SID31333","SID31871"
"SID532796","SID531352"
"SID531414","SID31878"
"SID530368","SID31872"
"SID31219","SID31880"
"SID31160","SID31285"
"SID530315","SID31876"
"SID530055","SID31874"
"SID530215","SID31884"
"SID31766","SID31865"
"SID530364","SID531333"
"SID31714","SID31879"
"SID31537","SID531281"
"SID31749","SID531382"
"SID31300","SID31223"
"SID31360","SID530373"
"SID31129","SID31237"
"SID530119","SID31159"
"SID31637","SID31868"
"SID532779","SID31188"
"SID530163","SID31446"
"SID532826","SID531775"
"SID31450","SID31877"
