"Ctl","Disease"
"CCMD50538120ST.11.0","CCMD89306485ST.11.0"
"CCMD85661207ST.11.0","CCMD95433940ST.21.0"
"CCMD45812507ST.11.0","CCMD59583015ST.11.0"
"CCMD66848156ST.11.0","CCMD52145360ST.11.0"
"CCMD35081859ST.11.0","CCMD95431029ST.11.0"
"CCMD56948710ST.11.0","CCMD35802077ST.21.0"
"MMPU72854103ST","CCMD51864103ST.21.0"
"CCMD18579000ST.11.0","CCMD72895164ST.21.0"
"MMPU99077057ST","CCMD49461418ST.11.0"
"CCMD59540613ST.11.0","CCMD63399960ST.21.0"
"CCMD50529145ST.11.0","CCMD76222476ST.11.0"
"CCMD27867141ST.11.0","CCMD42428553ST.21.0"
"CCMD31009081ST.11.0","CCMD46222674ST.21.0"
"CCMD23541216ST.11.0","CCMD23101338ST.21.0"
"CCMD45004878ST.11.0","CCMD45988061ST.21.0"
"CCMD53508245ST.11.0","CCMD13934959ST.21.0"
"CCMD89107682ST.11.0","CCMD86114146ST.21.0"
"CCMD10032470ST.11.0","CCMD93344354ST.21.0"
"CCMD54057834ST.11.0","CCMD50071957ST.21.0"
"CCMD41521570ST.11.0","CCMD86707194ST.21.0"
"CCMD32965613ST.11.0","CCMD87156761ST.21.0"
"MMPU84450604ST","CCMD95676152ST.11.0"
"CCMD41202658ST.11.0","CCMD19497912ST.21.0"
"CCMD35801800ST.11.0","CCMD74930188ST.21.0"
"CCMD89967135ST.11.0","CCMD82866709ST.21.0"
"MMPU68403337ST","CCMD64776337ST.21.0"
"CCMD76409700ST.11.0","CCMD26925580ST.21.0"
"CCMD17410933ST.11.0","CCMD26709089ST.21.0"
"CCMD22852639ST.11.0","CCMD90311071ST.21.0"
"CCMD49025643ST.11.0","CCMD88272491ST.21.0"
"CCMD18829815ST.11.0","CCMD52117727ST.11.0"
"CCMD37575804ST.11.0","CCMD98531134ST.11.0"
"CCMD32288175ST.11.0","CCMD12232071ST.21.0"
"CCMD39157124ST.11.0","CCMD18872694ST.21.0"
"CCMD73128545ST.11.0","CCMD46947453ST.21.0"
"CCMD99440714ST.11.0","CCMD34381688ST.21.0"
"CCMD46727384ST.11.0","CCMD19168690ST.11.0"
"CCMD93755960ST.11.0","CCMD71242853ST.11.0"
"CCMD99929634ST.11.0","CCMD13071240ST.21.0"
"CCMD38158721ST.11.0","CCMD79349503ST.11.0"
"CCMD25475945ST.11.0","CCMD25963797ST.21.0"
"CCMD68973846ST.11.0","CCMD27463710ST.11.0"
