"Ctl","Disease"
"CRC_MR_SBJ60H_17","CRC_MR_SBJ49C_17"
"CRC_MR_SBJ65H_17","CRC_MR_SBJ02C_17"
"CRC_MR_SBJ16H_17","CRC_MR_SBJ32C_17"
"CRC_MR_SBJ67H_17","CRC_MR_SBJ36C_17"
"CRC_MR_SBJ74H_17","CRC_MR_SBJ04C_17"
"CRC_MR_SBJ34H_17","CRC_MR_SBJ52C_17"
"CRC_MR_SBJ73H_17","CRC_MR_SBJ01C_17"
"CRC_MR_SBJ78H_17","CRC_MR_SBJ06C_17"
"CRC_MR_SBJ80H_17","CRC_MR_SBJ22C_17"
"CRC_MR_SBJ75H_17","CRC_MR_SBJ20C_17"
"CRC_MR_SBJ79H_17","CRC_MR_SBJ64C_17"
"CRC_MR_SBJ69H_17","CRC_MR_SBJ26C_17"
"CRC_MR_SBJ45H_17","CRC_MR_SBJ35C_17"
"CRC_MR_SBJ46H_17","CRC_MR_SBJ53C_17"
"CRC_MR_SBJ82H_17","CRC_MR_SBJ39C_17"
"CRC_MR_SBJ18H_17","CRC_MR_SBJ31C_17"
"CRC_MR_SBJ21H_17","CRC_MR_SBJ42C_17"
"CRC_MR_SBJ57H_17","CRC_MR_SBJ10C_17"
"CRC_MR_SBJ84H_17","CRC_MR_SBJ11C_17"
"CRC_MR_SBJ68H_17","CRC_MR_SBJ47C_17"
"CRC_MR_SBJ77H_17","CRC_MR_SBJ51C_17"
"CRC_MR_SBJ03H_17","CRC_MR_SBJ07C_17"
